posicionador_noun	positioner_noun
immunoprecipitació_noun	immunoprecipitation_noun
presentar-una-moció_verb	table-a-motion_verb
fístula_noun	fistula_noun
hilda_propernoun	hilda_propernoun
talia_propernoun	talia_propernoun
palos_propernoun	palos_propernoun
essencialment_adverb	essentially_adverb
muria_propernoun	muria_propernoun
cel·lulosa_noun	cellulose_noun
traqueotomia_noun	tracheotomy_noun
estampa_noun	image_noun
endoplàsmic_adjective	endoplasmic_adjective
repetitiu_adjective	repetitive_adjective
facturar_verb	invoice_verb
retirar_verb	remove_verb
pregar_verb	pray_verb
soria_propernoun	soria_propernoun
decrescendo_adverb	decrescendo_adverb
solemnitat_noun	solemnity_noun
traducció-automàtica-basada-en-corpus_noun	corpus-based-machine-translation_noun
potassi_noun	potassium_noun
abreujament_noun	shortening_noun
belen_propernoun	belen_propernoun
aurèola_noun	aureole_noun
beaudreault_propernoun	beaudreault_propernoun
presència_noun	presence_noun
mamella_noun	breast_noun
guijarro_propernoun	guijarro_propernoun
desactivar_verb	disable_verb
apreciació_noun	assessment_noun
seccionador_noun	disconnector_noun
camioneta_noun	van_noun
juntura_noun	joint_noun
laboratori-antidopatge_noun	anti-doping-laboratory_noun
hawkins_propernoun	hawkins_propernoun
farsant_adjective	phony_adjective
submergir_verb	plunge_verb
fortune-500_propernoun	fortune-500_propernoun
weightman_propernoun	weightman_propernoun
dieujuste_propernoun	dieujuste_propernoun
detecció_noun	detection_noun
waterford_propernoun	waterford_propernoun
falta-de-respecte_noun	disrespect_noun
rial_propernoun	rial_propernoun
sangonera_noun	bloodsucker_noun
porpra_noun	purple_noun
metatars_noun	metatarsus_noun
a-sobre_adverb	uppermost_adverb
aflicció_noun	distress_noun
senyor_noun	lady_noun
citodièresi_noun	cytodiaeresis_noun
telly_propernoun	telly_propernoun
complir_verb	accomplish_verb
newton_propernoun	newton_propernoun
montgomery_propernoun	montgomery_propernoun
bescanviar_verb	redeem_verb
juan-de-dios_propernoun	juan-de-dios_propernoun
meroño_propernoun	meroño_propernoun
acte_noun	act_noun
pete_propernoun	pete_propernoun
campament_noun	camp_noun
d'enlloc_adverb	from-nowhere_adverb
paralingüístic_adjective	paralinguistic_adjective
niahim_propernoun	niahim_propernoun
al-davant_adverb	at-the-front_adverb
plataforma_noun	pad_noun
cronòmetre_noun	chronometer_noun
opoteràpia_noun	opotherapy_noun
donar-suport_verb	lean_verb
mercuri_propernoun	mercury_propernoun
factible_adjective	feasible_adjective
triar_verb	elect_verb
sarja_noun	serge_noun
còclea_noun	cochlea_noun
poc-fiable_adjective	unreliable_adjective
emmurallar_verb	wall-in_verb
alacantí_adjective	from-alicante_adjective
exterior_adjective	outdoor_adjective
proporcionalitat_noun	proportionality_noun
deza_propernoun	deza_propernoun
immunòcit_noun	immunocyte_noun
suavitzar_verb	smooth_verb
bòsnia_propernoun	bosnia_propernoun
intens_adjective	intense_adjective
proveir_verb	cater_verb
biològicament_adverb	biologically_adverb
boisclair_propernoun	boisclair_propernoun
daponte_propernoun	daponte_propernoun
ribé_propernoun	ribé_propernoun
culpabilitat_noun	culpability_noun
fíbric_adjective	fibric_adjective
equalitzar_verb	equalise_verb
dellicolli_propernoun	dellicolli_propernoun
volàtil_adjective	volatile_adjective
freedman_propernoun	freedman_propernoun
entreteniment_noun	entertainment_noun
superlumínic_adjective	superluminal_adjective
passejada_noun	ride_noun
cartago_propernoun	carthage_propernoun
elario_propernoun	elario_propernoun
alfabet_noun	alphabet_noun
estoma_noun	stoma_noun
renee_propernoun	renee_propernoun
enfield_propernoun	enfield_propernoun
decil_noun	decile_noun
tràngol_noun	hardship_noun
obertura_noun	aperture_noun
yeung_propernoun	yeung_propernoun
llavors_adverb	then_adverb
gàngster_noun	gangster_noun
cura_noun	cure_noun
glop_noun	draught_noun
desencriptar_verb	decrypt_verb
goyer_propernoun	goyer_propernoun
datiu_adjective	dative_adjective
rodecinda_propernoun	rodecinda_propernoun
noel-stefani_propernoun	noel-stefani_propernoun
galàxia_noun	galaxy_noun
iridoparàlisi_noun	iridoparalysis_noun
règim_noun	diet_noun
fibrinòlisi_noun	fibrinolysis_noun
musclo_noun	mussel_noun
multiplicitat_noun	multiplicity_noun
gifford_propernoun	gifford_propernoun
saber_verb	know_verb
frontal_adjective	frontal_adjective
edició_noun	edition_noun
feixisme_noun	fascism_noun
sedació_noun	sedation_noun
muó_noun	muon_noun
fons_propernoun	fons_propernoun
homogeneïtzar_verb	homogenise_verb
ratificació_noun	ratification_noun
ajustar_verb	adjust_verb
servoamplificador_noun	servoamplifier_noun
leonor_propernoun	leonor_propernoun
triangulació_noun	triangulation_noun
nom-comercial_noun	trade-name_noun
algú_pronoun	someone_pronoun
semiaquàtic_adjective	semiaquatic_adjective
al-gore_propernoun	al-gore_propernoun
darrera_adverb	behind_adverb
park_propernoun	park_propernoun
llit_noun	bed_noun
sense-excepcions_adverb	without-exception_adverb
carenatge_noun	careenage_noun
subcomissió_noun	subcommittee_noun
peralt_noun	superelevation_noun
guarnizo_propernoun	guarnizo_propernoun
seure_verb	sit-down_verb
compàs_noun	compass_noun
chris_propernoun	chris_propernoun
cornwallis_propernoun	cornwallis_propernoun
en-resum_adverb	in-sum_adverb
calafell_propernoun	calafell_propernoun
salutació_noun	greeting_noun
apertium_propernoun	apertium_propernoun
gurrera_propernoun	gurrera_propernoun
calixta_propernoun	calixta_propernoun
carreu_noun	ashlar_noun
inspecció_noun	inspection_noun
jahiem_propernoun	jahiem_propernoun
compilació_noun	compilation_noun
així-i-tot_subordinatingconjunction	even-so_subordinatingconjunction
domènech_propernoun	domènech_propernoun
vilagrán_propernoun	vilagrán_propernoun
sedició_noun	sedition_noun
munyiment_noun	milking_noun
gillet_propernoun	gillet_propernoun
maximilian_propernoun	maximilian_propernoun
guerxo_adjective	cross-eyed_adjective
dia_noun	day_noun
candidat_noun	candidate_noun
vlentina_propernoun	vlentina_propernoun
discriminar_verb	discriminate_verb
hemoblast_noun	hemoblast_noun
rosarito_propernoun	rosarito_propernoun
etilcel·lulosa_noun	ethylcellulose_noun
tandy_propernoun	tandy_propernoun
julvé_propernoun	julvé_propernoun
mendonca_propernoun	mendonca_propernoun
viratge_noun	toning_noun
contorn_noun	outline_noun
masana_propernoun	masana_propernoun
fins-llavors_adverb	up-until-then_adverb
ageo_propernoun	ageo_propernoun
lévesque_propernoun	lévesque_propernoun
pinós_propernoun	pinós_propernoun
fragmentar_verb	fragment_verb
pressa_noun	rush_noun
dessulfurar_verb	desulphurise_verb
bernat-mas_propernoun	bernat-mas_propernoun
massa-llarg_adverb	far-too-long_adverb
sintonitzador_noun	tuner_noun
canalització_noun	canalisation_noun
fil-per-randa_adverb	in-detail_adverb
oxidació-reducció_noun	oxidation-reduction_noun
malet_propernoun	malet_propernoun
prominentment_adverb	prominently_adverb
tolerable_adjective	tolerable_adjective
dorothy_propernoun	dorothy_propernoun
irònic_adjective	ironic_adjective
servomotor_noun	servomotor_noun
masorètic_adjective	masoretic_adjective
erròniament_adverb	erroneously_adverb
lactífer_adjective	lactiferous_adjective
abaixar_verb	go-down_verb
patruller_adjective	patrol_adjective
valdez_propernoun	valdez_propernoun
vilamala_propernoun	vilamala_propernoun
negació_noun	negation_noun
jovino_propernoun	jovino_propernoun
joy_propernoun	joy_propernoun
temporalitat_noun	temporality_noun
bethesda-softworks_propernoun	bethesda-softworks_propernoun
niobi_noun	niobium_noun
considerablement_adverb	considerably_adverb
impedir_verb	impede_verb
estàticament_adverb	statically_adverb
esplendor_noun	splendour_noun
morfomètric_adjective	morphometric_adjective
oda_noun	ode_noun
per-part-meva_adverb	for-my-part_adverb
bogotà_propernoun	bogota_propernoun
vocalització_noun	vocalisation_noun
millie_propernoun	millie_propernoun
inspeccionar_verb	inspect_verb
altaveu_noun	speaker_noun
malory_propernoun	malory_propernoun
nosa_noun	nuisance_noun
inútil_noun	good-for-nothing_noun
digitalitzar_verb	digitise_verb
en-detriment-de_preposition	to-the-detriment-of_preposition
gaëtan_propernoun	gaëtan_propernoun
chiasson_propernoun	chiasson_propernoun
amb-cortesia_adverb	courteously_adverb
tuneladora_noun	tunnel-boring-machine_noun
estupidesa_noun	stupidity_noun
ambiental_adjective	ambient_adjective
melòman_adjective	melomaniac_adjective
grandbois_propernoun	grandbois_propernoun
criminalment_adverb	criminally_adverb
independentment_adverb	independently_adverb
selecció-masculina_noun	men's-team_noun
corporalment_adverb	corporally_adverb
allistament_noun	conscription_noun
rina_propernoun	rina_propernoun
innaturalment_adverb	unnaturally_adverb
immunoselecció_noun	immunoselection_noun
jinping_propernoun	jinping_propernoun
indefens_adjective	defenceless_adjective
pelayo_propernoun	pelayo_propernoun
senegalès_adjective	senegalese_adjective
lligar_verb	bind_verb
carlos-casares_propernoun	carlos-casares_propernoun
jove_adjective	young_adjective
conoidal_adjective	conoidal_adjective
semifusa_noun	hemidemisemiquaver_noun
penal_adjective	penal_adjective
monocord_noun	monochord_noun
ambulant_adjective	roving_adjective
bienni_noun	biennium_noun
paraguaià_noun	paraguayan_noun
termodinàmica_noun	thermodynamics_noun
inventar_verb	make-up_verb
duchesneau_propernoun	duchesneau_propernoun
fernão_propernoun	fernão_propernoun
perfecta_propernoun	perfecta_propernoun
encarnación_propernoun	encarnación_propernoun
forrest_propernoun	forrest_propernoun
reembossament_noun	repayment_noun
de-costa-a-costa_adverb	from-coast-to-coast_adverb
respecte_noun	respect_noun
peix_propernoun	peix_propernoun
electrovàlvula_noun	electrovalve_noun
malko_propernoun	malko_propernoun
rabbitskin_propernoun	rabbitskin_propernoun
jade_noun	jade_noun
atacar_verb	storm_verb
sidonia_propernoun	sidonia_propernoun
closa_propernoun	closa_propernoun
passatemps_noun	hobby_noun
departamental_adjective	departamental_adjective
gort_propernoun	gort_propernoun
en-un-tres-i-no-res_adverb	in-a-jiffy_adverb
dumaresq_propernoun	dumaresq_propernoun
micosi_noun	mycosis_noun
coagulabilitat_noun	coagulability_noun
hexafluorur_noun	hexafluoride_noun
masachs_propernoun	masachs_propernoun
brest-litovsk_propernoun	brest-litovsk_propernoun
arcas_propernoun	arcas_propernoun
verna_propernoun	verna_propernoun
chancellorsville_propernoun	chancellorsville_propernoun
escarlata_noun	scarlet_noun
arqueòleg_noun	archaeologist_noun
volt_noun	volt_noun
idènticament_adverb	identically_adverb
marcone_propernoun	marcone_propernoun
netament_adverb	transparently_adverb
tòpicament_adverb	topically_adverb
ficcionalisme_noun	fictionism_noun
cap_pronoun	any_pronoun
intercanviar_verb	swap_verb
aristarco_propernoun	aristarco_propernoun
inert_adjective	lifeless_adjective
vulcanòleg_noun	vulcanologist_noun
fajardo_propernoun	fajardo_propernoun
desgast_noun	wear_noun
testificar_verb	attest_verb
vostra-altesa-reial_noun	your-royal-highness_noun
nelly_propernoun	nelly_propernoun
fiscalment_adverb	fiscally_adverb
esquí_noun	ski_noun
tàpia_noun	wall_noun
ictiologia_noun	ichthyology_noun
totalitarisme_noun	totalitarianism_noun
cristianització_noun	christianization_noun
improcedència_noun	inadmissibility_noun
gosadia_noun	audacity_noun
ridiculitzar_verb	ridicule_verb
rugosímetre_noun	rugometer_noun
bonnie_propernoun	bonnie_propernoun
peruga_propernoun	peruga_propernoun
moine_propernoun	moine_propernoun
marion_propernoun	marion_propernoun
efrain_propernoun	efrain_propernoun
capadòcia_propernoun	cappadocia_propernoun
machado_propernoun	machado_propernoun
nolin_propernoun	nolin_propernoun
allunyar_verb	move-away_verb
arpa_propernoun	arpa_propernoun
cunha_propernoun	cunha_propernoun
parcer_noun	sharecropper_noun
haines_propernoun	haines_propernoun
a-l'estranger_adverb	overseas_adverb
pel·lícula-biogràfica_noun	biopic_noun
enoc_propernoun	enoc_propernoun
jawad_propernoun	jawad_propernoun
durrës_propernoun	durrës_propernoun
devonià_adjective	devonian_adjective
macie_propernoun	macie_propernoun
horowitz_propernoun	horowitz_propernoun
hològraf_noun	holograph_noun
caouette_propernoun	caouette_propernoun
cantar_verb	sing_verb
sovint_adverb	often_adverb
vaporitzar_verb	vaporise_verb
eleoplast_noun	oleoplast_noun
giravolt_noun	somersault_noun
nicolaus_propernoun	nicolaus_propernoun
bronzejar_verb	bronze_verb
amollar_verb	drop_verb
recordar_verb	recall_verb
d'australàsia_adjective	australasian_adjective
imaginar_verb	figure_verb
endotèrmic_adjective	endothermic_adjective
àslan_propernoun	aslan_propernoun
exhumació_noun	exhumation_noun
koiné_noun	koine_noun
cigarret_noun	cigarette_noun
romanització_noun	romanization_noun
srivijaya_propernoun	srivijaya_propernoun
jesús_propernoun	jesús_propernoun
trinitario_propernoun	trinitario_propernoun
wesley_propernoun	wesley_propernoun
a-la-fi_adverb	finally_adverb
locaut_noun	lockout_noun
micromòdul_noun	micromodule_noun
balancímetre_noun	balancemeter_noun
aglutinant_noun	sandbinder_noun
monoblast_noun	monoblast_noun
estropadak_noun	estropadak_noun
roso_propernoun	roso_propernoun
devastar_verb	ravage_verb
en-un-minut_adverb	in-a-minute_adverb
miniaturització_noun	miniaturisation_noun
electrogravimetria_noun	electrogravimetry_noun
orgànic_adjective	organic_adjective
poulin_propernoun	poulin_propernoun
el-desembre-vinent_adverb	next-december_adverb
doldre_verb	hurt_verb
mcvie_propernoun	mcvie_propernoun
auricular_noun	receiver_noun
mera_propernoun	mera_propernoun
acció-sindicada_noun	syndicated-share_noun
protàgores_propernoun	protagoras_propernoun
amb-tota-justícia_adverb	in-all-fairness_adverb
el-proper-dimarts_adverb	the-next-tuesday_adverb
estrat_noun	layer_noun
hipercàpnia_noun	hypercapnia_noun
magrané_propernoun	magrané_propernoun
segons_preposition	according_preposition
casanova_propernoun	casanova_propernoun
d'esbiaixada_adverb	at-an-angle_adverb
granville_propernoun	granville_propernoun
il·lustració_noun	artwork_noun
ús_noun	use_noun
apesarar_verb	grieve_verb
sincerament_adverb	sincerely_adverb
pronominalització_noun	pronominalisation_noun
inexacte_adjective	inaccurate_adjective
normand_propernoun	normand_propernoun
yamina_propernoun	yamina_propernoun
verbós_adjective	verbose_adjective
médicis_propernoun	médicis_propernoun
angkor_propernoun	angkor_propernoun
pultrusió_noun	pultrusion_noun
arnaz_propernoun	arnaz_propernoun
epicur_propernoun	epicurus_propernoun
safari_noun	safari_noun
amassar_verb	mash_verb
pageau_propernoun	pageau_propernoun
negligència_noun	negligence_noun
maurilio_propernoun	maurilio_propernoun
gotha_propernoun	gotha_propernoun
grace_propernoun	grace_propernoun
desinversió_noun	desinvestment_noun
histamina_noun	histamine_noun
engendrar_verb	spawn_verb
coure_noun	copper_noun
molaritat_noun	molarity_noun
dielèctric_adjective	dielectric_adjective
ninja_noun	ninja_noun
ara-mateix_adverb	just-now_adverb
abominable_adjective	abominable_adjective
sabat_propernoun	sabat_propernoun
variar_verb	range_verb
funció_noun	function_noun
düsseldorf_propernoun	düsseldorf_propernoun
àrduament_adverb	arduously_adverb
vida_noun	life_noun
donnelly_propernoun	donnelly_propernoun
boismenu_propernoun	boismenu_propernoun
flux_noun	flow_noun
inclinat_adjective	steep_adjective
morulació_noun	morulation_noun
elliott_propernoun	elliott_propernoun
l'altra-nit_adverb	the-other-night_adverb
michael_propernoun	michael_propernoun
palpable_adjective	palpable_adjective
obligar_verb	compel_verb
rupérez_propernoun	rupérez_propernoun
castelló_propernoun	castelló_propernoun
guisar_verb	cook_verb
faustin_propernoun	faustin_propernoun
inflamable_adjective	inflammable_adjective
batlle_noun	mayor_noun
ricarda_propernoun	ricarda_propernoun
en-voga_adverb	into-vogue_adverb
rachelle_propernoun	rachelle_propernoun
líber_noun	bast_noun
bescanviador_noun	exchanger_noun
newcastle_propernoun	newcastle_propernoun
coordinar_verb	coordinate_verb
milun_propernoun	milun_propernoun
robineau_propernoun	robineau_propernoun
isomeria_noun	isomery_noun
importador_adjective	importing_adjective
part_noun	part_noun
tropical_adjective	tropical_adjective
hemoteràpia_noun	hemotherapy_noun
notburga_propernoun	notburga_propernoun
zenaires_propernoun	zenaires_propernoun
abdu_propernoun	abdu_propernoun
cesia_propernoun	cesia_propernoun
isostàsia_noun	isostasy_noun
sense_preposition	without_preposition
vorera_noun	pavement_noun
tortorici_propernoun	tortorici_propernoun
apoptosi_noun	apoptosis_noun
conduciu_adjective	conducive_adjective
fiji_propernoun	fiji_propernoun
jonah_propernoun	jonah_propernoun
subsidiari_adjective	subsidiary_adjective
atroç_adjective	agonizing_adjective
chowdhury_propernoun	chowdhury_propernoun
discapacitat_adjective	impaired_adjective
tejedor_propernoun	tejedor_propernoun
neyen_propernoun	neyen_propernoun
raimundo_propernoun	raimundo_propernoun
louvel_propernoun	louvel_propernoun
titànic_adjective	titanic_adjective
porció_noun	portion_noun
peñuela_propernoun	peñuela_propernoun
tetris_propernoun	tetris_propernoun
òptic_noun	optician_noun
alberto_propernoun	alberto_propernoun
st-james_propernoun	st-james_propernoun
autoestop_noun	hitchhiking_noun
innovació_noun	innovation_noun
tècnica_noun	technique_noun
hijano_propernoun	hijano_propernoun
brocal_propernoun	brocal_propernoun
consegüentment_adverb	consequently_adverb
carregar_verb	debit_verb
loyola_propernoun	loyola_propernoun
paisley_propernoun	paisley_propernoun
de-manera-asíncrona_adverb	asynchronously_adverb
quoquochi_propernoun	quoquochi_propernoun
ingham_propernoun	ingham_propernoun
rossí_noun	nag_noun
persecució_noun	persecution_noun
impediment_noun	impediment_noun
valentí_propernoun	valentí_propernoun
villén_propernoun	villén_propernoun
uganda_propernoun	uganda_propernoun
alcorà_propernoun	quran_propernoun
borat_noun	borate_noun
nicolino_propernoun	nicolino_propernoun
serpejar_verb	meander_verb
cultivable_adjective	arable_adjective
gollain_propernoun	gollain_propernoun
agustín_propernoun	agustín_propernoun
nisim_propernoun	nisim_propernoun
tibant_adjective	taut_adjective
goyo_propernoun	goyo_propernoun
bourne_propernoun	bourne_propernoun
piñar_propernoun	piñar_propernoun
andoquio_propernoun	andoquio_propernoun
renaud_propernoun	renaud_propernoun
darwinià_adjective	darwinian_adjective
el-meu_pronoun	my_pronoun
el-meu_determiner	my_determiner
el-meu_possessivepronoun	my_possessivepronoun
el-meu_determiner	my_determiner
el-meu_pronoun	my_pronoun
el-meu_possessivepronoun	my_possessivepronoun
el-meu_determiner	my_determiner
el-meu_possessivepronoun	my_possessivepronoun
bandit_noun	bandit_noun
camioner_noun	lorry-driver_noun
aniceto_propernoun	aniceto_propernoun
assenyalament_noun	designation_noun
postmodern_adjective	postmodern_adjective
falgás_propernoun	falgás_propernoun
contínuum_noun	continuum_noun
fetal_adjective	fetal_adjective
imperatiu_adjective	imperative_adjective
eleázar_propernoun	eleázar_propernoun
estimació_noun	estimation_noun
betiana_propernoun	betiana_propernoun
jareño_propernoun	jareño_propernoun
prefectura_noun	prefecture_noun
prolapse_noun	prolapse_noun
leocadio_propernoun	leocadio_propernoun
bossé_propernoun	bossé_propernoun
faune_noun	faun_noun
presentable_adjective	presentable_adjective
paràlisi_noun	paralysis_noun
autenticació_noun	authentication_noun
hurley_propernoun	hurley_propernoun
zinc_noun	zinc_noun
microsoft-excel_propernoun	microsoft-excel_propernoun
criteri-maximín_noun	maximin-criterion_noun
laudine_propernoun	laudine_propernoun
hewrey_propernoun	hewrey_propernoun
nelo_propernoun	nelo_propernoun
paris_propernoun	paris_propernoun
candelaria_propernoun	candelaria_propernoun
desembre_noun	december_noun
descôteaux_propernoun	descôteaux_propernoun
kimberley_propernoun	kimberley_propernoun
vittorio_propernoun	vittorio_propernoun
imprecisió_noun	imprecision_noun
eustaquio_propernoun	eustaquio_propernoun
dickens_propernoun	dickens_propernoun
per-sort_adverb	luckily_adverb
ayodhya_propernoun	ayodhya_propernoun
càustic_adjective	caustic_adjective
philie_propernoun	philie_propernoun
allan_propernoun	allan_propernoun
melamina_noun	melamine_noun
raspallar_verb	brush_verb
margaux_propernoun	margaux_propernoun
aristófanis_propernoun	aristófanis_propernoun
paladio_propernoun	paladio_propernoun
caròtide_noun	carotid_noun
escarré_propernoun	escarré_propernoun
vall_noun	vale_noun
corbalán_propernoun	corbalán_propernoun
sanroma_propernoun	sanroma_propernoun
salustiano_propernoun	salustiano_propernoun
kampala_propernoun	kampala_propernoun
kuratowski_propernoun	kuratowski_propernoun
empat_noun	tie_noun
àguila_noun	eagle_noun
hoffman_propernoun	hoffman_propernoun
obelisc_noun	obelisk_noun
kubrick_propernoun	kubrick_propernoun
marquis_propernoun	marquis_propernoun
hipocaust_noun	hypocaust_noun
alejandra_propernoun	alejandra_propernoun
pòrtic_noun	portico_noun
cortesia_noun	courtesy_noun
banana-mascle_noun	plantain_noun
dandi_noun	dandy_noun
en-relació-amb_preposition	in-regard-to_preposition
fred_adjective	cold_adjective
referir_verb	refer_verb
en-general_adverb	by-and-large_adverb
arquebisbe_noun	archbishop_noun
faldilla_noun	skirt_noun
lehouillier_propernoun	lehouillier_propernoun
gaset_propernoun	gaset_propernoun
encegador_adjective	blinding_adjective
llegible_adjective	readable_adjective
saladié_propernoun	saladié_propernoun
resum_noun	overview_noun
fins-a-cert-punt_adverb	to-a-small-extent_adverb
meteorologia_noun	meteorology_noun
india_propernoun	india_propernoun
rembrandt_propernoun	rembrandt_propernoun
lavilla_propernoun	lavilla_propernoun
pansiment_noun	wilting_noun
corrales_propernoun	corrales_propernoun
rosaura-andreu_propernoun	rosaura-andreu_propernoun
només-d'aquesta-manera_adverb	only-this-way_adverb
descontaminació_noun	decontamination_noun
òhmmetre_noun	ohmmeter_noun
accentuar_verb	accentuate_verb
convocar_verb	set-up_verb
acord_noun	agreement_noun
si-us-plau_interjection	please_interjection
sospitosament_adverb	suspiciously_adverb
bayes_propernoun	bayes_propernoun
uriel_propernoun	uriel_propernoun
abbott_propernoun	abbott_propernoun
chamaillard_propernoun	chamaillard_propernoun
descobrir_verb	discover_verb
monumental_adjective	monumental_adjective
països-baixos_propernoun	netherlands_propernoun
hétu_propernoun	hétu_propernoun
cresta_noun	crest_noun
omarion_propernoun	omarion_propernoun
boom_noun	boom_noun
everard_propernoun	everard_propernoun
atròfia_noun	atrophy_noun
dubois_propernoun	dubois_propernoun
administrativament_adverb	administratively_adverb
límit_adjective	borderline_adjective
leone_propernoun	leone_propernoun
lanfranco_propernoun	lanfranco_propernoun
donar-per_verb	consider_verb
cisse_propernoun	cisse_propernoun
hipocràtic_adjective	hippocratic_adjective
concoide_noun	conchoid_noun
còctel-molotov_noun	molotov-cocktail_noun
vangelis_propernoun	vangelis_propernoun
