gwelliannu,improve,verb
saer,carpenter,noun
dinoethi,denude,verb
ymgolli,lose oneself,verb
Marco,Marco,properNoun
effeithiol,effective,adjective
cofio,remember,verb
prenio,bolt,verb
gwagu,empty,verb
Samuel,Samuel,properNoun
effeithlon,efficient,adjective
genedigaeth,birth,noun
cynhwysydd,container,noun
amhosibl,impossible,adjective
hysbysrwydd,publicity,noun
Helsinki,Helsinki,properNoun
fformatio,format,verb
arferu,be accustomed,verb
ceincio,spread out,verb
echdoe,day before yesterday,adverb
Ethiopia,Ethiopia,properNoun
gobaith,hope,noun
yn ystod,during,preposition
Conwy,Conwy,properNoun
ymddiriedgar,trusting,adjective
Banc Lloegr,Bank of England,properNoun
gwaedu,bleed,verb
priodi,marry,verb
gwastatáu,level,verb
camarfer,misuse,verb
hecsadegol,hexadecimal,adjective
difodi,annihilate,verb
gan,since,subordinatingConjunction
gorffen,complete,verb
mawredd,greatness,noun
Palau,Palau,properNoun
mygydu,mask,verb
Seimon,Seimon,properNoun
ffydd,faith,noun
Katherine,Katherine,properNoun
diferu,drip,verb
dilema,dilemma,noun
taflen,leaflet,noun
ymdawelu,fall silent,verb
anturiaeth,adventure,noun
Macedonia,Macedonia,properNoun
cwestiwn,question,noun
cyfansawdd,compound,adjective
radiws,radius,noun
camfucheddu,lead a dissolute life,verb
bancawio,bind,verb
gŵr,man,noun
ffurfdroadol,inflectional,adjective
corn,horn,noun
Mecsico,Mexico,properNoun
cilwenu,smirk,verb
mohono hi,not her,adverb
ailadrodd,repeat,verb
tywyllu,darken,verb
Dean,Dean,properNoun
Gweriniaeth Ddemocrataidd y Congo,Democratic Republic of the Congo,properNoun
olrheiniad,backtrace,noun
pyg,bitumen,noun
cyfreithiwr,lawyer,noun
traddodi,deliver,verb
eithr,except,coordinatingConjunction
heislanu,hackle flax,verb
ymelwad,exploit,noun
pwys,weight,noun
effeithio ar,affect,verb
Papua Guinea Newydd,Papua New Guinea,properNoun
marw,dead,adjective
dyrnfedd,hand,noun
hiffio,drift,verb
canolradd,intermediate,adjective
syr,sir,noun
Tunis,Tunis,properNoun
cysylltnod,hyphen,noun
ad-dalu,repay,verb
disglair,bright,adjective
anogiaeth,exhortation,noun
parth,domain,noun
rhithio,transform supernaturally,verb
bario,bar,verb
penlinio,kneel,verb
penlinio,kneel,presentParticipleAdjective
economi,economy,noun
cynrychiadol,representative,adjective
cytundebu,make a pact,verb
tunnell,ton,noun
achlesu,succour,verb
cyfeillacha,associate with,verb
brasamcan,approximation,noun
Pen-y-bont,Bridgend,properNoun
Gogledd Korea,North Korea,properNoun
Gwatemala,Guatemala,properNoun
buchfrechu,vaccinate,verb
dirymedig,abolished,adjective
maint,size,noun
gofyn am,ask for,verb
theori,theory,noun
Llywodraeth y Cynulliad,Assembly Government,properNoun
ysbyty,hospital,noun
braenaru,fallow,verb
generig,generic,adjective
Hunt,Hunt,properNoun
cylchgrawn,magazine,noun
Gerard,Gerard,properNoun
Hana,Hana,properNoun
dwyfoch,cheek,noun
conglfaen,cornerstone,noun
metaboleg,metabolism,noun
Cooper,Cooper,properNoun
aml-ddisgyblaethol,multidisciplinary,adjective
deng,ten,numeral
uwchradd,superior,adjective
margarîn,margarine,noun
mantais,advantage,noun
llithio,nourish,verb
Mai,May,noun
symbylio,motivate,verb
coedio,construct timberwork,verb
clocwedd,clockwise,adjective
cyfryngu,intervene,verb
Mills,Mills,properNoun
Ethan,Ethan,properNoun
ochneidio,sigh,verb
cynorthwyol,assistive,adjective
lansio,launch,verb
cyfuno,combine,verb
rhagdybiaeth,hypothesis,noun
picio,dart,verb
Khan,Khan,properNoun
godinebu,fornicate,verb
fformiwla,formula,noun
uchafbwynt,maximum,noun
toreth,abundance,noun
meddygfa,surgery,noun
Madagascar,Madagascar,properNoun
Florence,Florence,properNoun
cyfarwyddyd,instruction,noun
am faint,for how long,determiner
am faint,for how long,interrogativePronoun
am faint,for how long,determiner
am faint,for how long,interrogativePronoun
am faint,for how long,determiner
am faint,for how long,interrogativePronoun
am faint,for how long,determiner
am faint,for how long,interrogativePronoun
Sonny,Sonny,properNoun
ymgelu,conceal oneself,verb
Law,Law,properNoun
datblygiadol,developmental,adjective
croeso i,welcome to,adverb
hylenydd,hygienist,noun
graffeg,graphics,noun
rhagbrawf,preliminary test,noun
llyu,lick,verb
barddoniaeth,poetry,noun
cydberthynas,interrelationship,noun
achos,case,noun
mwyafrif,majority,noun
trawsfeddiannu,usurp,verb
Nicola,Nicola,properNoun
empeiraeth,empiricism,noun
cyfarwyddiaeth,guidance,noun
coriander,coriander,noun
tradyrchafu,exalt,verb
dwy,two,numeral
amlder,frequency,noun
holl,all,pronoun
holl,all,determiner
chwalpio,butcher,verb
ffoli,dote,verb
Raúl,Raúl,properNoun
gwrthbwysol,counterbalancing,adjective
therapiwtig,therapeutic,adjective
dadlewygu,resuscitate,verb
diwallu,satisfy,verb
palindromig,palindromic,adjective
Cormack,Cormack,properNoun
cywasgiad,compression,noun
rhentu,rent,verb
Hafren,Avon,properNoun
sobrio,sober up,verb
Pakistan,Pakistan,properNoun
swnydd,pager,noun
trawsnewid,convert,verb
archfarchnad,hypermarket,noun
masglu,shell,verb
hwylus,convenient,adjective
crygu,become hoarse,verb
pluog,feathered,adjective
contractio,contract,verb
ar draws,across,preposition
heddwch,peace,noun
dyblygedig,replicated,adjective
pechu,sin,verb
i raddau helaeth,in large measure,adverb
rhyddhau,release,verb
llygad,eye,noun
basgedu,put in a basket,verb
perfformiadol,performing,adjective
enwad,sect,noun
barnu,judge,verb
gogleddol,northern,adjective
oddeutu,about,preposition
Jordi,Jordi,properNoun
deinosor,dinosaur,noun
hyfforddiadol,training,adjective
syntheseiddio,synthesised,adjective
capio,cap,verb
mewnforio,import,verb
cangen,branch,noun
diogelu,protect,verb
llorwedd,horizontal,noun
cydbenderfynu,decide together,verb
anhrefnu,disarrange,verb
Lois,Lois,properNoun
tiriogaeth,territory,noun
rhybedu,rivet,verb
grymus,mighty,adjective
cardota,beg,verb
parhaol,permanent,adjective
cyd-drefnu,arrange jointly,verb
Bosna a Hercegovina,Bosnia and Herzegovina,properNoun
bysio,finger,verb
Aserbaijan,Azerbaijan,properNoun
rhidyllu,sift,verb
rŵan,now,adverb
swyddogol,official,adjective
addas,appropriate,adjective
miliwn,million,noun
ymgrogi,hang oneself,verb
Marta,Marta,properNoun
fer,short,adjective
apeliwr,appellant,noun
rholian,roll,verb
eithaf,ultimate,adjective
bustachu,blunder about,verb
eich,your,possessivePronoun
eich,your,determiner
eich,your,possessivePronoun
eich,your,determiner
eich,your,possessivePronoun
eich,your,determiner
eich,your,possessivePronoun
eich,your,determiner
cywrain,skilful,adjective
mis Ionawr,January,noun
to,roof,noun
Vietnam,Vietnam,properNoun
teipograffeg,typography,noun
derbynneb,receipt,noun
pigo,prick,verb
ar fy mhen fy hun,on my own,adverb
ffrâm,frame,noun
llinborthiad,linefeed,noun
sinema,cinema,noun
Sybell,Sybell,properNoun
gwrogaethol,submissive,adjective
cymeradwy,acceptable,adjective
hidroleiddio,hydrolyse,verb
cydamseriad,synchronisation,noun
tabl,table,noun
Niger,Niger,properNoun
potsio,poach,verb
iawndal,compensation,noun
cydrannydd,resolver,noun
arsefydlydd,installer,noun
rhifiadol,numerical,adjective
telegynadledda,teleconference,verb
artist,artist,noun
camgyfarwyddo,mislead,verb
Alisha,Alisha,properNoun
Reynard,Reynard,properNoun
anfonwr,sender,noun
e-gyhoeddi,e-publishing,noun
arc,arc,noun
tu allan i,outside,preposition
cosi,itch,verb
Bwlgaria,Bulgaria,properNoun
bychan,small,adjective
cyduno,unite,verb
acen,accent,noun
Buenos Aires,Buenos Aires,properNoun
camgymeriad,mistake,noun
gwleidyddol,political,adjective
cyfatal,support,verb
cyfatal,support,presentParticipleAdjective
Tajikistan,Tajikistan,properNoun
clywed i,hear on,verb
pentwr,pile,noun
Foster,Foster,properNoun
twt,neat,adjective
cyfnodolyn,periodical,noun
dros nos,overnight,adverb
tebygolrwydd,probability,noun
gruddfanu,groan,verb
hifio,heave,verb
llwgu,be starving,verb
tostio,toast,verb
cyfarwyddo,direct,verb
Irene,Irene,properNoun
diweithdra,unemployment,noun
hanfod,essence,noun
lleiafol,minimalist,adjective
cywaith,project,noun
pa fath o,what sort of,determiner
pa fath o,what sort of,interrogativePronoun
pa fath o,what sort of,determiner
pa fath o,what sort of,interrogativePronoun
pa fath o,what sort of,determiner
pa fath o,what sort of,interrogativePronoun
pa fath o,what sort of,determiner
pa fath o,what sort of,interrogativePronoun
gwyrddu,turn green,verb
mud,dumb,adjective
teledu,televise,verb
arwynebeddau,area,noun
cyfalafiaeth,capitalism,noun
gelyniaeth,hostility,noun
penelinio,nudge,verb
anadlu,breathe,verb
ethol,elect,verb
ystyriaeth,consideration,noun
Joseph,Joseph,properNoun
mwgwd,mask,noun
bomio,bomb,verb
byclo,buckle,verb
cylchynu,surround,verb
dylunio,delineate,verb
gormodieithol,exaggerated,adjective
er,for,preposition
ffrwythlondeb,fertility,noun
trythyllwch,lasciviousness,noun
llwythog,loaded,adjective
Maleisia,Malaysia,properNoun
priod-ddull,idiom,noun
absennu,backbite,verb
ar hap,at random,adverb
marsiandïwr,trader,noun
straen,stress,noun
hafalochrog,equilateral,adjective
briwlan,drizzle,verb
weiro,wire,verb
isop,hyssop,noun
agored,open,adjective
plith,midst,noun
trigo,dwell,verb
croniclo,chronicle,verb
ymgorffori,embody,verb
Michaela,Michaela,properNoun
ymresymiad,argument,noun
camgyhuddo,accuse falsely,verb
cymeradwyo,approve,verb
cymeradwyo,approve,presentParticipleAdjective
ymryson,contend,verb
gwrêng,proletariat,noun
eto,again,adverb
sbectrwm,spectrum,noun
jwg,jug,noun
Gweriniaeth Canolbarth Affrica,Central African Republic,properNoun
pinbwyntio,pinpoint,verb
anffafriaeth,discrimination,noun
datgodydd,decoder,noun
dadansoddydd,analyser,noun
Portiwgal,Portugal,properNoun
ôl-enedigol,postnatal,adjective
arweinyddiaeth,leadership,noun
cyfarchiad,salutation,noun
hapchwarae,game of chance,noun
Jack,Jack,properNoun
Ty,Ty,properNoun
marian,moraine,noun
dileu,delete,verb
bron,almost,adverb
plagio,plague,verb
lloffa,collect,verb
brasbwytho,baste,verb
canoneiddio,canonise,verb
bodd,pleasure,noun
clapio,clap,verb
llefarwr,speaker,noun
hyfforddedig,trained,adjective
cwmwl,cloud,noun
cyfaddef,admit,verb
glasoed,youth,noun
Conor,Conor,properNoun
diffryd,protect,verb
echdynnu,extract,verb
cymynroddi,bequeath,verb
Caergybi,Holyhead,properNoun
hwyrhau,get late,verb
Patagonia,Patagonia,properNoun
Mark,Mark,properNoun
cromfach,bracket,noun
dymchweliad,overthrow,noun
teirannu,trisect,verb
pleidleisio,vote,verb
fesul,per,adverb
Botswana,Botswana,properNoun
ffosileiddio,fossilise,verb
Mawrth,Mars,properNoun
bachgen,boy,noun
prosiect,project,noun
megabeit,megabyte,noun
anghyfleus,inconvenient,adjective
amgylch,environ,noun
hyd,until,preposition
Abbi,Abbi,properNoun
gormod,too much,noun
cymedroli,moderate,verb
egni,energy,noun
Sir Frycheiniog,Brecknockshire,properNoun
Amman,Amman,properNoun
Jon,Jon,properNoun
ysgaldian,scald,verb
lluoswm,product,noun
prpers,prpers,pronoun
prpers,prpers,pronoun
distyllio,distil,verb
Anthony,Anthony,properNoun
gwrthnysedd,repulsion,noun
erchi,request,verb
Hamburg,Hamburg,properNoun
Kian,Kian,properNoun
ymddeoliad,retirement,noun
saith,seven,numeral
bihafio,behave,verb
enwog,famous,adjective
rhag ofn,lest,subordinatingConjunction
gwastatu,level,verb
pleidleisio dros,vote for,verb
nwy,gas,noun
mewnoliad,indent,noun
ategol,auxiliary,adjective
gofal,care,noun
potio,tipple,verb
crawnio,fester,verb
Miquel,Miquel,properNoun
modd,mode,noun
gwyngalchu,whitewash,verb
Tansanîa,Tanzania,properNoun
adnewyddiad,renewal,noun
dihoeni,languish,verb
yfory,tomorrow,adverb
tywynnu,shine,verb
blawd,flour,noun
profiad,experience,noun
glafoerio,slaver,verb
diflaster,boredom,noun
haf,summer,noun
gwerthfawr,valuable,adjective
galluog,enabled,adjective
pesgi,fatten,verb
alcemeg,alchemy,noun
anafu,injure,verb
llemain,leap,verb
gwibio,dart,verb
ardystiedig,certified,adjective
derbyniedig,received,adjective
llanast,mess,noun
trawsleoli,transpose,verb
ffwythiant,function,noun
croen,skin,noun
dychmygol,imaginary,adjective
clawr,cover,noun
gwan,pale,adjective
cynghoryn,tip,noun
llinellu,delineate,verb
hwyhau,lengthen,verb
Becky,Becky,properNoun
diofryd,renounce,verb
cydamrywiad,covariance,noun
rhywsut,somehow,adverb
tafellu,slice,verb
darfodedigaeth,phthisis,noun
oernadu,lament,verb
Haiti,Haiti,properNoun
unigolydd,individualist,adjective
cylchedd,circumference,noun
mis Chwefror,February,noun
gweithredwr,executive,noun
Llundain,London,properNoun
cans,because,subordinatingConjunction
ailddrafftio,redraft,verb
gofalydd,carer,noun
Cambodia,Cambodia,properNoun
Kathryn,Kathryn,properNoun
llenyddol,literary,adjective
etifeddiaeth,legacy,noun
hectogram,hectogram,noun
ailadroddiad,repetition,noun
darlosgi,singe,verb
drwgdybio,distrust,verb
argraff,impression,noun
peswch,cough,verb
Nicaragwa,Nicaragua,properNoun
braf,fine,adjective
anlladu,behave wantonly,verb
cyfiau,conjugate,noun
mamogi,mother,verb
all-lein,offline,adjective
gwrthgyferbynnu,contrast,verb
teleffoni,telephony,noun
ymod,move,verb
cyn-lywydd,former president,noun
gwarth,opprobrium,noun
trwy gydol y drafodaeth,throughout the discussion,adverb
endid,entity,noun
simsan,totter,verb
egluryn,caption,noun
dadebru,revive,verb
Wcráin,Ukraine,properNoun
Medi,September,noun
daroganu,predict,verb
canlyniadol,resulting,adjective
Richards,Richards,properNoun
blasuso,flavour,verb
adweithio,react,verb
ailwladychu,recolonise,verb
ffurfiannol,formative,adjective
disbyddu,drain,verb
Colman,Colman,properNoun
realistig,realistic,adjective
ailsianelu,rechannel,verb
plygu,bend,verb
storm,storm,noun
sosialaidd,socialist,adjective
cynnyrch,product,noun
Francesc Xavier,Francesc Xavier,properNoun
crwn,round,adjective
claearu,become lukewarm,verb
Malaysia,Malaysia,properNoun
athrodi,slander,verb
brigladd,lop the top off,verb
trefniadaeth,procedure,noun
personol,personal,adjective
Aberteifi,Cardigan,properNoun
harddu,beautify,verb
dadleoli,displace,verb
sgwâr,square,noun
llygoden,mouse,noun
gwybedyn,gnat,noun
Ynysoedd y Philipinau,Philippines,properNoun
pystylad,stamp,verb
Sambia,Zambia,properNoun
gwaharddiad,prohibition,noun
ymweledig,punished,adjective
cyflwyniadol,dedicatory,adjective
eilio,second,verb
ots,problem,noun
didynnu,subtract,verb
Josep Antoni,Josep Antoni,properNoun
trydar,twitter,verb
ewyllysu,will,verb
chwerwi,become bitter,verb
sticio,stick,verb
gwasgariad,dispersal,noun
bib,bleep,noun
rhew,ice,noun
carchariad,imprisonment,noun
ailddweud,repeat,verb
cydraddol,equalise,verb
onglydd,protractor,noun
grwpio,group,verb
fodd bynnag,however,adverb
awtistiaeth,autism,noun
côn,cone,noun
sialens,challenge,noun
gwawdio,mock,verb
seco,sack,verb
archwiliad,audit,noun
ymadu,depart,verb
Amsterdam,Amsterdam,properNoun
llewygu,faint,verb
modelau,models,noun
cynorthwyol,helpful,adjective
bet,bet,noun
cynorthwyol,helper,adjective
ffo,flight,noun
diwyd,assiduous,adjective
ffasgu,tie in a bundle,verb
Biel,Biel,properNoun
dolen,link,noun
Yaiza,Yaiza,properNoun
Leswtw,Lesotho,properNoun
rhostio,roast,verb
ystrad,vale,noun
Alicia,Alicia,properNoun
ciciwr,kicker,noun
Kristopher,Kristopher,properNoun
yn ôl,according to,preposition
eiliad,second,noun
sgil-effaith,side-effect,noun
anhapus,unhappy,adjective
goddiweddyd,overtake,verb
aeronoteg,aeronautics,noun
ar bwys,near,preposition
partneriaethol,partnership,adjective
torri costau,cut costs,verb
coetir,woodland,noun
rheswm,reason,noun
lluosol,multiple,adjective
cadeirydd y Bwrdd,chairman of the Board,noun
gwargrymu,stoop,verb
Sir Gaernarfon,Caernarfonshire,properNoun
sgript,script,noun
caboli,shine,verb
ceidwadaeth,conservatism,noun
prudd,grave,adjective
gwareiddio,civilise,verb
dynesáu,approach,verb
Gogledd Corea,North Korea,properNoun
ysgaldanu,scald,verb
strategaeth,strategy,noun
Caerloyw,Gloucester,properNoun
llythyra,correspond,verb
oedi,pause,verb
Mackay,Mackay,properNoun
blotio,blot,verb
swperu,eat supper,verb
cyfarchu,hail,verb
anifeileiddio,brutalise,verb
tywysio,lead,verb
gwydro,glaze,verb
cod,code,noun
Arwen,Arwen,properNoun
Gray,Gray,properNoun
awyrborth,airport,noun
Ann,Ann,properNoun
Gaiman,Gaiman,properNoun
powdro,powder,verb
ymroi,devote oneself,verb
casgliadau,collections,noun
ymosodwr,attacker,noun
byrder,shortness,noun
Macdonald,Macdonald,properNoun
penwythnos,weekend,noun
digwyddiad,event,noun
argymhelliad,recommendation,noun
croes,cross,noun
adio,add,verb
awgrymu,suggest,verb
cyfeirio at,refer to,verb
Jenna,Jenna,properNoun
ac ati,and so on,adverb
siwglo,juggle,verb
gêm,game,noun
manyleb,specification,noun
hysbysydd,notifier,noun
cam,step,verb
golwg,look,noun
Moldofa,Moldova,properNoun
dadwraidd,uproot,verb
dolefain,wail,verb
cluro,colour,verb
Surinam,Suriname,properNoun
Elyn,Elyn,properNoun
tymheredd,temperature,noun
magwyro,wall,verb
canolbwynt,focus,noun
ardystio,pledge,verb
brawddeg,sentence,noun
Watson,Watson,properNoun
rhwdu,rust,verb
drygioni,wrongdoing,noun
Texas,Texas,properNoun
algorithm,algorithm,noun
gweledol,visual,adjective
breuhau,become fragile,verb
Chloe,Chloe,properNoun
seimio,grease,verb
ymhlith,among,preposition
tremygu,despise,verb
canolraddol,intermediate,adjective
Callie,Callie,properNoun
Lilly,Lilly,properNoun
budd-dal,social security payment,noun
Prestatyn,Prestatyn,properNoun
hufen,cream,noun
ansafonol,non-standard,adjective
icosahedron,icosahedron,noun
dilladu,clothe,verb
codi,lift,verb
Prag,Prague,properNoun
cyrchiad,access,noun
melin,mill,noun
sengl,single,adjective
awdurdodi,authorise,verb
uchelseinydd,loudspeaker,noun
negeseua,negotiate,verb
tangnefeddu,pacify,verb
ymchwilio i,investigate,verb
drifftio,drift,verb
Davidson,Davidson,properNoun
corffoli,embody,verb
mân,fine,adjective
gyda,with,preposition
prinder,scarcity,noun
Abi,Abi,properNoun
cymunedol,community,adjective
gliniadur,laptop,noun
México,Mexico,properNoun
cloadur,closure,noun
chwalu,scatter,verb
chwalu,scatter,presentParticipleAdjective
dadelfennu,decompose,verb
eilradd,secondary,adjective
rhaffo,rope,verb
rhagddodiad,prefix,noun
dyfeisgar,ingenious,adjective
gwallt,hair,noun
hiraeth,longing,noun
profocio,tease,verb
profocio,tease,presentParticipleAdjective
smalio,joke,verb
gofynnod,question-mark,noun
sengi,trample,verb
agoredig,opened,adjective
gwedduso,make suitable,verb
ailgasglu,recollect,verb
cyflynu,cohere,verb
diolchgarwch,gratitude,noun
ymdaclu,tidy oneself,verb
Kelsie,Kelsie,properNoun
plân,plane,noun
Twfalw,Tuvalu,properNoun
ofnadwy,terrible,adjective
rhaghysbysu,preannounce,verb
hepgor,omit,verb
goferu,pour,verb
tisian,sneeze,verb
mewnbynnu,input,verb
negesydd,messenger,noun
amddifad,orphaned,adjective
cloffi,limp,verb
cystuddio,vex,verb
ymegnïo,strive,verb
gwleidyddiaeth,politics,noun
Jaume,Jaume,properNoun
dirgrynu,vibrate,verb
gobeithio,hope,verb
Ferguson,Ferguson,properNoun
bras,rough,adjective
dipo,dip,verb
tra,while,subordinatingConjunction
adeilad,building,noun
atgoffaol,reminiscent,adjective
cydamseredig,synchronous,adjective
anghredu,disbelieve,verb
