éplucher_verb	esclofollar_verb
charlebois_propernoun	charlebois_propernoun
classificateur_noun	classificador_noun
assunção_propernoun	assunção_propernoun
sahnti_propernoun	sahnti_propernoun
enguix_propernoun	enguix_propernoun
triton_noun	tritó_noun
océanique_adjective	oceànic_adjective
rovirosa_propernoun	rovirosa_propernoun
cylindrique_adjective	cilíndric_adjective
terradellas_propernoun	terradellas_propernoun
pearl-harbor_propernoun	pearl-harbor_propernoun
fisc_noun	fisc_noun
prescient_adjective	prescient_adjective
philippe_propernoun	filip_propernoun
niño_propernoun	niño_propernoun
tardà_propernoun	tardà_propernoun
celis_propernoun	celis_propernoun
espí_propernoun	espí_propernoun
avocat_noun	alvocat_noun
rouble_noun	ruble_noun
roa_propernoun	roa_propernoun
escipió_propernoun	escipió_propernoun
meuble_adjective	moble_adjective
impassible_adjective	impassible_adjective
médailler_verb	condecorar_verb
payer-des-impôts_verb	tributar_verb
mazzarrino_propernoun	mazzarrino_propernoun
obrien_propernoun	obrien_propernoun
développeur_noun	desenvolupador_noun
aragon_propernoun	aragó_propernoun
phare_noun	far_noun
ariadna_propernoun	ariadna_propernoun
weiner_propernoun	weiner_propernoun
glucocorticoïde_noun	glucocorticoide_noun
theodor_propernoun	theodor_propernoun
galuppo_propernoun	galuppo_propernoun
repousser_verb	refusar_verb
cour-des-comptes_noun	tribunal-de-comptes_noun
mena_propernoun	mena_propernoun
graffiti_noun	graffiti_noun
dalmases_propernoun	dalmases_propernoun
ene_propernoun	ene_propernoun
rassemblement_noun	concentració_noun
littoral_adjective	litoral_adjective
senesi_propernoun	senesi_propernoun
dodsworth_propernoun	dodsworth_propernoun
maçanet-de-cabrenys_propernoun	maçanet-de-cabrenys_propernoun
lattanzi_propernoun	lattanzi_propernoun
gangréner_verb	gangrenar_verb
chili_propernoun	xile_propernoun
rom_adjective	gitano_adjective
structurel_adjective	estructural_adjective
plantigrade_noun	plantígrad_noun
arrosage_noun	reg_noun
pellisa_propernoun	pellisa_propernoun
ronaldinho_propernoun	ronaldinho_propernoun
marineau_propernoun	marineau_propernoun
articuler_verb	articular_verb
chamanique_adjective	xamànic_adjective
de-belém_propernoun	de-belém_propernoun
retard_noun	demora_noun
mâle_noun	mascle_noun
essayer_verb	intentar_verb
programmeur_noun	programador_noun
nicaragua_propernoun	nicaragua_propernoun
sous-bois_noun	sotabosc_noun
vivier_noun	viver_noun
rate_noun	melsa_noun
subtropical_adjective	subtropical_adjective
hogan_propernoun	hogan_propernoun
gotor_propernoun	gotor_propernoun
stéreo_adjective	estèreo_adjective
fortugno_propernoun	fortugno_propernoun
jouer_verb	tenir_verb
canoë_noun	canoa_noun
coen_propernoun	coen_propernoun
depuis-la-moitié-de_preposition	des-de-mitjan-de_preposition
fay_propernoun	fay_propernoun
pantois_adjective	garratibat_adjective
diallo_propernoun	diallo_propernoun
écosystème_noun	ecosistema_noun
chiva_propernoun	chiva_propernoun
pois-chiche_noun	cigró_noun
interministériel_adjective	interministerial_adjective
déjouer_verb	burlar_verb
carrosser_verb	carrossar_verb
ventriculaire_adjective	ventricular_adjective
adèle_propernoun	adèle_propernoun
eveline_propernoun	eveline_propernoun
armure_noun	cuirassa_noun
portell_propernoun	portell_propernoun
poivron_noun	pebrot_noun
métabolite_noun	metabòlit_noun
abelleira_propernoun	abelleira_propernoun
électrophorèse_noun	electroforesi_noun
ambrogio_propernoun	ambrogio_propernoun
guam_propernoun	guam_propernoun
descente_noun	descens_noun
trinidad_propernoun	trinidad_propernoun
postérité_noun	posteritat_noun
problématique_adjective	problemàtic_adjective
panthère_noun	pantera_noun
avis_noun	albir_noun
rustico_propernoun	rustico_propernoun
de-la-part-de_preposition	de-part-de_preposition
squatter_noun	okupa_noun
affirmer_verb	afirmar_verb
bonification_noun	bonificació_noun
chicaner_verb	turmentar_verb
walsh_propernoun	walsh_propernoun
théologie_noun	teologia_noun
tranchida_propernoun	tranchida_propernoun
gilbert_propernoun	gilbert_propernoun
mastectomie_noun	mastectomia_noun
bourbons_propernoun	borbons_propernoun
neuropathologie_noun	neuropatologia_noun
caballo_propernoun	caballo_propernoun
tírvia_propernoun	tírvia_propernoun
accueil_noun	acollida_noun
pionnier_adjective	capdavanter_adjective
baphoen_propernoun	baphoen_propernoun
piailler_verb	piular_verb
silicification_noun	silicificació_noun
croissance_noun	creixença_noun
frusciante_propernoun	frusciante_propernoun
résinier_adjective	resiner_adjective
dedans_adverb	dins_adverb
fluvi_propernoun	fluvi_propernoun
louvoyer_verb	bordejar_verb
profaner_verb	profanar_verb
cruyff_propernoun	cruyff_propernoun
dégueulasse_adjective	fastigós_adjective
deslauriers_propernoun	deslauriers_propernoun
exténuer_verb	extenuar_verb
pagaille_noun	merder_noun
aznavour_propernoun	aznavour_propernoun
vainqueur_noun	triomfador_noun
démineur_noun	caçamines_noun
champegnois_propernoun	champegnois_propernoun
rei_propernoun	rei_propernoun
inaliénabilité_noun	inalienabilitat_noun
jasikevicius_propernoun	jasikevicius_propernoun
polarographie_noun	polarografia_noun
sympathectomie_noun	simpatectomia_noun
conchi_propernoun	conchi_propernoun
melchionna_propernoun	melchionna_propernoun
moore_propernoun	moore_propernoun
mantia_propernoun	mantia_propernoun
ps_noun	ps_noun
assassiner_verb	assassinar_verb
économique_adjective	econòmic_adjective
journalisme_noun	periodisme_noun
feliu_propernoun	feliu_propernoun
mendizorrotza_propernoun	mendizorrotza_propernoun
déloyauté_noun	deslleialtat_noun
redoublant_noun	repetidor_noun
commensal_adjective	comensal_adjective
démobilisation_noun	desmobilització_noun
filouter_verb	fer-trampa_verb
carrà_propernoun	carrà_propernoun
el-castell-de-guadalest_propernoun	el-castell-de-guadalest_propernoun
avant-dernier_adjective	penúltim_adjective
jospin_propernoun	jospin_propernoun
souricière_noun	ratera_noun
protéique_adjective	proteínic_adjective
méthanol_noun	metanol_noun
tombeau_noun	tomba_noun
vivó_propernoun	vivó_propernoun
surmonter_verb	superar_verb
laitier_adjective	lleter_adjective
glouton_noun	golut_noun
bolzonello_propernoun	bolzonello_propernoun
baltimore_propernoun	baltimore_propernoun
zamparutti_propernoun	zamparutti_propernoun
fragiliser_verb	afeblir_verb
culpabiliser_verb	culpabilitzar_verb
corneveaux_propernoun	corneveaux_propernoun
theiner_propernoun	theiner_propernoun
tsigane_noun	gitano_noun
agressif_adjective	agresiu_adjective
alentorn_propernoun	alentorn_propernoun
bathylle_propernoun	bathylle_propernoun
partialité_noun	parcialitat_noun
stégosaure_noun	estegosaure_noun
arantzazu_propernoun	arantzazu_propernoun
explication_noun	explicació_noun
lamothe_propernoun	lamothe_propernoun
navás_propernoun	navás_propernoun
postulant_noun	sol·licitant_noun
monosomie_noun	monosomia_noun
short_propernoun	short_propernoun
sans-doute_adverb	indubtablement_adverb
isotonique_adjective	isotònic_adjective
observateur_adjective	observador_adjective
sopena_propernoun	sopena_propernoun
liu_propernoun	liu_propernoun
émancipatoire_adjective	emancipatori_adjective
costantini_propernoun	costantini_propernoun
bru_noun	nora_noun
pardo_propernoun	pardo_propernoun
réfuter_verb	refutar_verb
hniena_propernoun	hniena_propernoun
lavandin_noun	lavandí_noun
cataracte_noun	cataracta_noun
connors_propernoun	connors_propernoun
dactylogramme_noun	dactilograma_noun
napoletano_propernoun	napoletano_propernoun
esmée_propernoun	esmée_propernoun
focalisation_noun	focalització_noun
bud_propernoun	bud_propernoun
ouvrier_adjective	obrer_adjective
notarié_adjective	notarial_adjective
manis_propernoun	manis_propernoun
uras_propernoun	uras_propernoun
déverbal_adjective	deverbal_adjective
présumé_adjective	presumpte_adjective
royauté_noun	reialesa_noun
séronégatif_adjective	seronegatiu_adjective
alamillo_propernoun	alamillo_propernoun
passer_verb	transcórrer_verb
ridicule_adjective	ridícul_adjective
vary_propernoun	vary_propernoun
caparvi_propernoun	caparvi_propernoun
gravé_propernoun	gravé_propernoun
cuñat_propernoun	cuñat_propernoun
interdisciplinaire_adjective	interdisciplinari_adjective
bonn_propernoun	bonn_propernoun
comme_preposition	com-a_preposition
schmid_propernoun	schmid_propernoun
acrosome_noun	acrosoma_noun
prospecteur_noun	prospector_noun
arquer_verb	arcar_verb
entêter_verb	entestar_verb
clayton_propernoun	clayton_propernoun
canette_noun	llauna_noun
pomar_propernoun	pomar_propernoun
dipsomanie_noun	dipsomania_noun
gourmandise_noun	llaminadura_noun
stoetzel_propernoun	stoetzel_propernoun
agir-de_verb	tractar-de_verb
sournois_adjective	garneu_adjective
sant-aniol-de-finestres_propernoun	sant-aniol-de-finestres_propernoun
isomérisme_noun	isomerisme_noun
embryon_noun	embrió_noun
voisin_noun	veí_noun
jaillir_verb	adollar_verb
dialectalisme_noun	dialectalisme_noun
avoir-lieu_verb	tenir-lloc_verb
mûr_adjective	madur_adjective
chaldéen_adjective	caldeu_adjective
trahan_propernoun	trahan_propernoun
bosum_propernoun	bosum_propernoun
jesse_propernoun	jesse_propernoun
alto_noun	viola_noun
allongé_adjective	estirat_adjective
taureau_noun	toro_noun
méfier_verb	desconfiar_verb
abîmer_verb	estropellar_verb
béhaviorisme_noun	conductisme_noun
gaia_propernoun	gaia_propernoun
massif_noun	serra_noun
soussigner_verb	subscriure_verb
affection_noun	afecció_noun
place_noun	plaça_noun
cacchione_propernoun	cacchione_propernoun
confédéré_adjective	confederat_adjective
costescu_propernoun	costescu_propernoun
ferraz_propernoun	ferraz_propernoun
négliger_verb	descuidar_verb
costas_propernoun	costas_propernoun
aquifère_adjective	aqüífer_adjective
prendre-au-piège_verb	entrampar_verb
tchador_noun	xador_noun
stancu_propernoun	stancu_propernoun
jocelyne_propernoun	jocelyne_propernoun
redox_adjective	redox_adjective
lanneville_propernoun	lanneville_propernoun
furet_noun	fura_noun
sen_noun	sen_noun
québécois_noun	quebequès_noun
homs_propernoun	homs_propernoun
inerte_adjective	inert_adjective
émetteur_noun	emissor_noun
briccola_propernoun	briccola_propernoun
crossley_propernoun	crossley_propernoun
merci_noun	mercè_noun
provision_noun	provisió_noun
erasmus_propernoun	erasmus_propernoun
thaïlandais_noun	tailandès_noun
coteau_noun	serral_noun
moravie_propernoun	moràvia_propernoun
rucco_propernoun	rucco_propernoun
el-poble-nou-de-benitatxell_propernoun	el-poble-nou-de-benitatxell_propernoun
phénylalanine_noun	fenilalanina_noun
compte_propernoun	compte_propernoun
pointure_noun	número_noun
pourtour_noun	perímetre_noun
lafontant_propernoun	lafontant_propernoun
cylindroïde_adjective	cilindroide_adjective
barril_propernoun	barril_propernoun
herminette_noun	aixa_noun
pujades_propernoun	pujades_propernoun
gasch_propernoun	gasch_propernoun
polysulfure_noun	polisulfur_noun
marginalement_noun	marginalment_noun
actinique_adjective	actínic_adjective
pallium_noun	pal·li_noun
instagramer_noun	instagramer_noun
baguer_verb	anellar_verb
pièce-de-vêtement_noun	peça-de-vestir_noun
vallclara_propernoun	vallclara_propernoun
autoproclamé_adjective	autoproclamat_adjective
bière_noun	cervesa_noun
belhumeur_propernoun	belhumeur_propernoun
dingue_adjective	guillat_adjective
bassolino_propernoun	bassolino_propernoun
mettre-la-table_verb	parar-taula_verb
ruano_propernoun	ruano_propernoun
toiture_noun	coberta_noun
complémentarité_noun	complementarietat_noun
parveen_propernoun	parveen_propernoun
traverser_verb	travessar_verb
atkinson_propernoun	atkinson_propernoun
tine_noun	tina_noun
cladisme_noun	cladisme_noun
agent_noun	agent_noun
minerva_propernoun	minerva_propernoun
fainéant_noun	gandul_noun
stevenson_propernoun	stevenson_propernoun
symboliquement_adverb	simbòlicament_adverb
hondón-de-los-frailes_propernoun	hondón-de-los-frailes_propernoun
charter_noun	xàrter_noun
bénir_verb	beneir_verb
compilation_noun	recopilatori_noun
laissez-passer_noun	credencial_noun
pissenlit_noun	dent-de-lleó_noun
ortiga_propernoun	ortiga_propernoun
palourde_noun	cloïssa_noun
diffusionniste_adjective	difusionista_adjective
astragale_noun	astràgal_noun
karina_propernoun	karina_propernoun
baguette_noun	vareta_noun
caneton_noun	aneguet_noun
noble_adjective	noble_adjective
schindler_propernoun	schindler_propernoun
insurgent_noun	insurgent_noun
cucurella_propernoun	cucurella_propernoun
audiologie_noun	audiologia_noun
barrera_propernoun	barrera_propernoun
de_preposition	des-de_preposition
vibrer_verb	vibrar_verb
passionément_adverb	apassionadament_adverb
entraver_verb	entorpir_verb
rahal_propernoun	rahal_propernoun
caffaratto_propernoun	caffaratto_propernoun
higuaín_propernoun	higuaín_propernoun
topographie_noun	topografia_noun
postclassique_adjective	postclàssic_adjective
rizó_propernoun	rizó_propernoun
jasmyn_propernoun	jasmyn_propernoun
en-dessous_adverb	a-sota_adverb
byzantin_adjective	bizantí_adjective
malaire_adjective	malar_adjective
lechuga_propernoun	lechuga_propernoun
pyromorphite_noun	piromorfita_noun
autel_noun	altar_noun
masque_noun	mascarot_noun
convivial_adjective	sociable_adjective
nicolaescu_propernoun	nicolaescu_propernoun
lonsdale_propernoun	lonsdale_propernoun
dirigiste_noun	dirigista_noun
morancho_propernoun	morancho_propernoun
fenoll_propernoun	fenoll_propernoun
utilisable_adjective	utilitzable_adjective
sadique_adjective	sàdic_adjective
cortiella_propernoun	cortiella_propernoun
bellmunt-d'urgell_propernoun	bellmunt-d'urgell_propernoun
abrutir_verb	embrutir_verb
arasanz_propernoun	arasanz_propernoun
généalogiquement_adverb	genealògicament_adverb
révolte_noun	revolta_noun
carbone_propernoun	carbone_propernoun
sant-cebrià-de-vallalta_propernoun	sant-cebrià-de-vallalta_propernoun
panetta_propernoun	panetta_propernoun
prophétiser_verb	profetitzar_verb
abri_noun	abric_noun
aspermatisme_noun	aspermatisme_noun
rigorisme_noun	rigorisme_noun
catalanophone_adjective	catalanoparlant_adjective
cochon_noun	porc_noun
fibrilleux_adjective	fibril·lós_adjective
architecture_noun	arquitectura_noun
comprimer_verb	comprimir_verb
diapositive_noun	diapositiva_noun
obstacle_noun	trava_noun
ipod_propernoun	ipod_propernoun
indestructiblement_adverb	indestructiblement_adverb
salvas_propernoun	salvas_propernoun
istrate_propernoun	istrate_propernoun
suscription_noun	adreça_noun
capitolin_adjective	capitolí_adjective
windal_propernoun	windal_propernoun
assureur_noun	assegurador_noun
sender_propernoun	sender_propernoun
analphabétisme_noun	analfabetisme_noun
cypriote_adjective	xipriota_adjective
santi_propernoun	santi_propernoun
assoupir_verb	ensopir_verb
lycanthropie_noun	licantropia_noun
von-fellenberg_propernoun	von-fellenberg_propernoun
abbott_propernoun	abbott_propernoun
rigol_propernoun	rigol_propernoun
caselli_propernoun	caselli_propernoun
soutien-gorge_noun	sostenidor_noun
soudain_adverb	tot-d'un-plegat_adverb
libyen_noun	libi_noun
déclencher_verb	activar_verb
planifier_verb	planificar_verb
monumentalement_adverb	monumentalment_adverb
butylique_adjective	butílic_adjective
susanita_propernoun	susanita_propernoun
mer-caspienne_propernoun	mar-caspi_propernoun
mellor_propernoun	mellor_propernoun
mexia_propernoun	mexia_propernoun
giulia_propernoun	giulia_propernoun
lucie_propernoun	lucie_propernoun
suppresseur_adjective	supressor_adjective
érotomane_noun	erotòman_noun
bird_propernoun	bird_propernoun
persuasion_noun	persuasió_noun
titularité_noun	titularitat_noun
taquin_adjective	punyeter_adjective
spectrographique_adjective	espectrogràfic_adjective
claque_noun	clatellot_noun
bon_noun	val_noun
henri_propernoun	enric_propernoun
morphinomanie_noun	morfinomania_noun
eden_propernoun	eden_propernoun
poubelle_noun	cubell-de-les-escombraries_noun
veneto_propernoun	veneto_propernoun
caicedo_propernoun	caicedo_propernoun
notaris_propernoun	notaris_propernoun
matton_propernoun	matton_propernoun
isomorphiquement_adverb	isomòrficament_adverb
duciaume_propernoun	duciaume_propernoun
georgina_propernoun	georgina_propernoun
désordre_noun	desordre_noun
bonin_propernoun	bonin_propernoun
tétraphonie_noun	tetrafonia_noun
cartographique_adjective	cartogràfic_adjective
wycliffe_propernoun	wycliffe_propernoun
arthroplastie_noun	artroplàstia_noun
à-bout-de-souffle_adverb	sense-alè_adverb
guglielmi_propernoun	guglielmi_propernoun
ribaudo_propernoun	ribaudo_propernoun
pelage_noun	pelatge_noun
origami_noun	origami_noun
primatie_noun	primacia_noun
folk_adjective	folk_adjective
musicien_noun	músic_noun
précieux_adjective	preciosista_adjective
jute_noun	jute_noun
bruzzi_propernoun	bruzzi_propernoun
cumulatif_adjective	cumulatiu_adjective
golden_noun	golden_noun
pascu_propernoun	pascu_propernoun
navré_adjective	desolat_adjective
lequel_relativepronoun	què_relativepronoun
lequel_interrogativepronoun	què_interrogativepronoun
bonifaci_propernoun	bonifaci_propernoun
rédaction_noun	redacció_noun
chausser_verb	calçar_verb
ferreux_adjective	ferrós_adjective
conde_propernoun	conde_propernoun
amplifier_verb	amplificar_verb
mot-clef_noun	paraula-clau_noun
basketteur_noun	jugador-de-bàsquet_noun
latorre_propernoun	latorre_propernoun
taricco_propernoun	taricco_propernoun
anorak_noun	anorac_noun
fatou_propernoun	fatou_propernoun
réclame_noun	anunci_noun
neuroanatomiste_noun	neuroanatomista_noun
océanographe_noun	oceanògraf_noun
atemporel_adjective	atemporal_adjective
inamissibilité_noun	inamissibilitat_noun
renforcement_noun	reforç_noun
agost_propernoun	agost_propernoun
démission_noun	renúncia_noun
rejeter_verb	rebutjar_verb
zubaydah_propernoun	zubaydah_propernoun
exsudation_noun	exsudació_noun
fredonner_verb	taral·lejar_verb
terre-plein_noun	terraplè_noun
zahira_propernoun	zahira_propernoun
patrie_noun	pàtria_noun
gurruchaga_propernoun	gurruchaga_propernoun
gluck_propernoun	gluck_propernoun
légèrement_adverb	lleugerament_adverb
bouchar_propernoun	bouchar_propernoun
basculer_verb	bascular_verb
inédit_adjective	inèdit_adjective
nonobstant_subordinatingconjunction	no-obstant-això_subordinatingconjunction
gimeno_propernoun	gimeno_propernoun
tiers-monde_noun	tercer-món_noun
rosarito_propernoun	rosarito_propernoun
italophone_adjective	italoparlant_adjective
paquet_noun	farcell_noun
busseti_propernoun	busseti_propernoun
infidélité_noun	infidelitat_noun
atrophique_adjective	atròfic_adjective
aitken_propernoun	aitken_propernoun
rosati_propernoun	rosati_propernoun
contrister_verb	afligir_verb
patania_propernoun	patania_propernoun
adornato_propernoun	adornato_propernoun
candelaria_propernoun	candelaria_propernoun
selvaggia_propernoun	selvaggia_propernoun
légalisation_noun	legalització_noun
turcoman_adjective	turcman_adjective
pella_propernoun	pella_propernoun
woodhull_propernoun	woodhull_propernoun
tango_noun	tango_noun
terrifique_adjective	terrífic_adjective
volley-ball_noun	voleibol_noun
pettersen_propernoun	pettersen_propernoun
absorber_verb	absorbir_verb
uige_propernoun	uige_propernoun
bordes_propernoun	bordes_propernoun
miel_noun	mel_noun
grille-de-programmes_noun	programació_noun
masia_propernoun	masia_propernoun
cody_propernoun	cody_propernoun
la-vila-joiosa_propernoun	la-vila-joiosa_propernoun
eduardo_propernoun	eduardo_propernoun
tiroir_noun	calaix_noun
alliage_noun	aliatge_noun
aleandro_propernoun	aleandro_propernoun
coudre_verb	cosir_verb
benedicta_propernoun	benedicta_propernoun
verbe_noun	verb_noun
agriculture_noun	agricultura_noun
faussement_adverb	erròniament_adverb
hobson_propernoun	hobson_propernoun
régénérer_verb	regenerar_verb
exceptionnalité_noun	excepcionalitat_noun
cussà_propernoun	cussà_propernoun
déflexion_noun	deflexió_noun
courtiser_verb	galantejar_verb
clé-de-fa_noun	clau-de-fa_noun
cidui_propernoun	cidui_propernoun
crête_propernoun	crête_propernoun
morvan_propernoun	morvan_propernoun
narcotrafiquant_noun	narcotraficant_noun
lübeck_propernoun	lübeck_propernoun
langue-des-signes_noun	llengua-de-signes_noun
dativa_propernoun	dativa_propernoun
autour_adverb	a-l'entorn_adverb
cento_propernoun	cento_propernoun
schirò_propernoun	schirò_propernoun
harrington_propernoun	harrington_propernoun
ouvrage_noun	labor_noun
fevrier_propernoun	fevrier_propernoun
insensiblement_adverb	insensiblement_adverb
natacha_propernoun	natacha_propernoun
euphorique_adjective	eufòric_adjective
arôme_noun	aroma_noun
névralgique_adjective	neuràlgic_adjective
faiblesse_noun	fluixesa_noun
vecchiali_propernoun	vecchiali_propernoun
pyrénées-atlantiques_propernoun	pirineus-atlàntics_propernoun
bluffant_adjective	impressionant_adjective
axialement_adverb	axialment_adverb
manque-de-coordination_noun	descoordinació_noun
saint-brieuc_propernoun	saint-brieuc_propernoun
cistella_propernoun	cistella_propernoun
gianotti_propernoun	gianotti_propernoun
boisselle_propernoun	boisselle_propernoun
álvaro_propernoun	álvaro_propernoun
parricide_noun	parricida_noun
nácher_propernoun	nácher_propernoun
saisie_noun	embargament_noun
devise_noun	divisa_noun
érectile_adjective	erèctil_adjective
bice_propernoun	bice_propernoun
déraisonné_adjective	desenraonat_adjective
fanfaronner_verb	fanfarronejar_verb
réhydratation_noun	rehidratació_noun
cardinal_noun	cardenal_noun
amable_propernoun	amable_propernoun
ce_determiner	aqueix_determiner
ce_demonstrativepronoun	aqueix_demonstrativepronoun
ce_determiner	aqueix_determiner
ce_demonstrativepronoun	aqueix_demonstrativepronoun
ce_pronoun	aqueix_pronoun
ce_determiner	aqueix_determiner
ce_demonstrativepronoun	aqueix_demonstrativepronoun
filocamo_propernoun	filocamo_propernoun
proscénium_noun	prosceni_noun
jeanine_propernoun	jeanine_propernoun
berguedà_propernoun	berguedà_propernoun
servomécanisme_noun	servomecanisme_noun
silvestri_propernoun	silvestri_propernoun
tronçon_noun	tros_noun
elisardo_propernoun	elisardo_propernoun
melo_propernoun	melo_propernoun
honni_adjective	maleït_adjective
chapman_propernoun	chapman_propernoun
séropositif_adjective	seropositiu_adjective
gréer_verb	aparellar_verb
termens_propernoun	termens_propernoun
calavérite_noun	calaverita_noun
bitton_propernoun	bitton_propernoun
germanium_noun	germani_noun
prudent_adjective	prudent_adjective
islamisation_noun	islamització_noun
presbytère_noun	presbiteri_noun
saba_propernoun	saba_propernoun
conjugable_adjective	conjugable_adjective
urne_noun	urna_noun
marquer-un-panier_verb	encistellar_verb
permettre_verb	permetre_verb
conduction_noun	conducció_noun
sécularité_noun	secularitat_noun
tabitha_propernoun	tabitha_propernoun
parking_noun	aparcament_noun
chavero_propernoun	chavero_propernoun
libéralité_noun	liberalitat_noun
autosatisfaction_noun	autosatisfacció_noun
déformation_noun	deformació_noun
maita_propernoun	maita_propernoun
aminoplaste_noun	aminoplast_noun
électrocardiographie_noun	electrocardiografia_noun
fedele_propernoun	fedele_propernoun
carreler_verb	caironar_verb
sur_preposition	damunt-de_preposition
échouer_verb	fracassar_verb
monrós_propernoun	monrós_propernoun
dalixa_propernoun	dalixa_propernoun
bayona_propernoun	bayona_propernoun
pavón_propernoun	pavón_propernoun
trivialement_adverb	trivialment_adverb
baptême_noun	baptisme_noun
espinola_propernoun	espinola_propernoun
grand_propernoun	grand_propernoun
incorruptible_adjective	incorruptible_adjective
fissore_propernoun	fissore_propernoun
pain-maison_noun	pa-casolà_noun
franks_propernoun	franks_propernoun
duchetta_propernoun	duchetta_propernoun
pantagruel_propernoun	pantagruel_propernoun
fastigié_adjective	fastigiat_adjective
scardaoni_propernoun	scardaoni_propernoun
idéographique_adjective	ideogràfic_adjective
obstétrique_noun	tocologia_noun
desjarlais_propernoun	desjarlais_propernoun
