poeta poète
llegada arrivée
unesco unesco
construir construire
euclides euclide
donibane donibane
retaga retaga
galdakao galdakao
impresor imprimeur
infografía infographie
parto accouchement
líquido liquide
doña madame
éxito succès
transferencia virement
manera manière
trento trente
precepto précepte
sombrío sombre
soso fade
caución caution
permanencia permanence
allier allier
nada rien
alonso alonso
ludovic ludovic
indexar indexer
alguien quelqu'un
vecindad voisinage
divulgativo vulgarisateur
interprovincial inter-provincial
amar aimer
bloquear verrouiller
otro d'autre
equiparar comparer
gadafi kadhafi
sensual sensuel
exaltación exaltation
eladio eladio
dunkerque dunkerque
profundo profond
accocceberry accocceberry
obregón obregón
pasaje passage
opositor opposant
atribuir attribuer
caminar marcher
schumann schumann
isuntza isuntza
bronca dispute
airado irrité
bici vélo
recurso ressource
zapato chaussure
musculatura musculature
uros uros
motivar motiver
suministrador fournisseur
cine cinéma
altavoz haut-parleur
perrault perrault
deshielo fonte
standard standard
conforme conformément
aquello cela
ya déjà
variable variable
desaceleración décélération
amortajar ensevelir
individualista individualiste
alcanar alcanar
adac adac
éxodo exode
clausura clôture
redmond redmond
apalear rosser
mezcla mélange
jean-noël jean-noël
limpio net
colapso effondrement
contrapeso contrepoids
molécula molécule
tubruq tobrouk
subnormal idiot
apellidar surnommer
descarga téléchargement
confucio confucius
presidir présider
vía voie
mendilibar mendilibar
poner remettre
ceder céder
catalogación catalogage
albi albi
crimea crimée
sicilia sicile
fresco frais
ángel ange
viral viral
estupendo magnifique
nassau nassau
episodio épisode
victoria victoria
codiciable convoitable
premio prix
necrópolis nécropole
asunto sujet
villa bourg
ralentizar ralentir
insecto insecte
dominical dominical
imperdonable impardonnable
nicolau nicolau
mascar mâcher
cargar charger
sintáctico syntaxique
jean-claude jean-claude
destrozar ravager
divulgar divulguer
exoneración exonération
loable louable
componente composante
paleta palette
bombardier bombardier
kaliningrado kaliningrad
más davantage
mentira mensonge
alpharetta alpharetta
campsa campsa
supuesto supposition
complacer complaire
sgae sgae
suyo leur
felicitación félicitation
ikea ikea
susceptibilidad susceptibilité
mancha tache
testimonio attestation
jarrai jarrai
zubialde zubialde
montjuic montjuic
le leur
sepultura sépulture
sogo sogo
zozobrar chavirer
clément clément
firmante signataire
lot lot
temporalmente temporellement
aleixandre aleixandre
mendizabal mendizabal
sadiyah sadiyah
catalán catalan
basagoiti basagoiti
vilna vilnius
antecedente antécédent
someter soumettre
maravilla merveille
se se
costura couture
ciclo cycle
progresividad progressivité
álvarez álvarez
visión vision
altarriba altarriba
vitry-le-françois vitry-le-françois
absolutamente absolument
tinharé tinharé
incapacidad incapacité
francisca francisca
culpar blâmer
hidrocarburo hydrocarbure
cicerón cicéron
jutlandia jutland
agolpar entasser
renovación renouvellement
anteproyecto avant-projet
tono ton
ordenamiento ordonnance
eufórico euphorique
ashland ashland
contenido contenu
adiós adieu
afectividad affectivité
conveniente convenable
igualmente également
thiaw thiaw
aginako aginako
roman roman
barrena mèche
niue niué
radioactividad radioactivité
navegación navigation
santini santini
meryl meryl
georges georges
el le
mercedes mercedes
representativo représentatif
funcionario fonctionnaire
maldición malédiction
adimde adimde
fregadero évier
visesa visesa
desfavorecer défavoriser
tay tay
vacunación vaccination
ceres ceres
weis weis
christian christian
impotencia impuissance
laverde laverde
artois artois
material matériel
trío trio
traslado déplacement
roce frôlement
emily emily
óptimo optimal
estadísticamente statistiquement
ejercitar exercer
vendedor vendeur
maleta valise
nagore nagore
consideración égard
superar repasser
hermosur hermosur
creencia croyance
pasaporte passeport
excmo excellentissime
congestión congestion
ródano rhône
prorrogación prorogation
remobilización remobilisation
annam annam
participante participant
myanmar myanmar
alexandra alexandra
carácter caractère
hesperia hesperia
vertical vertical
zamorano zamorano
prolongación prolongation
calvo chauve
periódico journal
dresde dresde
sorbona sorbonne
alinear aligner
natural naturel
patriotismo patriotisme
bajista baissier
cachondeo rigolade
oleada flot
ciencia science
prigioni prigioni
inmobiliario immobilier
canciller chancelier
abascal abascal
terrorista terroriste
ilusión illusion
ajaccio ajaccio
pozzato pozzato
haití haïti
descifrar déchiffrer
inversor investisseur
escolaridad scolarité
juxtaposición juxtaposition
castela castela
arretxe arretxe
abas abas
bautista bautista
barrio quartier
catastrófico catastrophique
soviético soviétique
deportista sportif
granizo grêle
amalda amalda
ganancial bénéficiaire
transitar transiter
resonancia retentissement
citar citer
acrópolis acropole
rebelde réfractaire
ley loi
dulce sucrerie
oñati oñati
deslumbrante éblouissant
entonar entonner
librador libérateur
cirugía chirurgie
idóneo idoine
promotor promoteur
caixanova caixanova
reaccionario réactionnaire
abulense d'avila
operativo opérationnel
dirección adresse
no non
landas landes
revalorizar revaloriser
lufthansa lufthansa
admitir admettre
friedman friedman
tskhinvali tskhinvali
baño baignade
acusación accusation
enturbiar troubler
parlamentario parlementaire
asestar assener
rechazar rejeter
acad akkad
patriarca patriarche
allan allan
recaudación recette
ezquerro ezquerro
charlar discuter
techo plafond
ideal idéal
sochaux sochaux
gerona gérone
fonteta fonteta
venir venir
escorpio scorpion
honorabilidad honorabilité
arteaga arteaga
enmendar amender
kursk koursk
zurich zurich
universalmente universellement
gascuña gascogne
duhamel duhamel
teatro théâtre
casi presque
arrastrar traîner
comer déjeuner
agudo aigu
saludo bonjour
alstom alstom
salamina salamine
hambre faim
raid raid
triste triste
pléyades pléyades
embarcación embarcation
aldapeta aldapeta
certificar certifier
barométrico barométrique
apolo apolo
médicis médicis
socorrer secourir
valero valero
pakistán pakistan
apretón serrement
confeccionar confectionner
quemadura brûlure
benjamin benjamin
montante montant
febo phébus
resentir ressentir
decontracción décontraction
moralización moralisation
caramelo bonbon
plaza place
pleno plein
toldo auvent
postración prostration
camino chemin
aiete aiete
aoste aoste
semanal hebdomadaire
ronald ronald
adrenalina adrénaline
socio partenaire
agazapar attraper
rayo rai
honduras honduras
televisión télé
prepago prépaiement
prestamista prêteur
distrito district
bangladesh bangladesh
inverlur inverlur
medef medef
benz benz
detener détenir
lujuria luxure
utilizar utiliser
habitante habitant
agrandar agrandir
acorazado cuirassé
eligibilidad éligibilité
infante infant
víspera veille
altillo combles
zumo jus
marítimo maritime
gustar plaire
ligero léger
altostrato altostratus
chris chris
practicante préparateur
bono bon
retrasar retarder
bronner bronner
besancenot besancenot
alzaga alzaga
franco franco
chalé pavillon
albinegro blanc-noir
ocultar dérober
consignación consignation
bárbaro barbare
normalizar normaliser
mur mur
sí soi
prestatario emprunteur
cavero cavero
autoritarismo autoritarisme
anwar anwar
solvencia solvabilité
confidencialidad confidentialité
gascón gascon
paraíso paradis
alexei alexei
accesibilidad accessibilité
anchura large
inspiración inspiration
bernhard bernhard
butaca fauteuil
n1 n1
mensualmente mensuellement
círculo cercle
imperialismo impérialisme
ipargroupe ipargroupe
muchísimo beaucoup
aníbal hannibal
erigir ériger
joven jeune
eurípides euripide
guernsey guernesey
demonio démon
orgulloso orgueilleux
solucionar résoudre
francis francis
silvio silvio
maiorga maiorga
imponente déposant
nombrar nommer
exigible exigible
empedernido invétéré
asistencial d'assistance
demostrativo représentatif
qué quoi
latigazo coup
expatriación expatriation
milagro miracle
classic classic
hiparco hipparque
cloratita cloratite
este ce
pasteur pasteur
amuriza amuriza
desempleado chômeur
proceder conduite
inspirar inspirer
tintin tintin
elegante élégant
consonancia consonance
idéntico identique
radio radio
gesto geste
paisaje paysage
acusador accusateur
enladrillar daller
virgen vierge
soria soria
ceu cee
loza faïence
nosotros nous
organigrama organigramme
dormitorio chambre
alzheimer alzheimer
preciso précis
afortunadamente heureusement
contribuir contribuer
caf caf
ruben ruben
petit petit
christensen christensen
guerrillero guérillero
prueba preuve
lenbur lenbur
celebridad célébrité
egeo égée
goñi goñi
escultor sculpteur
poder pouvoir
lapurdi labourd
significativo significatif
selecto sélect
aede aede
pugna lutte
austrasia austrasie
múltiplo multiple
navegador navigateur
natación natation
derramar renverser
callar taire
nicea nicée
enfrentamiento affrontement
gallardo gallardo
segovia ségovie
subrayar souligner
menudo menu
balkany balkany
móstoles móstoles
akayev akayev
retrato portrait
recepcionista réceptionniste
brazomar brazomar
papagayo perroquet
hipotecar hypothéquer
xunta xunta
merckx merckx
eslavonia slavonie
sobresalir saillir
hibernación hibernation
penalización sanction
rebautizar rebaptiser
sensor capteur
alfonsina alfonsina
punta pointe
sospecha soupçon
titulado diplômé
busca recherche
directo direct
auxiliar aider
coincidente coïncident
tan tellement
código code
cédula cédule
anero anero
lavar laver
ain ain
iphone iphone
gambia gambie
doha doha
pozuelo pozuelo
suspender suspendre
donde où
jugada coup
chamartín chamartín
adornar orner
automóvil automobile
monstruo monstre
ripa ripa
tchaikovski tchaikovski
mantua mantoue
veolia veolia
hockey hockey
alençon alençon
codificación codification
alterio alterio
nicosia nicosie
cáucaso caucase
habitual habituel
nuuk nuuk
adición ajout
próximamente prochainement
específicamente spécifiquement
abydos abydos
lolita lolita
farc farc
tercer troisième
motín émeute
aparato agrès
suyo son
lingüista linguiste
jartum khartoum
rosell rossell
lemercier lemercier
wang wang
simétrico symétrique
ilegitimidad illégitimité
timbu thimphou
oliva olive
eliminación élimination
noel noel
mejor meilleur
liberación liberation
madre mère
desfilar parader
northumbria northumbrie
astucia astuce
impedimento empêchement
tudela tudela
galo français
age age
cobrar toucher
mes mois
anfetamina amphétamine
ahuyentar chasser
misterioso mystérieux
escapar échapper
abastecimiento ravitaillement
cremar incinérer
ahora maintenant
garcilaso garcilaso
desregulación dérégulation
serrín sciure
akarregi akarregi
cobre cuivre
edulcorar édulcorer
suculento succulent
innecesario superflu
bilbo bilbao
fuera hors
reestructuración redéploiement
globalmente globalement
fotocopia photocopie
abdalá abdallah
bélgica belgique
olvidar oublier
fular foulard
fase phase
aceh aceh
fotografiar photographier
maravilloso merveilleux
visceral viscéral
pesquería pêcherie
laetitia laetitia
almería almería
viaducto viaduc
antirrobo antivol
indígena indigène
gabino gabino
implementar implémenter
rocha rocha
lebaniego lebaniego
luisa luisa
ciutat ciutat
saïd saïd
licenciado licencié
gol but
picazo picazo
decepcionar désappointer
concentrar concentrer
excelentísimo excellentissime
melancolía mélancolie
eubea eubea
mónaco monaco
tuvalu tuvalu
laicismo laïcisme
html html
autocheque autochèque
caótico chaotique
central centrale
huelga grève
venezuela venezuela
stock stock
salah salah
aguirre aguirre
ordenar sommer
fallido raté
francine francine
valoración expertise
composición composition
actualidad actu
roh roh
comunista communiste
ammo ammo
extensible extensible
farcs farcs
recibir recevoir
rag rag
adonde où
medir métrer
milán milan
maritxalar maritxalar
bouvier bouvier
ineficaz inefficace
baile danse
l l
fiable fiable
replicar répliquer
entrar entrer
ltu ltu
waveqche waveqche
franco-colombiano franco-colombien
dubois dubois
joaquim joaquim
lámina lame
sandoval sandoval
acoplar coupler
acariciar caresser
sexualidad sexualité
pulsación pulsation
farsalia pharsale
autoritario autoritaire
contenedor conteneur
emmaüs emmaüs
distintivo distinctif
univisión univisión
espermatozoide spermatozoïde
alegria alegria
francisco francisco
hermano frère
incomparable incomparable
botella bouteille
evolución évolution
sener sener
muy très
asignar assigner
renegar maugréer
mismo même
taka taka
carga charge
hermoso beau
costar coûter
espíritu esprit
sotheby's sotheby's
yangon rangoun
garante garant
alfabético alphabétique
nuevo neuf
tbl tbl
mastercard mastercard
colocar placer
proteger protéger
carelia carélie
abdelhak abdelhak
separación écart
nasdaq nasdaq
particular particulier
solo seulement
deudor débiteur
acervo patrimoine
poema poème
otorgable accordable
tártaro tartare
huevo oeuf
compatibilidad compatibilité
abril avril
desarrollar dérouler
sgs sgs
cumbre cime
alaska alaska
rejuvenecimiento rajeunissement
marcial marcial
andoni andoni
heredar hériter
jaula cage
suyo leur
lago loch
madagascar madagascar
obra chantier
porche porche
permutar permuter
charco flaque
maquinaria machines
término terme
itoiz itoiz
akram akram
upv upv
misa messe
open open
ratonera souricière
atocha atocha
josefa josefa
asfixiar étouffer
lluch lluch
lobo loup
acapulco acapulco
cuál quel
antiinflamatorio anti-inflammatoire
terras terras
albini albini
adelantamiento dépassement
beitialarrangoitia beitialarrangoitia
tintorería teinturerie
apoderar emparer
abonar régler
bus bus
reorganización réorganisation
reactor réacteur
disminuir diminuer
buda bouddha
tenedor fourchette
petardo pétard
quimera chimère
maquinaria engin
abuela grand-mère
turín turin
cuanto combien
forrar étoffer
fabricación fabrication
vicens vicens
paribas paribas
aude aude
bancario bancaire
abrasador brûlant
cerebral cérébral
verdun verdun
móvil mobile
aranaga aranaga
bergeaud bergeaud
sodio sodium
firmar signer
desfiscalización défiscalisation
hermético hermétique
ibon ibon
cualificado qualifié
talibán taliban
argentino argentin
jugnot jugnot
obligar obliger
ilimitado illimité
varón homme
atajar couper
falda jupe
ansola ansola
santi santi
tosar tosar
panfleto pamphlet
exitoso réussi
plan plan
elogiar vanter
salinidad salinité
oxfam oxfam
sobreexcitación surexcitation
gilberto gilberto
esencia essence
chaleco gilet
villepin villepin
óptico optique
korrika korrika
cargar encombrer
edif edif
dominicano dominicain
interpolación interpolation
unificado unifié
descargar décharger
tántalo tantale
seña signal
bretón breton
absorbente absorbant
mutuo mutuel
alina alina
desasemblage désarchivage
ira colère
minimización minimisation
moustapha moustapha
fenoglio fenoglio
amalgama amalgame
sebastien sebastien
lizarbe lizarbe
kenia kenya
florian florian
resurrección résurrection
apedrear lapider
tempestad tempête
helar glacer
arbitrariedad arbitraire
albers albers
pablo pablo
sustitución remplacement
hinchar bouffer
hilaridad hilarité
aitzol aitzol
reinversión réinvestissement
alive alive
manchar tacher
interviniente intervenant
aquelarre sabbat
joffrin joffrin
pianista pianiste
frontal frontal
sostenible soutenable
celular cellulaire
pastor pastor
violento violent
mohammad mohammad
cross cross
socavón galerie
corporate corporate
galatas galatas
excesivamente excessivement
alemania allemagne
andanza aventure
trabajador travailleur
ordenado rangé
creta crète
angelich angelich
gerry gerry
franz franz
adoptar adopter
extender étendre
trago gorgée
mendizorrotza mendizorrotza
baigorri saint-étienne-de-baïgorry
jarrón pichet
tía tante
pobre pauvre
catalunya catalogne
abn abn
allianz allianz
ela ela
put put
ojo oeil
almadia almadia
mezquita mosquée
guezala guezala
gráfico graphique
cota cote
puente pont
cuanto combien
cara visage
eclesiástico ecclésiastique
controvertido controversé
porcelana porcelaine
joyero joaillier
telefónico téléphonique
tae teg
alizée alizée
jugo jus
minúsculo minuscule
fusionar fusionner
politización politisation
señor madame
bochorno chaleur
meditación méditation
garganta gorge
naturalmente naturellement
quitar enlever
perder perdre
remodelación rénovation
benidorm benidorm
donativo don
libia libye
perdón pardon
moderno moderne
aernouts aernouts
viril mâle
progreso progrès
respiratorio respiratoire
vacaciones vacance
encarnación incarnation
marcus marcus
soto soto
sutura suture
alduntzin alduntzin
martiño martiño
retener retenir
deprimir déprimer
autobús bus
helado glace
adormilar endormir
pesimismo pessimisme
reparar réparer
srd srd
borrar effacer
preventa prévente
malla malla
resistencia résistance
alcanzar obtenir
limitación limitation
paciente patient
caer choir
retribución rétribution
córner corner
licitación licitation
versar traiter
cifrar chiffrer
boecio boèce
vicio vice
ese ce
https https
casta race
nila nila
sublimación sublimation
impregnación imprégnation
pellejo peau
parar arrêter
pared mur
sportline sportline
calleja calleja
camacho camacho
ivanov ivanov
amante amant
xv xv
alsasua alsasua
despedir renvoyer
steve steve
oponible opposable
bollé bollé
encallar échouer
charlatán bavard
conservar conserver
stalingrado stalingrad
reserva réserve
reemplazo remplacement
centrocampista demi-centre
afuera dehors
reactividad réactivité
engels engels
referenciar référencer
desestabilización déstabilisation
corretaje courtage
lucent lucent
trentino-alto-adigio trentin-haut-adige
inmediación proximité
mina mine
decidir statuer
varsovia varsovie
apeninos apennins
a380 a380
anticapitalista anticapitaliste
mínimo minime
albergue auberge
aquiles achille
markina markina
barandiarán barandiarán
gabini gabini
bueno bon
george george
canalización canalisation
compensación compensation
siracusa syracuse
bárbara barbara
chantaje chantage
latín latin
agitar agiter
este celui-ci
abastecedor ravitailleur
amc amc
focalización focalisation
patológico pathologique
privado privé
que que
concurrencia assistance
andaluz andalou
iniciar initier
aurora aurora
suministro fourniture
milà milà
empresa entreprise
andante errant
kundera kundera
bruno bruno
agricultor agriculteur
transgresión transgression
géminis gemeaux
molestia gêne
gigante géant
baeza baeza
andra andra
domingo dimanche
imprudente imprudent
variable variable
resucitar ressusciter
bbva bbva
css css
versatilidad versatilité
accidental accidentel
rascar gratter
maite maite
congruencia cohérence
sol soleil
si si
investigador enquêteur
ainara ainara
deshidratación déshydratation
nuestro notre
homologación homologation
algarada brouhaha
jaiak jaiak
devoto dévot
alaitz alaitz
que que
previamente préalablement
declinar décliner
camilla couchette
rumba rumba
eslabón chaînon
léxico lexique
aduritz aduritz
aprendiz apprenti
valencianista valencianiste
subprime subprime
finalización finalisation
xvi xvième
nórdico nordique
conflictividad conflictualité
restitución restitution
afrodita aphrodite
aneto aneto
contar raconter
irremplazable irremplaçable
transmitir transmettre
roberto roberto
sustanciar résumer
escaparate vitrine
march march
disparo coup
aelc aele
votante votant
recorrer parcourir
gamble gamble
barómetro baromètre
según d'après
serie série
bashkiria bachkirie
burlete bourrelet
mosso mosso
irresponsablemente irresponsablement
tabú tabou
horario horaire
molino moulin
gbr gbr
ficticio fictif
candelaria candelaria
anorgasmia anorgasmie
elegir choisir
abadía abbaye
humillar humilier
hormigón béton
avignon avignon
campana cloche
clarificación clarification
arrilucea arrilucea
clm clm
bianchi bianchi
iliada iliade
calleja ruelle
chaqueta jaquette
kessler kessler
rato moment
pack pack
abundante abondant
construir bâtir
preocupado soucieux
rodez rodez
ceylan ceylan
matriculación immatriculation
aquí ci
jaime jaime
allawi allawi
bisexualidad bisexualité
penumbra pénombre
baria barye
pinchazo piqûre
ribete bordure
brazo bras
shara shara
remolino remous
tajada tranche
vertido rejet
pacita pacita
liquidable liquidable
acevedo acevedo
demandante plaignant
herida blessure
ronda ronde
ciar scier
andrle andrle
facial facial
desarrollador développeur
vano vain
haifa haïfa
fiel fidèle
blanco blanc
alazne alazne
salvo sauf
carme carme
atento prévenant
camarero steward
resumir résumer
amadeus amadeus
tríptico triptyque
pereza paresse
padecer subir
isidoro isidoro
bizkaia biscaye
respetar respecter
sexista sexiste
investigador chercheur
correduría courtage
adjuntar joindre
manga manche
domiciliar domicilier
warrant warrant
constantina constantine
olimpija olimpija
historiador historien
liquididad liquidité
oficiar officier
fisura fissure
bitinia bithynie
anitz anitz
insistente insistant
thaksin thaksin
anv anv
prólogo prologue
vuestro votre
chuvashia tchouvachia
represión répression
rovereto rovereto
apostillar apostiller
comarcal régional
turrón nougat
ben-ahin ben-ahin
desequilibrado balourd
cohabitación cohabitation
frontera frontière
arroz riz
verdú verdú
público public
lugar lieu
pesca pêche
humillación humiliation
geográfico géographique
océano océan
incidencia incidence
barca barque
disconformidad désaccord
aranés aranais
raptor ravisseur
cáceres cáceres
sur sud
annabella annabella
rendir rendre
navarro navarro
kutxa kutxa
fascinante fascinant
mrw mrw
convincente probant
liv liv
templo temple
prometeo prométhée
malabo malabo
yihad djihad
galo gaulois
umbría ombrie
léo léo
mejillón moule
circunscripción circonscription
candy candy
alkartasuna alkartasuna
beatles beatles
antípoda antipode
mayoritario majoritaire
redención rédemption
violencia violence
amid amid
portland portland
susurrar murmurer
burocrático bureaucratique
sueño rêve
debajo dessous
touvier touvier
rotativo journal
beauvais beauvais
cisjordania cisjordanie
espónsor sponsor
bastilla bastille
distracción distraction
secuestrador ravisseur
haika haika
redon redon
boe jo
ourense orense
instinto instinct
arabia arabie
paulatinamente lentement
yo je
servidor serviteur
perfume parfum
penúltimo avant-dernier
marcano marcano
lancaster lancaster
zengotitabengoa zengotitabengoa
heterogéneo hétérogène
interruptor interrupteur
sangriento sanglant
cervino cervin
jules jules
convivencia cohabitation
ampliable agrandissable
reputación réputation
televisor téléviseur
aumentar augmenter
intervención intervention
despedir licencier
almagesto almageste
bondad avantage
disparate sottise
corella corella
verano été
viejo vieux
aizpuru aizpuru
añadir ajouter
bridgetown bridgetown
pampa pampa
difundir diffuser
hulla houille
nicaragua nicaragua
ataúd cercueil
admirable admirable
purificación purification
prospección prospection
convencional conventionnel
descartar écarter
aerosmith aerosmith
alquimia alchimie
ganador gagnant
postponer reporter
responsable responsable
arruabarrena arruabarrena
pistolleto pistolleto
cof cof
mekong mékong
pagadero payable
marginalidad marginalité
madrid madrid
detener arrêter
controversia controverse
plano plat
mortal mortel
trazar tracer
perturbar perturber
mama mamelle
illarramendi illarramendi
poderosamente puissamment
esquelético squelettique
freetown freetown
donante donneur
alentador encourageant
éste celui-ci
zara zara
neutralización neutralisation
ramsés ramsès
promoarsa promoarsa
presumible présumable
ampolla ampolla
citroën citroën
gripe grippe
said said
rotundo catégorique
tímpano tympan
paralización paralysie
anpe anpe
anzuelo hameçon
decretar décréter
nominal nominal
sofac sofac
premium premium
revil revil
múltiple multiple
salida départ
inmediaciones abords
bajar abaisser
agossi agossi
tripolitania tripolitaine
simbolizar symboliser
crisis crise
concepto concept
luiz luiz
válidamente validement
reprobación réprobation
costalero porteur
sorprender surprendre
antagonista antagoniste
tranvía tramway
belmopán belmopan
díez díez
timbre sonnette
horadar percer
urbe ville
afra afra
beitia beitia
anoréxico anorexique
qué quel
desahogar décharger
reembolso remboursement
gomis gomis
fermentación fermentation
canibalización cannibalisation
atlántico atlantique
coleccionista collectionneur
angelis angelis
héroe héros
quizá peut-être
abrupto abrupt
ignorante ignorant
punto point
estreno étrenne
marta marta
este ce
alcácer alcácer
suplicio supplice
traicionar trahir
jihad djihad
mel mel
estrella vedette
almera almera
veintidós vingt-deux
ritmo rythme
estado etat
sujumi soukhoumi
conciliación conciliation
heather heather
eltink eltink
antifranquista antifranquiste
católico catholique
nigeria nigeria
kazajstán kazakhstan
considerable considérable
burgués bourgeois
aliez aliez
arotz-enea arotz-enea
casino casino
acostar coucher
titular intituler
lafuente lafuente
disparidad disparité
alianzo alianzo
explicación explication
gabón gabon
indaux indaux
región région
micronesia micronésie
corbata cravate
arangoiti arangoiti
haley haley
ajustar ajuster
capa nappe
becar bourser
cera cire
keops khéops
exhortar exhorter
canal chaîne
sino-japonés sino-japonais
royal royal
deber devoir
ortodoxo orthodoxe
eusebio eusebio
reus reus
reanimación réanimation
turgay tourgaï
alkalde alkalde
adelgazamiento amaigrissement
cska cska
visibilidad visibilité
confiar confier
experto expert
safo sapho
hermana soeur
agostino agostino
compañía compagnie
miseria misère
vigilia veille
aginaga aginaga
montgomery montgomery
torre tour
estadio stade
irresolubilidad insolvabilité
areo areo
bienvenida accueil
filo fil
perdición perdition
esquilo eschyle
correccional correctionnel
argot argot
micerinos mykérinos
musulmán musulman
intacto intact
anticiclón anticyclone
explicativo explicatif
anglo-holandés anglo-hollandais
minorar diminuer
sufragio suffrage
sonido son
civil civil
papon papon
amunarriz amunarriz
farrell farrell
arbitraje arbitrage
apelativo appellatif
relevante remarquable
corporativo corporatif
carole carole
doménech doménech
sujeto sujet
entrevista interview
achile achile
scott scott
charanga fanfare
turkestan tourkestan
andrada andrada
inadmisible inadmissible
renny renny
infalible infaillible
garai garai
tedio ennui
grytviken grytviken
atestiguar témoigner
ambriz ambriz
renovación rénovation
alquézar alquézar
sierra sierra
oscilación oscillation
industrial industriel
introducción introduction
recordar rappeler
séptimo septième
senda sentier
casualidad hasard
escuadra équerre
alicaído abattu
cuantitativamente quantitativement
bordear côtoyer
besançon besançon
pasillo couloir
averroes averroès
dardanelos dardanelles
asobal asobal
discriminación discrimination
nihat nihat
aucuario aquarium
cómo comment
mena mena
quiosco kiosque
oinatz oinatz
yébenes yébenes
ciudadano citoyen
guipuzcoano guipuzcoain
leucipo leucippe
maldecir maudire
agesta agesta
colonia colonie
artziniega artziniega
sofia sofia
tipológicamente typologiquement
corfu corfou
monnerais monnerais
abuja abuja
correos poste
profesional professionnel
pasarela passerelle
huérfano orphelin
legalmente légalement
vestido robe
instaurar instaurer
litera couchette
diverso divers
buque bateau
chaves chaves
entusiasta enthousiaste
crianza élevage
sensatez sagesse
nuestro notre
albistur albistur
aspe aspe
antimilitarista antimilitariste
