proprietário_noun	propietario_noun
de-fato_adverb	de-hecho_adverb
contemporâneo_adjective	contemporáneo_adjective
acarretar_verb	acarrear_verb
utensílio_noun	utensilio_noun
bater_verb	latir_verb
instrumentar_verb	instrumentar_verb
embora_subordinatingconjunction	aunque_subordinatingconjunction
migratório_adjective	migratório_adjective
saciedade_noun	saciedad_noun
romênia_propernoun	rumanía_propernoun
síria_propernoun	siria_propernoun
olimpicamente_adverb	olímpicamente_adverb
proença_propernoun	proença_propernoun
assédio_noun	acoso_noun
barra-de-status_noun	barra-de-estado_noun
supor_verb	suponer_verb
internar_verb	ingresar_verb
sinônimo_noun	sinónimo_noun
instrutor_noun	instructor_noun
muito-próximo_adverb	a-las-puertas_adverb
reestruturar_verb	reestructurar_verb
portão_noun	portón_noun
liquidação_noun	liquidación_noun
adequadamente_adverb	adecuadamente_adverb
em-numerário_adverb	en-efectivo_adverb
aparafusar_verb	atornillar_verb
bpi_noun	bpi_noun
desígnio_noun	designio_noun
verdadeiro_adjective	verdadero_adjective
duração_noun	duración_noun
hipocondriacamente_adverb	hipocondríacamente_adverb
oblíquo_adjective	oblicuo_adjective
gôndola_noun	góndola_noun
pinhão_noun	piñón_noun
prestação_noun	prestación_noun
conceito_noun	concepto_noun
seqüência_noun	secuencia_noun
indevido_adjective	indebido_adjective
friburgo_propernoun	friburgo_propernoun
imaturo_adjective	inmaduro_adjective
leilão_noun	subasta_noun
consangüinidade_noun	consanguinidad_noun
mentalidade_noun	mentalidad_noun
obter_verb	recabar_verb
outono_noun	otoño_noun
probatório_adjective	probatorio_adjective
mas_coordinatingconjunction	pero_coordinatingconjunction
comprimento_noun	largura_noun
ditador_noun	dictador_noun
bacia_noun	cuenca_noun
assemelhar_verb	asemejar_verb
cômico_adjective	cómico_adjective
em-questão_adverb	en-pauta_adverb
impactante_adjective	impactante_adjective
sales_propernoun	sales_propernoun
transição_noun	solevación_noun
contato_noun	contacto_noun
champions_propernoun	champions_propernoun
cheiro_noun	olor_noun
subsistência_noun	subsistencia_noun
boletim_noun	boletín_noun
delinquente_noun	delincuente_noun
paradigma_noun	paradigma_noun
pessimamente_adverb	pésimamente_adverb
então_adverb	entonces_adverb
mem_propernoun	mem_propernoun
previsivelmente_adverb	previsiblemente_adverb
inflamavelmente_adverb	inflamablemente_adverb
panturrilha_noun	gemelo_noun
processador_noun	procesador_noun
goldman_propernoun	goldman_propernoun
protótipo_noun	prototipo_noun
liberar_verb	liberalizar_verb
como_adverb	cómo_adverb
como_relativepronoun	cómo_relativepronoun
aliança_noun	alianza_noun
dona-de-casa_noun	ama-de-casa_noun
portfolio_noun	portafolio_noun
fungo_noun	hongo_noun
quartocrescente_noun	cuarto-creciente_noun
aniversário_noun	aniversario_noun
regulamentar_verb	reglamentar_verb
humilhar_verb	humillar_verb
sustentável_adjective	sostenible_adjective
redundância_noun	redundancia_noun
parente_noun	pariente_noun
diseminação_noun	diseminación_noun
habilitação_noun	habilitación_noun
assomar_verb	asomar_verb
fotogaleria_noun	fotogalería_noun
caco_propernoun	caco_propernoun
monolingüe_adjective	monolingüe_adjective
diretriz_noun	directriz_noun
eurosai_propernoun	eurosai_propernoun
estender_verb	extender_verb
desorganizar_verb	desorganizar_verb
semelhança_noun	semejanza_noun
cabeça_noun	cabezal_noun
folha-de-são-paulo_propernoun	folha-de-são-paulo_propernoun
quem_relativepronoun	quien_relativepronoun
quem_pronoun	quien_pronoun
realçar_verb	resaltar_verb
mistamente_adverb	mixtamente_adverb
ébrio_noun	ebrio_noun
proximamente_adverb	próximamente_adverb
individualizar_verb	individualizar_verb
entranha_noun	entraña_noun
dissolver_verb	disolver_verb
agrupamento_noun	agrupación_noun
homossexualmente_adverb	homosexualmente_adverb
oco_noun	hueco_noun
recreio_noun	recreo_noun
castelhano_adjective	castellano_adjective
espessura_noun	grosor_noun
apis_propernoun	apis_propernoun
roubar_verb	robar_verb
avalanche_noun	avalancha_noun
propor_verb	plantear_verb
impavidamente_adverb	impávidamente_adverb
bedrich_propernoun	bedrich_propernoun
duvidar_verb	dudar_verb
tópico_noun	tópico_noun
no-seco_adverb	a-palo-seco_adverb
ótimo_adjective	óptimo_adjective
favorável_adjective	favorable_adjective
sujeito_adjective	sujeto_adjective
úmido_adjective	húmedo_adjective
pontifício_adjective	pontificio_adjective
rsa_propernoun	rsa_propernoun
salário_noun	sueldo_noun
corporação_noun	corporación_noun
ano_noun	año_noun
aviso_noun	aviso_noun
tributário_adjective	tributario_adjective
necrologia_noun	necrología_noun
face_noun	faz_noun
teletrabalho_noun	teletrabajo_noun
seca_noun	sequía_noun
national-geographic_propernoun	national-geographic_propernoun
operacionalidade_noun	operacionalidad_noun
somar_verb	sumar_verb
nascimento_noun	nacimiento_noun
imovelmente_adverb	inmóvilmente_adverb
áfrica-do-sul_propernoun	sudáfrica_propernoun
clique_noun	clic_noun
razão_noun	razón_noun
radicalizar_verb	radicalizar_verb
painel_noun	mampara_noun
endossar_verb	endosar_verb
superação_noun	superación_noun
cot_propernoun	toc_propernoun
assombrosamente_adverb	asombrosamente_adverb
apreciação_noun	apreciación_noun
curto_adjective	corto_adjective
com-tudo-que-eu-tenho-direito_adverb	con-todas-las-de-la-ley_adverb
conciliábulo_noun	cabildeo_noun
caixão_noun	féretro_noun
punhado_noun	puñado_noun
comédia_noun	comedia_noun
fragoso_propernoun	fragoso_propernoun
guifré-el-pilós_propernoun	guifré-el-pilós_propernoun
tão-só_adverb	tan-sólo_adverb
albânia_propernoun	albania_propernoun
tudo-bom_interjection	qué-tal_interjection
imputar_verb	imputar_verb
unicamente_adverb	únicamente_adverb
produtor_noun	productor_noun
representatividade_noun	representatividad_noun
tecla_noun	tecla_noun
surpreendente_adjective	sobrecogedor_adjective
impenetrável_adjective	impenetrable_adjective
selva_noun	jungla_noun
belicamente_adverb	bélicamente_adverb
desfazer_verb	deshacer_verb
rancor_noun	rencor_noun
dedução_noun	deducción_noun
nieto_propernoun	nieto_propernoun
duradouramente_adverb	duraderamente_adverb
monitorização_noun	monitoreo_noun
alumiar_verb	iluminar_verb
duravelmente_adverb	durablemente_adverb
terra_noun	tierra_noun
iteração_noun	iteración_noun
desinteressadamente_adverb	desinteresadamente_adverb
novamente_adverb	nuevamente_adverb
máximo_adjective	máximo_adjective
israelense_adjective	israelí_adjective
abrir-um-espaço_verb	hacer-un-hueco_verb
magnético_adjective	magnético_adjective
tangível_adjective	tangible_adjective
surra_noun	paliza_noun
remessa_noun	remesa_noun
adoravelmente_adverb	adorablemente_adverb
folha_noun	hoja_noun
pára-quedista_noun	paracaidista_noun
habitação_noun	habitación_noun
idolatria_noun	idolatría_noun
fogueira_noun	hoguera_noun
exatidão_noun	exactitud_noun
tudo-isto_pronoun	todo-esto_pronoun
com-todos-os-pontos-e-vírgulas_adverb	con-nombre-y-apellido_adverb
aspergir_verb	rociar_verb
tráfego_noun	tráfico_noun
insatisfação_noun	insatisfacción_noun
polinômio_noun	polinomio_noun
futebol_noun	futbol_noun
monde_propernoun	monde_propernoun
insofrivelmente_adverb	insufriblemente_adverb
imaginável_adjective	imaginable_adjective
uruguaio_adjective	uruguayo_adjective
universidade_noun	universidad_noun
ilac_propernoun	ilac_propernoun
diferente_adjective	distinto_adjective
distribuição_noun	distribución_noun
explodir_verb	explosionar_verb
doravante_adverb	de-ahora-en-adelante_adverb
