word	trans	pos
punctilious	méticuleux	adjective
periodical	périodique	adjective
forty-fourth	quarante-quatrième	adjective
instigating	instigateur	adjective
Moravian	centrosymétrique	adjective
vivid	bigarré	adjective
nitric	azotique	adjective
brewing	anharmonique	adjective
bottom	inférieur	adjective
advantageous	avantageux	adjective
mean	mauvais	adjective
penalizing	répressif	adjective
anarchistic	anarchiste	adjective
unchangeable	inaltérable	adjective
deadening	alizés	adjective
brackish	salé	adjective
reticent	calmé	adjective
deadened	occitanophile	adjective
dome-shaped	italo-allemand	adjective
meagre	insuffisant	adjective
forty-second	quarante-deuxième	adjective
analytical	analyseur	adjective
refractory	obstiné	adjective
somatopsychic	multifactoriel	adjective
short-term	micrographique	adjective
saltwater	naufragé	adjective
parietal	pariétal	adjective
nontrivial	intergranulaire	adjective
unborn	sochalien	adjective
too long	dansant	adjective
swollen	bombé	adjective
donator	vocatif	adjective
so much	tellement de	adjective
ohmic	ohmique	adjective
joyless	triste	adjective
showy	poseur	adjective
interpretative	interprétatif	adjective
enshrined	hopi	adjective
purposeless	hésitant	adjective
tonic	tonique	adjective
outlined	quadrivalent	adjective
duodecimal	duodécimal	adjective
utmost	ainé	adjective
supplying	caresseur	adjective
unfathomable	insoluble	adjective
clinking	flagellant	adjective
lovely	beau	adjective
Augustan	auguste	adjective
repulsive	répulsif	adjective
just	équitable	adjective
cycling	en porcelaine	adjective
discriminatory	discriminatoire	adjective
exempted	exempt	adjective
angry	furieux	adjective
that	quoi	adjective
consistorial	consistorial	adjective
instructive	d'instruction	adjective
Laplacian	inconventionnel	adjective
gradual	graduel	adjective
Shia	chiite	adjective
message-carrying	thaï	adjective
idealized	afar	adjective
diversified	eurocentriste	adjective
voluntaristic	interatomique	adjective
rhapsodic	rapsodique	adjective
Marbellan	agitable	adjective
unnecessary	innécessaire	adjective
indecisive	hésitant	adjective
overdetermined	rémissible	adjective
choral	de corail	adjective
Jamaican	jamaïcain	adjective
tormented	tourmentant	adjective
destined	destiné	adjective
opposite	opposée	adjective
standardizing	osmique	adjective
representable	représentable	adjective
Castilian	castillan	adjective
feckless	fugace	adjective
philosophical	philosophique	adjective
indigestible	triloculaire	adjective
olivary	euphotique	adjective
without sense	absurde	adjective
walled	hypophosphorique	adjective
monotone	monotone	adjective
colorless	incolore	adjective
numeric	de nombre	adjective
clouded	manquant de clarté	adjective
ninety-ninth	quatre-vingt-dix-neuvième	adjective
Mahometan	mahométan	adjective
per capita	sirupeux	adjective
neurotic	obsedé	adjective
congregational	intoxicant	adjective
resonant	perçant	adjective
deceptive	fourbe	adjective
broadband-like	férial	adjective
alluded	calendaire	adjective
divisive	62ème	adjective
cyclonic	cyclonique	adjective
Sephardic	sefardi	adjective
platitudinous	banal	adjective
supersymmetric	supersymétrique	adjective
home-made	ménager	adjective
de minimis	intranet	adjective
bioclimatic	bioclimatique	adjective
de facto	confiscable	adjective
distributing	distributeur	adjective
opposing	dispensable	adjective
too much	trop de	adjective
shelved	samoyède	adjective
polluting	contaminant	adjective
stunned	éberlué	adjective
exhibition	inextensible	adjective
proximal	proximal	adjective
disconcerting	déconcertant	adjective
those that	combien est-ce que	adjective
polemical	polémique	adjective
directorial	directif	adjective
parish	paroissial	adjective
masonic	maçonnique	adjective
receiving	ambassadeur	adjective
Zimbabwean	détesté	adjective
accompanying	accompagnateur	adjective
hypsographic	caillé	adjective
post-mortem	christologique	adjective
antiracist	antiraciste	adjective
purist	terminatif	adjective
Adventist	adventiste	adjective
suitable	susceptible de	adjective
gracious	obligeant	adjective
diminutive	petit	adjective
world-wide	mondial	adjective
untouchable	inviolable	adjective
obstinate	entêté	adjective
Lagrangian	coloré	adjective
astonished	éberlué	adjective
proparoxytone	statorique	adjective
poverty-stricken	sans valeur	adjective
lavish	généreux	adjective
halakhic	sous-prolétarien	adjective
secret	dérobé	adjective
societal	social	adjective
paroxytone	sacciforme	adjective
stylistic	stylistique	adjective
many	bien de	adjective
canine	canin	adjective
consequential	conséquent	adjective
damning	condamnatoire	adjective
covalently	covalent	adjective
emblazoned	convoitable	adjective
idempotent	idempotent	adjective
dexter	droitier	adjective
debtor	défaillant	adjective
whitewater	totalitariste	adjective
from Vigo	azyme	adjective
strange	bizarre	adjective
biquadratic	biquadratique	adjective
devastated	antiparasite	adjective
dead	tué	adjective
worrying	tracassant	adjective
Batavian	pas encore mûr	adjective
wavy	phœnicoptériforme	adjective
retail	naphténique	adjective
manageable	factible	adjective
magnificent	grandiose	adjective
imperialist	impérialiste	adjective
reluctant	soupçonneux	adjective
sacral	saint	adjective
transoceanic	transocéanique	adjective
Viking	viking	adjective
multi-billion	igbo	adjective
unwieldy	inopportun	adjective
that supports Galician autonomy	franco-espagnol	adjective
bronchial	cannabinoïde	adjective
messenger	thaï	adjective
fractured	sochalien	adjective
succeeding	successif	adjective
busty	de l'Ouest	adjective
determinate	déterminé	adjective
easternmost	oriental	adjective
extraterrestial	extraterrestre	adjective
static	immobile	adjective
quartic	anharmonique	adjective
ninety-first	quatre-vingt-onzième	adjective
sphenoidal	sphénoïdal	adjective
cordial	cordial	adjective
halfway	intermédiaire	adjective
delinquent	défaillant	adjective
hygrophilous	hygrophile	adjective
medullary	médullaire	adjective
non-university	affranchi	adjective
Aristotelian	aristotélique	adjective
purifying	grimacier	adjective
cremator	franco-chinois	adjective
unsafe	peu sûr	adjective
sociolinguistic	sociolinguistique	adjective
plosive	occlusif	adjective
forest	forestier	adjective
parachute	parachutiste	adjective
absolutive	absolutoire	adjective
Suevi	peracétique	adjective
obituary	imperfectif	adjective
limit	extrême	adjective
polydimensional	acroamatique	adjective
fragrant	analeptique	adjective
unaware	inconscient	adjective
irreducible	irréductible	adjective
joint	en commun	adjective
combustible	inflammable	adjective
past	blet	adjective
ruled	innégociable	adjective
civilizing	civilisateur	adjective
anaesthetic	anesthésique	adjective
stray	dépaysé	adjective
ill at ease	incommode	adjective
overshadowed	diffusible	adjective
visiting	admoniteur	adjective
fragic	myélotoxique	adjective
apt	sur mesure	adjective
rotatory	rotatoire	adjective
complacent	aratoire	adjective
variant	divers	adjective
stately	majestueux	adjective
salivary	préformaté	adjective
backbone	intersexuel	adjective
overpowering	hideux	adjective
haplic	underground	adjective
novel	neuf	adjective
heteropolar	multitubulaire	adjective
coprime	hittite	adjective
agreed	monocristallin	adjective
gambling	gadiforme	adjective
tiltable	inclinable	adjective
gamopetalous	anti-g	adjective
irascible	irrascible	adjective
disinherited	gréseux	adjective
prefrontal	préfrontal	adjective
sparkly	étincelant	adjective
segregated	lausannois	adjective
geared	nycthéméral	adjective
fluid	fluent	adjective
main	plus grand	adjective
entrenched	négationniste	adjective
prejudiced	antipathique	adjective
redeemable	loueur	adjective
unanswered	XXIIIe	adjective
seedy	en ruines	adjective
technoenvironmental	endosseur	adjective
bumpy	rugueux	adjective
thrilling	émouvant	adjective
piquant	épicé	adjective
discountable	pendulaire	adjective
attic	eskimo-aléoute	adjective
phonostylistic	antianglais	adjective
Uyghur	ouïghour	adjective
prospective	probable	adjective
self-sustaining	politico-religieux	adjective
inclined	biais	adjective
Spanish speaking	hispanophone	adjective
overcrowded	en trop	adjective
limpid	conservez votre clairvoyance	adjective
populational	de la population	adjective
menacing	menaçant	adjective
witless	crétin	adjective
unsolicited	évaporatoire	adjective
tangential	tangentiel	adjective
self-satisfied	aratoire	adjective
coastal	littoral	adjective
crisp	glial	adjective
unanswerable	irréfutable	adjective
interstate	interétatique	adjective
indie	capétien	adjective
venture	auroral	adjective
lost in time	dansant	adjective
crushing	assommant	adjective
riddled	bondé	adjective
coniferous	buveur	adjective
namibian	ombreux	adjective
surface	anaplasique	adjective
sneaky	rusé	adjective
beachfront	caroténoïde	adjective
untrustworthy	de lèse-humanité	adjective
vatican	d'eibar	adjective
regretful	acroamatique	adjective
noted	notoire	adjective
substandard	inadéquat	adjective
anticipatory	anticipatif	adjective
colonizing	colonial	adjective
Ptolemaic	syncrétiste	adjective
particular	dans son genre	adjective
