 "written_rep_a" , "lex_entry_a" , "sense_a" , "trans" , "sense_b" , "lex_entry_b" , "written_rep_b" , "POS" ,
 "vegetação" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/vegeta%C3%A7%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/vegeta%C3%A7%C3%A3o_vexetaci%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/vegeta%C3%A7%C3%A3o_vexetaci%C3%B3n-n-pt-sense-vexetaci%C3%B3n_vegeta%C3%A7%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/vexetaci%C3%B3n_vegeta%C3%A7%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/vexetaci%C3%B3n-NOUN-gl" , "vexetación" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "intervenção" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/interven%C3%A7%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/interven%C3%A7%C3%A3o_intervenci%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/interven%C3%A7%C3%A3o_intervenci%C3%B3n-n-pt-sense-intervenci%C3%B3n_interven%C3%A7%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/intervenci%C3%B3n_interven%C3%A7%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/intervenci%C3%B3n-NOUN-gl" , "intervención" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "inteirar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/inteirar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/inteirar_informar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/inteirar_informar-vblex-pt-sense-informar_inteirar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/informar_inteirar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/informar-VERB-gl" , "informar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "presumivelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/presumivelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/presumivelmente_presuntamente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/presumivelmente_presuntamente-adv-pt-sense-presuntamente_presumivelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/presuntamente_presumivelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/presuntamente-ADV-gl" , "presuntamente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "secundário" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/secund%C3%A1rio-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/secund%C3%A1rio_secundario-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/secund%C3%A1rio_secundario-adj-pt-sense-secundario_secund%C3%A1rio-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/secundario_secund%C3%A1rio-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/secundario-ADJ-gl" , "secundario" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "cadastrar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/cadastrar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/cadastrar_catastrar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/cadastrar_catastrar-vblex-pt-sense-catastrar_cadastrar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/catastrar_cadastrar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/catastrar-VERB-gl" , "catastrar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "encurtar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/encurtar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/encurtar_acurtar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/encurtar_acurtar-vblex-pt-sense-acurtar_encurtar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/acurtar_encurtar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/acurtar-VERB-gl" , "acurtar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "desprezivelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/desprezivelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/desprezivelmente_desprezablemente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/desprezivelmente_desprezablemente-adv-pt-sense-desprezablemente_desprezivelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/desprezablemente_desprezivelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/desprezablemente-ADV-gl" , "desprezablemente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "evitável" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/evit%C3%A1vel-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/evit%C3%A1vel_evit%C3%A1bel-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/evit%C3%A1vel_evit%C3%A1bel-adj-pt-sense-evit%C3%A1bel_evit%C3%A1vel-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/evit%C3%A1bel_evit%C3%A1vel-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/evit%C3%A1bel-ADJ-gl" , "evitábel" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "Outono" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/Outono-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Outono_outono-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Outono_outono-n-pt-sense-outono_Outono-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/outono_Outono-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/outono-NOUN-gl" , "outono" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "percussão" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/percuss%C3%A3o-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/percuss%C3%A3o_percusi%C3%B3n-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/percuss%C3%A3o_percusi%C3%B3n-n-pt-sense-percusi%C3%B3n_percuss%C3%A3o-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/percusi%C3%B3n_percuss%C3%A3o-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/percusi%C3%B3n-NOUN-gl" , "percusión" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "sondagem" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/sondagem-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/sondagem_sondaxe-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/sondagem_sondaxe-n-pt-sense-sondaxe_sondagem-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/sondaxe_sondagem-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/sondaxe-NOUN-gl" , "sondaxe" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "rádio" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/r%C3%A1dio-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/r%C3%A1dio_radio-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/r%C3%A1dio_radio-n-pt-sense-radio_r%C3%A1dio-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/radio_r%C3%A1dio-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/radio-NOUN-gl" , "radio" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "zelar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/zelar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/zelar_celar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/zelar_celar-vblex-pt-sense-celar_zelar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/celar_zelar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/celar-VERB-gl" , "celar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "cheia" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/cheia-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/cheia_chea-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/cheia_chea-n-pt-sense-chea_cheia-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/chea_cheia-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/chea-NOUN-gl" , "chea" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "remeter" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/remeter-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/remeter_remitir-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/remeter_remitir-vblex-pt-sense-remitir_remeter-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/remitir_remeter-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/remitir-VERB-gl" , "remitir" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "notavelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/notavelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/notavelmente_notabelmente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/notavelmente_notabelmente-adv-pt-sense-notabelmente_notavelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/notabelmente_notavelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/notabelmente-ADV-gl" , "notabelmente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "espelho" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/espelho-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/espelho_espello-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/espelho_espello-n-pt-sense-espello_espelho-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/espello_espelho-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/espello-NOUN-gl" , "espello" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "frequentar" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/frequentar-VERB-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/frequentar_frecuentar-vblex-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/frequentar_frecuentar-vblex-pt-sense-frecuentar_frequentar-vblex-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/frecuentar_frequentar-vblex-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/frecuentar-VERB-gl" , "frecuentar" , "http://www.lexinfo.net/ontology/2.0/lexinfo#verb" ,
 "Director-Geral" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/Director-Geral-PROPN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Director-Geral_Director%20Xeral-np-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Director-Geral_Director%20Xeral-np-pt-sense-Director%20Xeral_Director-Geral-np-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/Director%20Xeral_Director-Geral-np-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/Director%20Xeral-PROPN-gl" , "Director Xeral" , "http://www.lexinfo.net/ontology/2.0/lexinfo#properNoun" ,
 "assiduamente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/assiduamente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/assiduamente_asiduamente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/assiduamente_asiduamente-adv-pt-sense-asiduamente_assiduamente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/asiduamente_assiduamente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/asiduamente-ADV-gl" , "asiduamente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "subsídio" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/subs%C3%ADdio-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/subs%C3%ADdio_subsidio-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/subs%C3%ADdio_subsidio-n-pt-sense-subsidio_subs%C3%ADdio-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/subsidio_subs%C3%ADdio-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/subsidio-NOUN-gl" , "subsidio" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "profecia" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/profecia-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/profecia_profec%C3%ADa-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/profecia_profec%C3%ADa-n-pt-sense-profec%C3%ADa_profecia-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/profec%C3%ADa_profecia-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/profec%C3%ADa-NOUN-gl" , "profecía" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "só" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/s%C3%B3-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/s%C3%B3_s%C3%B3-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/s%C3%B3_s%C3%B3-adj-pt-sense-s%C3%B3_s%C3%B3-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/s%C3%B3_s%C3%B3-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/s%C3%B3-ADJ-gl" , "só" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "interminavelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/interminavelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/interminavelmente_interminablemente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/interminavelmente_interminablemente-adv-pt-sense-interminablemente_interminavelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/interminablemente_interminavelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/interminablemente-ADV-gl" , "interminablemente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "hierarquia" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/hierarquia-NOUN-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/hierarquia_xerarqu%C3%ADa-n-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/hierarquia_xerarqu%C3%ADa-n-pt-sense-xerarqu%C3%ADa_hierarquia-n-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/xerarqu%C3%ADa_hierarquia-n-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/xerarqu%C3%ADa-NOUN-gl" , "xerarquía" , "http://www.lexinfo.net/ontology/2.0/lexinfo#noun" ,
 "apesar de que" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/apesar%20de%20que-SCONJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/apesar%20de%20que_a%20pesar%20de%20que-cnjadv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/apesar%20de%20que_a%20pesar%20de%20que-cnjadv-pt-sense-a%20pesar%20de%20que_apesar%20de%20que-cnjadv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/a%20pesar%20de%20que_apesar%20de%20que-cnjadv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/a%20pesar%20de%20que-SCONJ-gl" , "a pesar de que" , "http://www.lexinfo.net/ontology/2.0/lexinfo#subordinatingConjunction" ,
 "inteligente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/inteligente-ADJ-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/inteligente_intelixente-adj-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/inteligente_intelixente-adj-pt-sense-intelixente_inteligente-adj-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/intelixente_inteligente-adj-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/intelixente-ADJ-gl" , "intelixente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adjective" ,
 "de boa vontade" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/de%20boa%20vontade-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/de%20boa%20vontade_de%20boa%20gana-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/de%20boa%20vontade_de%20boa%20gana-adv-pt-sense-de%20boa%20gana_de%20boa%20vontade-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/de%20boa%20gana_de%20boa%20vontade-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/de%20boa%20gana-ADV-gl" , "de boa gana" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "insoluvelmente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/insoluvelmente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/insoluvelmente_insolublemente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/insoluvelmente_insolublemente-adv-pt-sense-insolublemente_insoluvelmente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/insolublemente_insoluvelmente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/insolublemente-ADV-gl" , "insolublemente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
 "noturnamente" , "http://linguistic.linkeddata.es/id/apertium/lexiconPT/noturnamente-ADV-pt" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/noturnamente_nocturnamente-adv-pt-sense" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/noturnamente_nocturnamente-adv-pt-sense-nocturnamente_noturnamente-adv-gl-sense-trans" , "http://linguistic.linkeddata.es/id/apertium/tranSetPT-GL/nocturnamente_noturnamente-adv-gl-sense" , "http://linguistic.linkeddata.es/id/apertium/lexiconGL/nocturnamente-ADV-gl" , "nocturnamente" , "http://www.lexinfo.net/ontology/2.0/lexinfo#adverb" ,
