ilegitimamente_adverb	il·legítimament_adverb
estrangeiro_noun	estranger_noun
townsend_propernoun	townsend_propernoun
reabilitar_verb	rehabilitar_verb
argüeso_propernoun	argüeso_propernoun
fernández_propernoun	fernández_propernoun
faulkner_propernoun	faulkner_propernoun
persuasão_noun	persuasió_noun
bisaillon_propernoun	bisaillon_propernoun
ureteral_adjective	ureteral_adjective
algoritmo_noun	algorisme_noun
saída_noun	sortida_noun
vazio_propernoun	vazio_propernoun
assibilação_noun	assibilació_noun
molano_propernoun	molano_propernoun
bem-como_subordinatingconjunction	així-com_subordinatingconjunction
repartir_verb	repartir_verb
engenharia_noun	enginyeria_noun
laudatório_adjective	laudatori_adjective
operacionalmente_adverb	operacionalment_adverb
componente_noun	component_noun
éthier_propernoun	éthier_propernoun
deficit_noun	dèficit_noun
liberalizador_adjective	liberalitzador_adjective
desemparelhado_adjective	desemparellat_adjective
santiago_propernoun	santiago_propernoun
abril_noun	abril_noun
comentar_verb	comentar_verb
bergüzar_propernoun	bergüzar_propernoun
lennon_propernoun	lennon_propernoun
truman_propernoun	truman_propernoun
maiúsculo_adjective	majúscul_adjective
sharma_propernoun	sharma_propernoun
neeposh_propernoun	neeposh_propernoun
replicar_verb	replicar_verb
epistemológico_adjective	epistemològic_adjective
sueco_adjective	suec_adjective
exculpação_noun	exculpació_noun
improcedente_adjective	improcedent_adjective
etiópia_propernoun	etiòpia_propernoun
gasper_propernoun	gasper_propernoun
moragas_propernoun	moragas_propernoun
lozoya_propernoun	lozoya_propernoun
bustamante_propernoun	bustamante_propernoun
inexcitável_adjective	inexcitable_adjective
matth_propernoun	matth_propernoun
recobrável_adjective	recobrable_adjective
veneziale_propernoun	veneziale_propernoun
russofobia_noun	russofòbia_noun
sato_propernoun	sato_propernoun
oliveira_propernoun	oliveira_propernoun
baudot_propernoun	baudot_propernoun
identificar_verb	identificar_verb
agripina_propernoun	agripina_propernoun
recuperador_adjective	recuperador_adjective
beijo_noun	bes_noun
equatorial_adjective	equatorial_adjective
empatar_verb	empatar_verb
wyoming_propernoun	wyoming_propernoun
licenciado_noun	llicenciat_noun
datador_noun	datador_noun
villanueva_propernoun	villanueva_propernoun
banu_propernoun	banu_propernoun
hannie_propernoun	hannie_propernoun
bartolomé_propernoun	bartolomé_propernoun
publicidade_noun	publicitat_noun
armesto_propernoun	armesto_propernoun
dubeau_propernoun	dubeau_propernoun
duffy_propernoun	duffy_propernoun
formiga_noun	formiga_noun
oração_noun	pregària_noun
carbonizar_verb	carbonitzar_verb
veterano_noun	veterà_noun
anemometria_noun	anemometria_noun
ferroviariamente_adverb	ferroviàriament_adverb
medievalidade_noun	medievalitat_noun
sultanado_noun	sultanat_noun
tradicionalista_noun	tradicionalista_noun
iztueta_propernoun	iztueta_propernoun
mottard_propernoun	mottard_propernoun
diariamente_adverb	diàriament_adverb
nissan_propernoun	nissan_propernoun
von-krosigk_propernoun	von-krosigk_propernoun
rahaman_propernoun	rahaman_propernoun
afundar_verb	afonar_verb
almeda_propernoun	almeda_propernoun
arrancar_verb	arrencar_verb
zappalà_propernoun	zappalà_propernoun
byron_propernoun	byron_propernoun
agostini_propernoun	agostini_propernoun
mallafré_propernoun	mallafré_propernoun
revert_propernoun	revert_propernoun
marqués_propernoun	marqués_propernoun
kipling_propernoun	kipling_propernoun
eletrificado_adjective	electrificat_adjective
organização_noun	organització_noun
sicignano_propernoun	sicignano_propernoun
cadel_propernoun	cadel_propernoun
canalha_adjective	canalla_adjective
noroeste_noun	nord-oest_noun
arquitetônico_adjective	arquitectònic_adjective
festivamente_adverb	festivament_adverb
bigelow_propernoun	bigelow_propernoun
bonner_propernoun	bonner_propernoun
cristóvão_propernoun	cristóvão_propernoun
imbeni_propernoun	imbeni_propernoun
viérin_propernoun	viérin_propernoun
esteticamente_adverb	estèticament_adverb
ardentoso_adjective	ardentós_adjective
properzj_propernoun	properzj_propernoun
alcalá_propernoun	alcalá_propernoun
binariamente_adverb	binàriament_adverb
nosso_adjective	nostre_adjective
nosso_possessivepronoun	nostre_possessivepronoun
nosso_adjective	nostre_adjective
nosso_possessivepronoun	nostre_possessivepronoun
nosso_possessivepronoun	nostre_possessivepronoun
silenciador_noun	silenciador_noun
transnacional_adjective	transnacional_adjective
marchildon_propernoun	marchildon_propernoun
barnes_propernoun	barnes_propernoun
tênis_noun	tenis_noun
soses_propernoun	soses_propernoun
debonis_propernoun	debonis_propernoun
nabokov_propernoun	nabókov_propernoun
martínez_propernoun	martínez_propernoun
chamberland_propernoun	chamberland_propernoun
pneumonia_noun	pneumònia_noun
montambault_propernoun	montambault_propernoun
gandia_propernoun	gandia_propernoun
bifocal_adjective	bifocal_adjective
naccarato_propernoun	naccarato_propernoun
circassiano_noun	circassià_noun
mediterrâneo_propernoun	mediterrània_propernoun
proibição_noun	prohibició_noun
representador_adjective	representador_adjective
bellcaire-d'empordà_propernoun	bellcaire-d'empordà_propernoun
van-orden_propernoun	van-orden_propernoun
muguruza_propernoun	muguruza_propernoun
malonda_propernoun	malonda_propernoun
salazarista_adjective	salazarista_adjective
kusstatscher_propernoun	kusstatscher_propernoun
stirner_propernoun	stirner_propernoun
laperle_propernoun	laperle_propernoun
conflito_noun	conflicte_noun
demagogicamente_adverb	demagògicament_adverb
vazzoler_propernoun	vazzoler_propernoun
sola_propernoun	sola_propernoun
categorizar_verb	categoritzar_verb
inofensivo_adjective	inofensiu_adjective
vidigal_propernoun	vidigal_propernoun
pontils_propernoun	pontils_propernoun
kōchi_propernoun	kōchi_propernoun
munoz_propernoun	munoz_propernoun
totalitário_adjective	totalitari_adjective
videoclipe_noun	videoclip_noun
chover_verb	ploure_verb
parisiense_adjective	parisenc_adjective
ribesalbes_propernoun	ribesalbes_propernoun
generalizável_adjective	generalitzable_adjective
tardá_propernoun	tardá_propernoun
jalbert_propernoun	jalbert_propernoun
contrastação_noun	contrastació_noun
talavera_propernoun	talavera_propernoun
short_propernoun	short_propernoun
epagógico_adjective	epagògic_adjective
erigir_verb	erigir_verb
platônico_adjective	platònic_adjective
planamente_adverb	planament_adverb
homero_propernoun	homer_propernoun
rusu_propernoun	rusu_propernoun
marchini_propernoun	marchini_propernoun
quase_adverb	quasi_adverb
numeral_adjective	numeral_adjective
st-cyr_propernoun	st-cyr_propernoun
alceu_propernoun	alceu_propernoun
espécie_noun	espècie_noun
alaska_propernoun	alaska_propernoun
saba_propernoun	saba_propernoun
quart_propernoun	quart_propernoun
túlio_propernoun	túlio_propernoun
de-ganga_adjective	texà_adjective
adaptador_adjective	adaptador_adjective
circulação_noun	circulació_noun
cobalto_noun	cobalt_noun
parasito_noun	paràsit_noun
alacala_propernoun	alacala_propernoun
zurinaga_propernoun	zurinaga_propernoun
algorfa_propernoun	algorfa_propernoun
documental_adjective	documental_adjective
eleição_noun	comici_noun
estorninho_noun	estornell_noun
maderloni_propernoun	maderloni_propernoun
ondejante_adjective	ondejant_adjective
credor_noun	creditor_noun
aitchison_propernoun	aitchison_propernoun
marongiu_propernoun	marongiu_propernoun
tráfico_noun	tràfic_noun
montesinos_propernoun	montesinos_propernoun
en-breve_adverb	aviat_adverb
oliaro_propernoun	oliaro_propernoun
resiliente_adjective	resilient_adjective
berço_noun	moll_noun
preguiça_noun	mandra_noun
pressionar_verb	pressionar_verb
aquilino_adjective	aquilí_adjective
prunariu_propernoun	prunariu_propernoun
enérgico_adjective	enèrgic_adjective
hamer_propernoun	hamer_propernoun
individualista_noun	individualista_noun
darnés_propernoun	darnés_propernoun
vasseur_propernoun	vasseur_propernoun
arnán_propernoun	arnán_propernoun
plebiscitário_adjective	plebiscitari_adjective
vadio_adjective	vagabund_adjective
tan_propernoun	tan_propernoun
barbara_propernoun	barbara_propernoun
baltrons_propernoun	baltrons_propernoun
interioridade_noun	interioritat_noun
aimee_propernoun	aimee_propernoun
massaoudi_propernoun	massaoudi_propernoun
helenização_noun	hel·lenització_noun
danti_propernoun	danti_propernoun
sinal_noun	senyal_noun
levantino_adjective	llevantí_adjective
congénito_adjective	congènit_adjective
caramelização_noun	caramel·lització_noun
leccisi_propernoun	leccisi_propernoun
monier_propernoun	monier_propernoun
rapper_noun	raper_noun
incontrastável_adjective	incontrastable_adjective
church_propernoun	church_propernoun
portaña_propernoun	portaña_propernoun
calvi_propernoun	calvi_propernoun
faucal_adjective	faucal_adjective
faz-favor_interjection	si-us-plau_interjection
eternidade_noun	eternitat_noun
em-potencial_adverb	en-potència_adverb
limitação_noun	limitació_noun
guimond_propernoun	guimond_propernoun
roquetes_propernoun	roquetes_propernoun
xiang_propernoun	xiang_propernoun
sicard_propernoun	sicard_propernoun
mansour_propernoun	mansour_propernoun
isentrópico_adjective	isentròpic_adjective
campesinato_noun	pagesia_noun
exosfera_noun	exosfera_noun
timor-leste_propernoun	timor-oriental_propernoun
dialogal_adjective	dialogal_adjective
sant-bonaventura_propernoun	sant-bonaventura_propernoun
thiem_propernoun	thiem_propernoun
habitat_noun	hàbitat_noun
colofônia_noun	colofònia_noun
endossador_adjective	endossador_adjective
amazônico_adjective	amazònic_adjective
diacrônico_adjective	diacrònic_adjective
frias_propernoun	frias_propernoun
molist_propernoun	molist_propernoun
eletroquímico_adjective	electroquímic_adjective
moraga_propernoun	moraga_propernoun
comunicador_noun	comunicador_noun
trespidi_propernoun	trespidi_propernoun
ivars_propernoun	ivars_propernoun
giovannetti_propernoun	giovannetti_propernoun
goergen_propernoun	goergen_propernoun
egotista_adjective	egotista_adjective
imensamente_adverb	immensament_adverb
black_propernoun	black_propernoun
pélissier_propernoun	pélissier_propernoun
anne-marie_propernoun	anne-marie_propernoun
genésico_adjective	genèsic_adjective
recepção_noun	recepció_noun
muns_propernoun	muns_propernoun
originalmente_adverb	originalment_adverb
cami_propernoun	cami_propernoun
huberdeau_propernoun	huberdeau_propernoun
lupaș_propernoun	lupaș_propernoun
broomfield_propernoun	broomfield_propernoun
albiol_propernoun	albiol_propernoun
divórcio_noun	divorci_noun
franzir_verb	frunzir_verb
st-vincent_propernoun	st-vincent_propernoun
manuela_propernoun	manuela_propernoun
obediencial_adjective	obediencial_adjective
toponímia_noun	toponímia_noun
psicanalítico_adjective	psicoanalític_adjective
pedaço_noun	tros_noun
patrick_propernoun	patrick_propernoun
ehm_propernoun	ehm_propernoun
arménio_adjective	armeni_adjective
parcial_adjective	parcial_adjective
palmieri_propernoun	palmieri_propernoun
juscelino_propernoun	juscelino_propernoun
deformidade_noun	deformitat_noun
farisaico_adjective	farisaic_adjective
olímpia_propernoun	olímpia_propernoun
ghimpu_propernoun	ghimpu_propernoun
bennet_propernoun	bennet_propernoun
excelência_noun	excel·lència_noun
rígido_adjective	rígid_adjective
infetante_adjective	infectant_adjective
formentini_propernoun	formentini_propernoun
milênio_noun	mil·lenni_noun
cheviet_propernoun	cheviet_propernoun
balcãs_propernoun	balcans_propernoun
reativação_noun	reactivació_noun
reptante_adjective	reptant_adjective
brezzi_propernoun	brezzi_propernoun
melanésia_propernoun	melanèsia_propernoun
guaman_propernoun	guaman_propernoun
simònides_propernoun	simònides_propernoun
moisés_propernoun	moisés_propernoun
quarenta_numeral	quaranta_numeral
zambrana_propernoun	zambrana_propernoun
individualizável_adjective	individualitzable_adjective
excreção_noun	excreció_noun
retalhamento_noun	retallament_noun
unitariamente_adverb	unitàriament_adverb
desarme_noun	desarmament_noun
triásico_adjective	triàsic_adjective
papoila_noun	rosella_noun
angiolini_propernoun	angiolini_propernoun
lluch_propernoun	lluch_propernoun
casquero_propernoun	casquero_propernoun
oncina_propernoun	oncina_propernoun
irreflexão_noun	irreflexió_noun
menéndez_propernoun	menéndez_propernoun
acusado_noun	acusat_noun
damasceno_adjective	damascè_adjective
incivilizado_adjective	incivilitzat_adjective
torrador_adjective	torrador_adjective
obscenidade_noun	obscenitat_noun
grilli_propernoun	grilli_propernoun
francino_propernoun	francino_propernoun
liso_adjective	llis_adjective
ortogonal_adjective	ortogonal_adjective
quaquero_propernoun	quaquero_propernoun
vivificador_adjective	vivificador_adjective
monge_propernoun	monge_propernoun
desnecessário_adjective	innecessari_adjective
demoníaco_adjective	demoníac_adjective
conceptualização_noun	conceptualització_noun
benwell_propernoun	benwell_propernoun
zarro_propernoun	zarro_propernoun
tesoureiro_noun	tresorer_noun
dactilográfico_adjective	dactilogràfic_adjective
unix_propernoun	unix_propernoun
paleográfico_adjective	paleogràfic_adjective
pol_propernoun	pol_propernoun
nuño_propernoun	nuño_propernoun
instaurável_adjective	instaurable_adjective
modernizador_adjective	modernitzador_adjective
indomesticado_adjective	indomesticat_adjective
correcção_noun	correcció_noun
aprovável_adjective	aprovable_adjective
redón_propernoun	redón_propernoun
vizinhança_noun	proximitat_noun
sexagésimo-terceiro_adjective	seixanta-tresè_adjective
ciaffi_propernoun	ciaffi_propernoun
antuñano_propernoun	antuñano_propernoun
bossa_propernoun	bossa_propernoun
fabricante_noun	fabricant_noun
carda_propernoun	carda_propernoun
cutrera_propernoun	cutrera_propernoun
mcadoo_propernoun	mcadoo_propernoun
vitalista_adjective	vitalista_adjective
montini_propernoun	montini_propernoun
recusável_adjective	recusable_adjective
osborne_propernoun	osborne_propernoun
maçador_adjective	avorrit_adjective
marquis_propernoun	marquis_propernoun
geocronológico_adjective	geocronològic_adjective
conceitual_adjective	conceptual_adjective
giboso_adjective	gibós_adjective
inspecionar_verb	inspeccionar_verb
bieber_propernoun	bieber_propernoun
índico_adjective	índic_adjective
declinar_verb	declinar_verb
perclórico_adjective	perclòric_adjective
feria_propernoun	feria_propernoun
fazzi_propernoun	fazzi_propernoun
vigara_propernoun	vigara_propernoun
iacono_propernoun	iacono_propernoun
numeroso_adjective	nombrós_adjective
gladstone_propernoun	gladstone_propernoun
autopático_adjective	autopàtic_adjective
périard_propernoun	périard_propernoun
bettin_propernoun	bettin_propernoun
israelense_adjective	israelià_adjective
escrich_propernoun	escrich_propernoun
villemaire_propernoun	villemaire_propernoun
digressão_noun	digressió_noun
correlação_noun	correlació_noun
fayos_propernoun	fayos_propernoun
helenístico_adjective	hel·lenístic_adjective
lister_propernoun	lister_propernoun
heredia_propernoun	heredia_propernoun
castricone_propernoun	castricone_propernoun
tirolês_adjective	tirolès_adjective
biesterfeld_propernoun	biesterfeld_propernoun
sabido_propernoun	sabido_propernoun
ugarítico_adjective	ugarític_adjective
picard_propernoun	picard_propernoun
dallara_propernoun	dallara_propernoun
estalinista_noun	estalinista_noun
xii_numeral	xii_numeral
éder_propernoun	éder_propernoun
demille_propernoun	demille_propernoun
ponce_propernoun	ponce_propernoun
em-forte-descida_adverb	fortament-a-la-baixa_adverb
gol_propernoun	gol_propernoun
torrentí_propernoun	torrentí_propernoun
desenfadado_adjective	desenfadat_adjective
gaumond_propernoun	gaumond_propernoun
impressionante_adjective	impressionant_adjective
coreógrafo_noun	coreògraf_noun
redemocratização_noun	redemocratització_noun
rinologista_noun	rinòleg_noun
ferrol_propernoun	ferrol_propernoun
promoção_noun	promoció_noun
amante_adjective	amant_adjective
planificar_verb	planificar_verb
ocasionar_verb	ocasionar_verb
baldeh_propernoun	baldeh_propernoun
tripiana_propernoun	tripiana_propernoun
taxação_noun	taxació_noun
henri_propernoun	henri_propernoun
carmel_propernoun	carmel_propernoun
gibraltar_propernoun	gibraltar_propernoun
piuze_propernoun	piuze_propernoun
extremamente_adverb	extremadament_adverb
ideografia_noun	ideografia_noun
filiz_propernoun	filiz_propernoun
levar_verb	endur_verb
presidir_verb	presidir_verb
amigar_verb	intimar_verb
azotoso_adjective	azotós_adjective
urticante_adjective	urticant_adjective
rogliano_propernoun	rogliano_propernoun
introversão_noun	introversió_noun
contento_propernoun	contento_propernoun
bivitelino_adjective	bivitel·lí_adjective
axiomático_adjective	axiomàtic_adjective
difusível_adjective	difusible_adjective
suyo_adjective	suyo_adjective
hospitalização_noun	hospitalització_noun
mosso-d'esquadra_noun	mosso-d'esquadra_noun
puigdemont_propernoun	puigdemont_propernoun
tarrats_propernoun	tarrats_propernoun
casamitjana_propernoun	casamitjana_propernoun
dl_noun	dl_noun
tavera_propernoun	tavera_propernoun
senese_propernoun	senese_propernoun
antigamente_adverb	antigament_adverb
bonferroni_propernoun	bonferroni_propernoun
brigante_adjective	brigant_adjective
acidentalmente_adverb	accidentalment_adverb
gramazio_propernoun	gramazio_propernoun
retweet_noun	piulada_noun
contranatural_adjective	contranatural_adjective
avellaneda_propernoun	avellaneda_propernoun
exercer_verb	exercir_verb
mentiroso_adjective	mentirós_adjective
reyna_propernoun	reyna_propernoun
dinossauro_noun	dinosaure_noun
ciumento_adjective	gelós_adjective
dessources_propernoun	dessources_propernoun
de-azeredo_propernoun	de-azeredo_propernoun
cidadela_noun	ciutadella_noun
sinuosamente_adverb	sinuosament_adverb
nugent_propernoun	nugent_propernoun
rutherford_propernoun	rutherford_propernoun
lufthansa_propernoun	lufthansa_propernoun
desabar_verb	caure_verb
cavar_verb	cavar_verb
mensagem_noun	missatge_noun
similitudinário_adjective	similitudinari_adjective
telescópico_adjective	telescòpic_adjective
monoatómico_adjective	monoatòmic_adjective
coronel_propernoun	coronel_propernoun
duplessis_propernoun	duplessis_propernoun
sucinto_adjective	succint_adjective
sentir-falta_verb	enyorar_verb
verificar_verb	verificar_verb
bairro-de-lata_noun	barri-de-barraques_noun
marilyn_propernoun	marilyn_propernoun
siemens_propernoun	siemens_propernoun
assaltar_verb	assaltar_verb
carpenedo_propernoun	carpenedo_propernoun
pulmonarmente_adverb	pulmonarment_adverb
scarlat_propernoun	scarlat_propernoun
pissarro_propernoun	pissarro_propernoun
irmão_adjective	germà_adjective
ionização_noun	ionització_noun
sulfato_noun	sulfat_noun
rotatório_adjective	rotatori_adjective
conciliar_verb	conciliar_verb
agrogeologia_noun	agrogeologia_noun
dobrar_verb	doblegar_verb
yanna_propernoun	yanna_propernoun
babilônico_adjective	babiloni_adjective
franci_propernoun	franci_propernoun
cambó_propernoun	cambó_propernoun
