esclofollar_verb	éplucher_verb
implacable_adjective	implacable_adjective
jardim_propernoun	jardim_propernoun
ruste_propernoun	ruste_propernoun
ragueneaux_propernoun	ragueneaux_propernoun
yamilem_propernoun	yamilem_propernoun
charlebois_propernoun	charlebois_propernoun
sahnti_propernoun	sahnti_propernoun
velocista_noun	vélociste_noun
enguix_propernoun	enguix_propernoun
oceànic_adjective	océanique_adjective
rovirosa_propernoun	rovirosa_propernoun
cilíndric_adjective	cylindrique_adjective
bruno_propernoun	bruno_propernoun
terradellas_propernoun	terradellas_propernoun
pearl-harbor_propernoun	pearl-harbor_propernoun
sorprendre_verb	étonner_verb
prescient_adjective	prescient_adjective
filip_propernoun	philippe_propernoun
bacil·liforme_adjective	bacilliforme_adjective
balcells_propernoun	balcells_propernoun
follet_noun	farfadet_noun
alvocat_noun	avocat_noun
ruble_noun	rouble_noun
interceptar_verb	intercepter_verb
montahud_propernoun	montahud_propernoun
escipió_propernoun	escipió_propernoun
girar_verb	virer_verb
moble_adjective	meuble_adjective
impassible_adjective	impassible_adjective
olano_propernoun	olano_propernoun
condecorar_verb	médailler_verb
tributar_verb	payer-des-impôts_verb
obrien_propernoun	obrien_propernoun
desenvolupador_noun	développeur_noun
aragó_propernoun	aragon_propernoun
far_noun	phare_noun
miccional_adjective	mictionnel_adjective
ariadna_propernoun	ariadna_propernoun
prudència_propernoun	prudència_propernoun
theodor_propernoun	theodor_propernoun
galuppo_propernoun	galuppo_propernoun
tribunal-de-comptes_noun	cour-des-comptes_noun
mena_propernoun	mena_propernoun
graffiti_noun	graffiti_noun
ene_propernoun	ene_propernoun
reial-decret_noun	décret-royal_noun
puglia_propernoun	puglia_propernoun
litoral_adjective	littoral_adjective
senesi_propernoun	senesi_propernoun
maçanet-de-cabrenys_propernoun	maçanet-de-cabrenys_propernoun
gangrenar_verb	gangréner_verb
quart_adjective	quatrième_adjective
xile_propernoun	chili_propernoun
burgundi_noun	burgonde_noun
jovina_propernoun	jovina_propernoun
exergia_noun	exergie_noun
plantígrad_noun	plantigrade_noun
reg_noun	arrosage_noun
pellisa_propernoun	pellisa_propernoun
marineau_propernoun	marineau_propernoun
articular_verb	articuler_verb
xamànic_adjective	chamanique_adjective
hanae_propernoun	hanae_propernoun
querubina_propernoun	querubina_propernoun
de-belém_propernoun	de-belém_propernoun
acetós_adjective	acéteux_adjective
demora_noun	retard_noun
mascle_noun	mâle_noun
nicaragua_propernoun	nicaragua_propernoun
melsa_noun	rate_noun
subtropical_adjective	subtropical_adjective
hogan_propernoun	hogan_propernoun
uzbek_adjective	ouzbek_adjective
gotor_propernoun	gotor_propernoun
estèreo_adjective	stéreo_adjective
fortugno_propernoun	fortugno_propernoun
paral·lelepípede_noun	parallélépipède_noun
padà_adjective	padan_adjective
canoa_noun	canoë_noun
fotogènic_adjective	photogénique_adjective
des-de-mitjan-de_preposition	depuis-la-moitié-de_preposition
fay_propernoun	fay_propernoun
garratibat_adjective	pantois_adjective
cigró_noun	pois-chiche_noun
interministerial_adjective	interministériel_adjective
burlar_verb	déjouer_verb
carrossar_verb	carrosser_verb
ventricular_adjective	ventriculaire_adjective
adèle_propernoun	adèle_propernoun
metabòlit_noun	métabolite_noun
abelleira_propernoun	abelleira_propernoun
ambrogio_propernoun	ambrogio_propernoun
descens_noun	descente_noun
posteritat_noun	postérité_noun
problemàtic_adjective	problématique_adjective
albir_noun	avis_noun
pòrfir_noun	porphyre_noun
okupa_noun	squatter_noun
afirmar_verb	affirmer_verb
implantologia_noun	implantologie_noun
bonificació_noun	bonification_noun
turmentar_verb	chicaner_verb
tranchida_propernoun	tranchida_propernoun
custòdia-policial_noun	garde-à-vue_noun
gilbert_propernoun	gilbert_propernoun
neuropatologia_noun	neuropathologie_noun
tírvia_propernoun	tírvia_propernoun
capdavanter_adjective	pionnier_adjective
baphoen_propernoun	baphoen_propernoun
piular_verb	piailler_verb
silicificació_noun	silicification_noun
creixença_noun	croissance_noun
dins_adverb	dedans_adverb
pamies_propernoun	pamies_propernoun
dominar_verb	mater_verb
profanar_verb	profaner_verb
button_propernoun	button_propernoun
cruyff_propernoun	cruyff_propernoun
deslauriers_propernoun	deslauriers_propernoun
extenuar_verb	exténuer_verb
merder_noun	pagaille_noun
aznavour_propernoun	aznavour_propernoun
triomfador_noun	vainqueur_noun
caçamines_noun	démineur_noun
rei_propernoun	rei_propernoun
inalienabilitat_noun	inaliénabilité_noun
funke_propernoun	funke_propernoun
jasikevicius_propernoun	jasikevicius_propernoun
simpatectomia_noun	sympathectomie_noun
nominalista_adjective	nominaliste_adjective
conchi_propernoun	conchi_propernoun
melchionna_propernoun	melchionna_propernoun
mantia_propernoun	mantia_propernoun
sacre-imperi-romanogermànic_propernoun	saint-empire-romain-germanique_propernoun
ps_noun	ps_noun
assassinar_verb	assassiner_verb
periodisme_noun	journalisme_noun
bañeres_propernoun	bañeres_propernoun
mendizorrotza_propernoun	mendizorrotza_propernoun
deslleialtat_noun	déloyauté_noun
absoldre_verb	absoudre_verb
repetidor_noun	redoublant_noun
fer-trampa_verb	filouter_verb
carrà_propernoun	carrà_propernoun
el-castell-de-guadalest_propernoun	el-castell-de-guadalest_propernoun
ritmar_verb	rythmer_verb
penúltim_adjective	avant-dernier_adjective
jospin_propernoun	jospin_propernoun
ratera_noun	souricière_noun
proteínic_adjective	protéique_adjective
metanol_noun	méthanol_noun
vivó_propernoun	vivó_propernoun
superar_verb	surmonter_verb
neruda_propernoun	neruda_propernoun
lleter_adjective	laitier_adjective
golut_noun	glouton_noun
bolzonello_propernoun	bolzonello_propernoun
baltimore_propernoun	baltimore_propernoun
zamparutti_propernoun	zamparutti_propernoun
miríficament_adverb	mirifiquement_adverb
culpabilitzar_verb	culpabiliser_verb
demirdjian_propernoun	demirdjian_propernoun
corneveaux_propernoun	corneveaux_propernoun
empestar_verb	empester_verb
theiner_propernoun	theiner_propernoun
rue_propernoun	rue_propernoun
agresiu_adjective	agressif_adjective
alentorn_propernoun	alentorn_propernoun
bathylle_propernoun	bathylle_propernoun
parcialitat_noun	partialité_noun
estegosaure_noun	stégosaure_noun
arantzazu_propernoun	arantzazu_propernoun
douste_propernoun	douste_propernoun
explicació_noun	explication_noun
lamothe_propernoun	lamothe_propernoun
de-blas_propernoun	de-blas_propernoun
sol·licitant_noun	postulant_noun
monosomia_noun	monosomie_noun
short_propernoun	short_propernoun
indubtablement_adverb	sans-doute_adverb
isotònic_adjective	isotonique_adjective
observador_adjective	observateur_adjective
sopena_propernoun	sopena_propernoun
guia_noun	guidance_noun
delsa_propernoun	delsa_propernoun
liu_propernoun	liu_propernoun
emancipatori_adjective	émancipatoire_adjective
costantini_propernoun	costantini_propernoun
nora_noun	bru_noun
pardo_propernoun	pardo_propernoun
enamorat_adjective	amoureux_adjective
cataracta_noun	cataracte_noun
connors_propernoun	connors_propernoun
dactilograma_noun	dactylogramme_noun
decisió_noun	décision_noun
napoletano_propernoun	napoletano_propernoun
sòl_noun	plancher_noun
lagunas_propernoun	lagunas_propernoun
ainhoa-arteta_propernoun	ainhoa-arteta_propernoun
uras_propernoun	uras_propernoun
francocanadenc_adjective	franco-canadien_adjective
deverbal_adjective	déverbal_adjective
presumpte_adjective	présumé_adjective
movible_adjective	movible_adjective
alamillo_propernoun	alamillo_propernoun
transcórrer_verb	passer_verb
masoquista_noun	masochiste_noun
estranyesa_noun	étonnement_noun
vary_propernoun	vary_propernoun
caparvi_propernoun	caparvi_propernoun
interdisciplinari_adjective	interdisciplinaire_adjective
rosannah_propernoun	rosannah_propernoun
prospector_noun	prospecteur_noun
arcar_verb	arquer_verb
entestar_verb	entêter_verb
clayton_propernoun	clayton_propernoun
llauna_noun	canette_noun
exclusivitat_noun	exclusivité_noun
llaminadura_noun	gourmandise_noun
stoetzel_propernoun	stoetzel_propernoun
tractar-de_verb	agir-de_verb
garneu_adjective	sournois_adjective
sant-aniol-de-finestres_propernoun	sant-aniol-de-finestres_propernoun
isomerisme_noun	isomérisme_noun
gonzaga_propernoun	gonzaga_propernoun
enrajolar_verb	daller_verb
embrió_noun	embryon_noun
veí_noun	voisin_noun
adollar_verb	jaillir_verb
dialectalisme_noun	dialectalisme_noun
tenir-lloc_verb	avoir-lieu_verb
trahan_propernoun	trahan_propernoun
bosum_propernoun	bosum_propernoun
viola_noun	alto_noun
estirat_adjective	allongé_adjective
liberalització_noun	libéralisation_noun
subscriure_verb	soussigner_verb
copland_propernoun	copland_propernoun
plaça_noun	place_noun
cacchione_propernoun	cacchione_propernoun
confederat_adjective	confédéré_adjective
costescu_propernoun	costescu_propernoun
ferraz_propernoun	ferraz_propernoun
descuidar_verb	négliger_verb
xip_noun	puce_noun
costas_propernoun	costas_propernoun
príam_propernoun	priam_propernoun
aqüífer_adjective	aquifère_adjective
entrampar_verb	prendre-au-piège_verb
xador_noun	tchador_noun
stancu_propernoun	stancu_propernoun
jocelyne_propernoun	jocelyne_propernoun
redox_adjective	redox_adjective
petrilli_propernoun	petrilli_propernoun
commensurable_adjective	commensurable_adjective
lanneville_propernoun	lanneville_propernoun
sen_noun	sen_noun
calatrava_propernoun	calatrava_propernoun
inert_adjective	inerte_adjective
farley_propernoun	farley_propernoun
esquerp_adjective	farouche_adjective
emissor_noun	émetteur_noun
briccola_propernoun	briccola_propernoun
crossley_propernoun	crossley_propernoun
mercè_noun	merci_noun
provisió_noun	provision_noun
lespérance_propernoun	lespérance_propernoun
tailandès_noun	thaïlandais_noun
moràvia_propernoun	moravie_propernoun
complexificació_noun	complexification_noun
rucco_propernoun	rucco_propernoun
el-poble-nou-de-benitatxell_propernoun	el-poble-nou-de-benitatxell_propernoun
número_noun	pointure_noun
bubota_noun	épouvantail_noun
perímetre_noun	pourtour_noun
petrotta_propernoun	petrotta_propernoun
soc_noun	souche_noun
lafontant_propernoun	lafontant_propernoun
cilindroide_adjective	cylindroïde_adjective
barril_propernoun	barril_propernoun
aixa_noun	herminette_noun
pujades_propernoun	pujades_propernoun
gasch_propernoun	gasch_propernoun
polisulfur_noun	polysulfure_noun
marginalment_noun	marginalement_noun
chica_propernoun	chica_propernoun
actínic_adjective	actinique_adjective
pal·li_noun	pallium_noun
anellar_verb	baguer_verb
mol·lisol_noun	mollisol_noun
look_noun	look_noun
peça-de-vestir_noun	pièce-de-vêtement_noun
vallclara_propernoun	vallclara_propernoun
autoproclamat_adjective	autoproclamé_adjective
clonal_adjective	clonal_adjective
florea_propernoun	florea_propernoun
cervesa_noun	bière_noun
belhumeur_propernoun	belhumeur_propernoun
guillat_adjective	dingue_adjective
ruano_propernoun	ruano_propernoun
coberta_noun	toiture_noun
st-laurent_propernoun	st-laurent_propernoun
parveen_propernoun	parveen_propernoun
tina_noun	tine_noun
cladisme_noun	cladisme_noun
impugnar_verb	contester_verb
dione_propernoun	dione_propernoun
rigidesa_noun	rigidité_noun
excepte-que_subordinatingconjunction	sauf-que_subordinatingconjunction
stevenson_propernoun	stevenson_propernoun
simbòlicament_adverb	symboliquement_adverb
hondón-de-los-frailes_propernoun	hondón-de-los-frailes_propernoun
xàrter_noun	charter_noun
beneir_verb	bénir_verb
recopilatori_noun	compilation_noun
credencial_noun	laissez-passer_noun
ortiga_propernoun	ortiga_propernoun
cloïssa_noun	palourde_noun
difusionista_adjective	diffusionniste_adjective
millet_propernoun	millet_propernoun
astràgal_noun	astragale_noun
solana_propernoun	solana_propernoun
bombai_propernoun	bombay_propernoun
karina_propernoun	karina_propernoun
vareta_noun	baguette_noun
aneguet_noun	caneton_noun
noble_adjective	noble_adjective
schindler_propernoun	schindler_propernoun
siam_propernoun	siam_propernoun
seguidor_noun	suiveur_noun
cucurella_propernoun	cucurella_propernoun
barrera_propernoun	barrera_propernoun
pua_noun	dent_noun
entorpir_verb	entraver_verb
caffaratto_propernoun	caffaratto_propernoun
topografia_noun	topographie_noun
tooktoo_propernoun	tooktoo_propernoun
parasitològic_adjective	parasitologique_adjective
leboeuf_propernoun	leboeuf_propernoun
postclàssic_adjective	postclassique_adjective
vulgata_noun	vulgate_noun
a-sota_adverb	en-dessous_adverb
ornellas_propernoun	ornellas_propernoun
geoffrion_propernoun	geoffrion_propernoun
bizantí_adjective	byzantin_adjective
malar_adjective	malaire_adjective
magnífic_adjective	magnifique_adjective
piromorfita_noun	pyromorphite_noun
altar_noun	autel_noun
quattrocchi_propernoun	quattrocchi_propernoun
sociable_adjective	convivial_adjective
buguenvíl·lea_noun	bougainvillée_noun
nicolaescu_propernoun	nicolaescu_propernoun
manolo_propernoun	manolo_propernoun
lonsdale_propernoun	lonsdale_propernoun
dirigista_noun	dirigiste_noun
morancho_propernoun	morancho_propernoun
fenoll_propernoun	fenoll_propernoun
manero_propernoun	manero_propernoun
bellmunt-d'urgell_propernoun	bellmunt-d'urgell_propernoun
solipsista_adjective	solipsiste_adjective
embrutir_verb	abrutir_verb
escapament_noun	échappement_noun
carbone_propernoun	carbone_propernoun
sant-cebrià-de-vallalta_propernoun	sant-cebrià-de-vallalta_propernoun
monologar_verb	monologuer_verb
panetta_propernoun	panetta_propernoun
rovira_propernoun	rovira_propernoun
profetitzar_verb	prophétiser_verb
cartolina_noun	carte_noun
abric_noun	abri_noun
rigorisme_noun	rigorisme_noun
catalanoparlant_adjective	catalanophone_adjective
porc_noun	cochon_noun
orar_verb	prier_verb
arquitectura_noun	architecture_noun
xafardejar_verb	cancaner_verb
diapositiva_noun	diapositive_noun
trava_noun	obstacle_noun
ipod_propernoun	ipod_propernoun
fisichella_propernoun	fisichella_propernoun
indestructiblement_adverb	indestructiblement_adverb
tisores_noun	ciseau_noun
castellet-i-la-gornal_propernoun	castellet-i-la-gornal_propernoun
hàbitat_noun	habitat_noun
manejable_adjective	maniable_adjective
salvas_propernoun	salvas_propernoun
modelar_verb	modeler_verb
istrate_propernoun	istrate_propernoun
adreça_noun	suscription_noun
capitolí_adjective	capitolin_adjective
windal_propernoun	windal_propernoun
assegurador_noun	assureur_noun
savoini_propernoun	savoini_propernoun
sender_propernoun	sender_propernoun
germanoparlant_noun	germanophone_noun
xipriota_adjective	cypriote_adjective
ensopir_verb	assoupir_verb
licantropia_noun	lycanthropie_noun
odessa_propernoun	odessa_propernoun
abbott_propernoun	abbott_propernoun
rigol_propernoun	rigol_propernoun
caselli_propernoun	caselli_propernoun
libi_noun	libyen_noun
activar_verb	déclencher_verb
fer-un-petó_verb	faire-la-bise_verb
irlandès_adjective	irlandais_adjective
universalista_adjective	universaliste_adjective
monumentalment_adverb	monumentalement_adverb
leucip_propernoun	leucip_propernoun
pisolític_adjective	pisolitique_adjective
susanita_propernoun	susanita_propernoun
mellor_propernoun	mellor_propernoun
giulia_propernoun	giulia_propernoun
lucie_propernoun	lucie_propernoun
calorimètric_adjective	calorimétrique_adjective
pelagianisme_noun	pélagianisme_noun
erotòman_noun	érotomane_noun
dilema_noun	dilemme_noun
bird_propernoun	bird_propernoun
persuasió_noun	persuasion_noun
titularitat_noun	titularité_noun
punyeter_adjective	taquin_adjective
fibrinós_adjective	fibrineux_adjective
clatellot_noun	claque_noun
morfinomania_noun	morphinomanie_noun
eden_propernoun	eden_propernoun
cubell-de-les-escombraries_noun	poubelle_noun
veneto_propernoun	veneto_propernoun
carelli_propernoun	carelli_propernoun
optometria_noun	optométrie_noun
caicedo_propernoun	caicedo_propernoun
notaris_propernoun	notaris_propernoun
matton_propernoun	matton_propernoun
bavejar_verb	baver_verb
duciaume_propernoun	duciaume_propernoun
georgina_propernoun	georgina_propernoun
desordre_noun	désordre_noun
bonin_propernoun	bonin_propernoun
wycliffe_propernoun	wycliffe_propernoun
artroplàstia_noun	arthroplastie_noun
sense-alè_adverb	à-bout-de-souffle_adverb
guglielmi_propernoun	guglielmi_propernoun
ribaudo_propernoun	ribaudo_propernoun
selecció-italiana_noun	équipe-d'italie_noun
replantejar_verb	poser-à-nouveau_verb
primacia_noun	primatie_noun
pomologia_noun	pomologie_noun
músic_noun	musicien_noun
preciosista_adjective	précieux_adjective
jute_noun	jute_noun
bruzzi_propernoun	bruzzi_propernoun
cumulatiu_adjective	cumulatif_adjective
grégoire_propernoun	grégoire_propernoun
gestor_adjective	gestionnaire_adjective
pascu_propernoun	pascu_propernoun
desolat_adjective	navré_adjective
què_relativepronoun	lequel_relativepronoun
bonifaci_propernoun	bonifaci_propernoun
yves_propernoun	yves_propernoun
escaramussa_noun	escarmouche_noun
coscioni_propernoun	coscioni_propernoun
redacció_noun	rédaction_noun
calçar_verb	chausser_verb
vinyer_noun	vignoble_noun
ferrós_adjective	ferreux_adjective
conde_propernoun	conde_propernoun
amplificar_verb	amplifier_verb
paraula-clau_noun	mot-clef_noun
lecomte_propernoun	lecomte_propernoun
jugador-de-bàsquet_noun	basketteur_noun
taricco_propernoun	taricco_propernoun
kaela_propernoun	kaela_propernoun
segni_propernoun	segni_propernoun
necessitós_noun	nécessiteux_noun
fatou_propernoun	fatou_propernoun
llatinoamericà_adjective	latino-américain_adjective
lindh_propernoun	lindh_propernoun
bruguera_propernoun	bruguera_propernoun
oceanògraf_noun	océanographe_noun
atemporal_adjective	atemporel_adjective
inamissibilitat_noun	inamissibilité_noun
reforç_noun	renforcement_noun
renúncia_noun	démission_noun
rebutjar_verb	rejeter_verb
zubaydah_propernoun	zubaydah_propernoun
exsudació_noun	exsudation_noun
taral·lejar_verb	fredonner_verb
illa-del-príncep-eduard_propernoun	île-du-prince-édouard_propernoun
cyrenne_propernoun	cyrenne_propernoun
terraplè_noun	terre-plein_noun
zahira_propernoun	zahira_propernoun
pàtria_noun	patrie_noun
torbar_verb	troubler_verb
gluck_propernoun	gluck_propernoun
lleugerament_adverb	légèrement_adverb
sadisme_noun	sadisme_noun
bouchar_propernoun	bouchar_propernoun
bascular_verb	basculer_verb
no-obstant-això_subordinatingconjunction	nonobstant_subordinatingconjunction
limitació_noun	limitation_noun
gimeno_propernoun	gimeno_propernoun
tercer-món_noun	tiers-monde_noun
rosarito_propernoun	rosarito_propernoun
farcell_noun	paquet_noun
busseti_propernoun	busseti_propernoun
infidelitat_noun	infidélité_noun
atròfic_adjective	atrophique_adjective
aitken_propernoun	aitken_propernoun
rosati_propernoun	rosati_propernoun
afligir_verb	contrister_verb
laëtitia_propernoun	laëtitia_propernoun
patania_propernoun	patania_propernoun
adornato_propernoun	adornato_propernoun
candelaria_propernoun	candelaria_propernoun
selvaggia_propernoun	selvaggia_propernoun
luisina_propernoun	luisina_propernoun
nicoli_propernoun	nicoli_propernoun
turcman_adjective	turcoman_adjective
tango_noun	tango_noun
terrífic_adjective	terrifique_adjective
stalin_propernoun	staline_propernoun
austràlia_propernoun	australie_propernoun
pettersen_propernoun	pettersen_propernoun
uige_propernoun	uige_propernoun
andriuskevicius_propernoun	andriuskevicius_propernoun
mel_noun	miel_noun
programació_noun	grille-de-programmes_noun
masia_propernoun	masia_propernoun
dactílic_adjective	dactylique_adjective
la-vila-joiosa_propernoun	la-vila-joiosa_propernoun
eduardo_propernoun	eduardo_propernoun
escrutini_noun	scrutin_noun
calaix_noun	tiroir_noun
aleandro_propernoun	aleandro_propernoun
benedicta_propernoun	benedicta_propernoun
verb_noun	verbe_noun
agricultura_noun	agriculture_noun
erròniament_adverb	faussement_adverb
ginebra_propernoun	genève_propernoun
manson_propernoun	manson_propernoun
excepcionalitat_noun	exceptionnalité_noun
cussà_propernoun	cussà_propernoun
galantejar_verb	courtiser_verb
cidui_propernoun	cidui_propernoun
morvan_propernoun	morvan_propernoun
narcotraficant_noun	narcotrafiquant_noun
llengua-de-signes_noun	langue-des-signes_noun
saray_propernoun	saray_propernoun
perill_noun	péril_noun
dativa_propernoun	dativa_propernoun
a-l'entorn_adverb	autour_adverb
cento_propernoun	cento_propernoun
intensió_noun	intension_noun
retardar_verb	reculer_verb
labor_noun	ouvrage_noun
fevrier_propernoun	fevrier_propernoun
matches_propernoun	matches_propernoun
insensiblement_adverb	insensiblement_adverb
eufòric_adjective	euphorique_adjective
rarefacció_noun	raréfaction_noun
aroma_noun	arôme_noun
georges_propernoun	georges_propernoun
fluixesa_noun	faiblesse_noun
vecchiali_propernoun	vecchiali_propernoun
pirineus-atlàntics_propernoun	pyrénées-atlantiques_propernoun
impressionant_adjective	bluffant_adjective
caminoi_noun	sentier_noun
trupia_propernoun	trupia_propernoun
axialment_adverb	axialement_adverb
descoordinació_noun	manque-de-coordination_noun
saint-brieuc_propernoun	saint-brieuc_propernoun
boisselle_propernoun	boisselle_propernoun
senat_noun	sénat_noun
álvaro_propernoun	álvaro_propernoun
parricida_noun	parricide_noun
nácher_propernoun	nácher_propernoun
embargament_noun	saisie_noun
tramvia_noun	tram_noun
divisa_noun	devise_noun
erèctil_adjective	érectile_adjective
bice_propernoun	bice_propernoun
desenraonat_adjective	déraisonné_adjective
proliferant_adjective	proliférant_adjective
nintendo-64_propernoun	nintendo-64_propernoun
pizzolante_propernoun	pizzolante_propernoun
cardenal_noun	cardinal_noun
aqueix_determiner	ce_determiner
aqueix_pronoun	ce_pronoun
aqueix_determiner	ce_determiner
aqueix_demonstrativepronoun	ce_demonstrativepronoun
aqueix_determiner	ce_determiner
aqueix_demonstrativepronoun	ce_demonstrativepronoun
aqueix_pronoun	ce_pronoun
aqueix_demonstrativepronoun	ce_demonstrativepronoun
filocamo_propernoun	filocamo_propernoun
jeanine_propernoun	jeanine_propernoun
parc_noun	square_noun
productivisme_noun	productivisme_noun
servomecanisme_noun	servomécanisme_noun
silvestri_propernoun	silvestri_propernoun
emprar_verb	utiliser_verb
juliane_propernoun	juliane_propernoun
capitalització_noun	capitalisation_noun
pleta_noun	enclos_noun
elisardo_propernoun	elisardo_propernoun
melo_propernoun	melo_propernoun
maleït_adjective	honni_adjective
chapman_propernoun	chapman_propernoun
seropositiu_adjective	séropositif_adjective
aparellar_verb	gréer_verb
tudela_propernoun	tudela_propernoun
termens_propernoun	termens_propernoun
calaverita_noun	calavérite_noun
bitton_propernoun	bitton_propernoun
germani_noun	germanium_noun
prudent_adjective	prudent_adjective
islamització_noun	islamisation_noun
presbiteri_noun	presbytère_noun
muntanyola_propernoun	muntanyola_propernoun
conjugable_adjective	conjugable_adjective
imprescindible_adjective	indispensable_adjective
encistellar_verb	marquer-un-panier_verb
permetre_verb	permettre_verb
conducció_noun	conduction_noun
secularitat_noun	sécularité_noun
corrector_noun	correcteur_noun
tabitha_propernoun	tabitha_propernoun
cloquejar_verb	cliqueter_verb
aparcament_noun	parking_noun
chavero_propernoun	chavero_propernoun
autosatisfacció_noun	autosatisfaction_noun
alejandrina_propernoun	alejandrina_propernoun
deformació_noun	déformation_noun
electrocardiografia_noun	électrocardiographie_noun
fedele_propernoun	fedele_propernoun
equitat_noun	équité_noun
labirintodont_noun	labyrinthodon_noun
desinhibir_verb	désinhiber_verb
monrós_propernoun	monrós_propernoun
dalixa_propernoun	dalixa_propernoun
bayona_propernoun	bayona_propernoun
pavón_propernoun	pavón_propernoun
baptisme_noun	baptême_noun
espinola_propernoun	espinola_propernoun
grand_propernoun	grand_propernoun
mullar_verb	tremper_verb
afrikaner_noun	afrikaner_noun
araújo_propernoun	araújo_propernoun
incorruptible_adjective	incorruptible_adjective
fissore_propernoun	fissore_propernoun
