reformación_noun	réformation_noun
novecientos_numeral	neuf-cents_numeral
hoyinversión_propernoun	hoyinversión_propernoun
cordillera-cantábrica_propernoun	monts-cantabriques_propernoun
jenófanes_propernoun	xénophane_propernoun
edf_propernoun	edf_propernoun
valle-de-arán_propernoun	valle-de-arán_propernoun
al-principio_adverb	au-début_adverb
mijaíl-serguéyevich_propernoun	mikhaïl-sergueïevitch_propernoun
constructivo_adjective	constructif_adjective
sindical_adjective	syndical_adjective
takeo_propernoun	takeo_propernoun
adarraga_propernoun	adarraga_propernoun
aniversario_noun	anniversaire_noun
efecto-comercial_noun	effet-commercial_noun
paseo_noun	promenade_noun
zamora_propernoun	zamora_propernoun
costoso_adjective	coûteux_adjective
esperanzador_adjective	encourageant_adjective
segmentación_noun	segmentation_noun
temprano_adverb	tôt_adverb
contribución_noun	contribution_noun
transitoriamente_adverb	transitoirement_adverb
polo_noun	pôle_noun
radioprotección_noun	radioprotection_noun
palabra_noun	parole_noun
país-de-gales_propernoun	pays-de-galles_propernoun
anjou_propernoun	anjou_propernoun
unión-latina_propernoun	union-latine_propernoun
forest_propernoun	forest_propernoun
esconder_verb	cacher_verb
reparo_noun	objection_noun
laudo_noun	arbitrage_noun
tinta_noun	encre_noun
heinz-fischer_propernoun	heinz-fischer_propernoun
jean-yves_propernoun	jean-yves_propernoun
fisiológico_adjective	physiologique_adjective
ine_propernoun	ine_propernoun
guayana-francesa_propernoun	guyane_propernoun
etruria_propernoun	étrurie_propernoun
solicitud-de-ingreso_noun	demande-d'admission_noun
consagrar_verb	consacrer_verb
marichal_propernoun	marichal_propernoun
becar_verb	bourser_verb
baath_propernoun	baath_propernoun
ostentación_noun	ostentation_noun
rehabilitación_noun	rehabilitation_noun
derechos-del-hombre-y-del-ciudadano_propernoun	droits-de-l'homme-et-du-citoyen_propernoun
en_preposition	chez_preposition
montgomery_propernoun	montgomery_propernoun
arrugar_verb	rider_verb
vermeulen_propernoun	vermeulen_propernoun
ahora-que_subordinatingconjunction	maintenant-que_subordinatingconjunction
escudero_propernoun	escudero_propernoun
albedo_noun	albédo_noun
trainera_noun	trainera_noun
tumulto_noun	tumulte_noun
desequilibrio_noun	déséquilibre_noun
nantes_propernoun	nantes_propernoun
luego_adverb	après_adverb
contrapeso_noun	contrepoids_noun
akrami_propernoun	akrami_propernoun
tercera-edad_noun	troisième-âge_noun
velar_verb	voiler_verb
acá_adverb	ici_adverb
indurain_propernoun	indurain_propernoun
askatasuna_propernoun	askatasuna_propernoun
chantaje_noun	chantage_noun
mayoría-de-edad_noun	majorité_noun
sacro-imperio-romano-germánico_propernoun	saint-empire_propernoun
aserrar_verb	scier_verb
capital_noun	capitale_noun
andrey_propernoun	andrey_propernoun
imperialismo_noun	impérialisme_noun
juppé_propernoun	juppé_propernoun
magie_propernoun	magie_propernoun
andreas_propernoun	andreas_propernoun
mizel_propernoun	mizel_propernoun
desde-el-momento-en-que_subordinatingconjunction	dès-l'instant-où_subordinatingconjunction
dermoepidérmico_adjective	dermo-épidermique_adjective
ellen-johnson-sirleaf_propernoun	ellen-johnson-sirleaf_propernoun
ramos_propernoun	ramos_propernoun
otorrinolaringología_noun	otorrinolaryngologie_noun
acariciar_verb	caresser_verb
retia_propernoun	rhétie_propernoun
enano_noun	nain_noun
best-seller_noun	best-seller_noun
airub_noun	airub_noun
alta-austria_propernoun	haute-autriche_propernoun
pago-aplazado_noun	paiement-différé_noun
anulación_noun	annulation_noun
cuestionar_verb	remettre-en-question_verb
córcega_propernoun	corse_propernoun
previsibilidad_noun	prévisibilité_noun
etxebarria_propernoun	etxebarria_propernoun
dieciséis_numeral	seize_numeral
alberca_propernoun	alberca_propernoun
unesco_propernoun	unesco_propernoun
perplejidad_noun	perplexité_noun
cervera_propernoun	cervera_propernoun
isolux_propernoun	isolux_propernoun
guezala_propernoun	guezala_propernoun
actitud_noun	attitude_noun
ardid_noun	ruse_noun
orleanesado_propernoun	orléanais_propernoun
safran_propernoun	safran_propernoun
mitterrand_propernoun	mitterrand_propernoun
daniel-ortega_propernoun	daniel-ortega_propernoun
comisión-por-cancelación_noun	commission-d'annulation_noun
flash_noun	flash_noun
pértiga_noun	perche_noun
bishkek_propernoun	bichkek_propernoun
civera_propernoun	civera_propernoun
jubilación_noun	retraite_noun
incriminación_noun	incrimination_noun
no-es-que_subordinatingconjunction	non-que_subordinatingconjunction
trío_noun	trio_noun
acumulable_adjective	accumulable_adjective
aede_noun	aede_noun
incomunicabilidad_noun	incommunicabilité_noun
piotr-ilich_propernoun	petr-ilitch_propernoun
desconfianza_noun	méfiance_noun
panamá_propernoun	panamá_propernoun
rebaño_noun	troupeau_noun
permach_propernoun	permach_propernoun
primero_adjective	premier_adjective
responsabilidad_noun	responsabilité_noun
saturación_noun	saturation_noun
afrontar_verb	affronter_verb
brad_propernoun	brad_propernoun
rebelde_adjective	rebelle_adjective
refrendar_verb	confirmer_verb
rutina_noun	routine_noun
invocar_verb	invoquer_verb
deportivo_adjective	sportif_adjective
ficha_noun	jeton_noun
hora-de-entrada_noun	heure-d'entrée_noun
morada_noun	demeure_noun
revolver-el-estómago_verb	soulever-le-coeur_verb
honorífico_adjective	honorifique_adjective
natascha_propernoun	natascha_propernoun
preparatorio_adjective	préparatoire_adjective
andrle_propernoun	andrle_propernoun
canet_propernoun	canet_propernoun
cobertura-informativa_noun	couverture-médiatique_noun
boya_noun	bouée_noun
campana_noun	cloche_noun
vigilancia_noun	surveillance_noun
punto-de-venta_noun	point-de-vente_noun
aretxabala_propernoun	aretxabala_propernoun
sui_noun	sui_noun
australia-meridional_propernoun	australie-méridionale_propernoun
areo_propernoun	areo_propernoun
farmacia_noun	pharmacie_noun
electrón_noun	électron_noun
centro_propernoun	centre_propernoun
secretariado_noun	secrétariat_noun
acopio_noun	approvisionnement_noun
hacer-el-tonto_verb	faire-l'idiot_verb
gabini_propernoun	gabini_propernoun
alcobasa_propernoun	alcobasa_propernoun
provinciano_adjective	provincial_adjective
addy_propernoun	addy_propernoun
atento_adjective	attentif_adjective
detallado_adjective	détaillé_adjective
imperativo_noun	impératif_noun
contrato-laboral_noun	contrat-de-travail_noun
echeverría_propernoun	echeverría_propernoun
fútbol_noun	foot_noun
traducción_noun	traduction_noun
fiscalía_noun	ministère-public_noun
recuperación_noun	récupération_noun
martinon_propernoun	martinon_propernoun
marie-george_propernoun	marie-george_propernoun
retocar_verb	retoucher_verb
aturdir_verb	étourdir_verb
oskitz_propernoun	oskitz_propernoun
fusil_noun	fusil_noun
gol_noun	but_noun
propagar_verb	propager_verb
danzar_verb	danser_verb
colomer_propernoun	colomer_propernoun
sotomayor_propernoun	sotomayor_propernoun
carbón_noun	charbon_noun
faisal-ii_propernoun	faysal-iième_propernoun
ganador_adjective	gagnant_adjective
goioaga_propernoun	goioaga_propernoun
adónde_adverb	où_adverb
adónde_interrogativepronoun	où_interrogativepronoun
actinómetro_noun	actinomètre_noun
hasta-tal-punto-que_subordinatingconjunction	à-tel-point-que_subordinatingconjunction
desconfianza_noun	défiance_noun
raíl_noun	rail_noun
cuenta-indistinta_noun	compte-en-indivision_noun
asamblea-extraordinaria_noun	assemblée-extraordinaire_noun
otorgamiento_noun	concession_noun
vida_noun	vie_noun
máscara_noun	masque_noun
taoufik_propernoun	taoufik_propernoun
desolación_noun	désolation_noun
mucho-después_adverb	beaucoup-après_adverb
ban-ki-moon_propernoun	ban-ki-moon_propernoun
costa-rica_propernoun	costa-rica_propernoun
afuera_adverb	dehors_adverb
godoy_propernoun	godoy_propernoun
fujita-tsuguharu_propernoun	léonard-foujita_propernoun
rousseau_propernoun	rousseau_propernoun
conquistar_verb	conquérir_verb
abastecedor_adjective	ravitailleur_adjective
autonómico_adjective	autonome_adjective
indirectamente_adverb	indirectement_adverb
ourón_propernoun	ourón_propernoun
poco_adjective	peu-de_adjective
judas_propernoun	judas_propernoun
transatlántico_adjective	transatlantique_adjective
áfrica-austral_propernoun	afrique-australe_propernoun
introducir_verb	introduire_verb
equiparable_adjective	comparable_adjective
lena_propernoun	lena_propernoun
monet_propernoun	monet_propernoun
ai_noun	ai_noun
mareo_noun	vertige_noun
lehendakari_noun	président-du-pays-basque_noun
valle_noun	vallée_noun
librado_noun	tiré_noun
mientras-tanto_adverb	entre-temps_adverb
entorno_noun	environnement_noun
responsable_noun	responsable_noun
escenario_noun	plateau_noun
arrendamiento_noun	location_noun
schengen_propernoun	schengen_propernoun
techo_noun	plafond_noun
hurón_propernoun	huron_propernoun
intersección_noun	intersection_noun
papel_noun	papier_noun
leo_propernoun	lion_propernoun
euronext_propernoun	euronext_propernoun
grabación_noun	enregistrement_noun
chatterley_propernoun	chatterley_propernoun
cartulina_noun	carte_noun
tm_noun	t_noun
dédalo_propernoun	dédale_propernoun
antiguo-régimen_propernoun	ancien-régime_propernoun
amplitud_noun	ampleur_noun
asaltar_verb	assaillir_verb
roh-moo-hyun_propernoun	roh-moo-hyun_propernoun
islas-anglo-normandas_propernoun	îles-anglo-normandes_propernoun
alto_adjective	grand_adjective
comparar-con_verb	apparenter-à_verb
roubaix_propernoun	roubaix_propernoun
pedro-verona-rodrigues-pires_propernoun	pedro-verona-rodrigues-pires_propernoun
hinault_propernoun	hinault_propernoun
lakuntza_propernoun	lakuntza_propernoun
padre_noun	père_noun
en-favor-de-terceros_adverb	en-faveur-des-tiers_adverb
norcoreano_adjective	nord-coréen_adjective
baumann_propernoun	baumann_propernoun
morán_propernoun	morán_propernoun
folleto_noun	brochure_noun
organización-de-las-naciones-unidas_propernoun	organisation-des-nations-unies_propernoun
genio_noun	caractère_noun
dar-soporte_verb	supporter_verb
inhábil_adjective	incapable_adjective
inagotable_adjective	inépuisable_adjective
evangelización_noun	évangélisation_noun
polinesia-francesa_propernoun	polynésie-française_propernoun
ayacucho_propernoun	ayacucho_propernoun
acelerador_adjective	accélérateur_adjective
arberoa_propernoun	arbéroue_propernoun
según_preposition	au-dire-de_preposition
paulino_propernoun	paulino_propernoun
barceló_propernoun	barceló_propernoun
incendio_noun	incendie_noun
cocaína_noun	cocaïne_noun
vaciar_verb	évider_verb
publicidad_noun	publicité_noun
patrono_noun	patron_noun
armada-roja_propernoun	armée-rouge_propernoun
otan_noun	otan_noun
the-guardian_propernoun	the-guardian_propernoun
cíclico_adjective	cyclique_adjective
pintxo_noun	amuse-gueule_noun
pib_noun	pib_noun
coordinador_noun	coordinateur_noun
corrector_noun	correcteur_noun
x_numeral	x_numeral
millán_propernoun	millán_propernoun
alawi_propernoun	alawi_propernoun
clooney_propernoun	clooney_propernoun
ampliable_adjective	agrandissable_adjective
incógnita_noun	inconnue_noun
venezolano_noun	vénézuélien_noun
grytviken_propernoun	grytviken_propernoun
alumbramiento_noun	accouchement_noun
reemprender_verb	reprendre_verb
yerno_noun	gendre_noun
sucesivamente_adverb	successivement_adverb
instalador_noun	installateur_noun
desprecio_noun	mépris_noun
juez_noun	juge_noun
asesor_adjective	de-conseil_adjective
pelota_noun	balle_noun
bolsa_noun	sac_noun
profesionalización_noun	professionnalisation_noun
deserción_noun	désertion_noun
saneamiento-de-cartera_noun	assainissement-du-portefeuille_noun
bilbao_propernoun	bilbao_propernoun
global_adjective	global_adjective
neuilly_propernoun	neuilly_propernoun
anotar_verb	noter_verb
irakoitz_propernoun	irakoitz_propernoun
salir-de-sus-casillas_verb	sortir-de-ses-gonds_verb
alcestis_propernoun	alceste_propernoun
pianista_noun	pianiste_noun
reflexión_noun	réflexion_noun
expresión_noun	expression_noun
centésimo_noun	centième_noun
legitimidad_noun	légitimité_noun
discapacitado_adjective	handicapé_adjective
diputado_noun	député_noun
lente_noun	lentille_noun
esnal_propernoun	esnal_propernoun
pleito_noun	procès_noun
insólito_adjective	inaccoutumé_adjective
arenas-movedizas_noun	sables-mouvants_noun
cabo-de-agujas_propernoun	cape-des-aiguilles_propernoun
auritz-burguete_propernoun	auritz-burguete_propernoun
foca_noun	phoque_noun
extraño_adjective	étrange_adjective
estirar-la-pata_verb	casser-sa-pipe_verb
afirmación_noun	affirmation_noun
henao_propernoun	hainaut_propernoun
vespucio_propernoun	vespuce_propernoun
petrograd_propernoun	pétrograd_propernoun
neil_propernoun	neil_propernoun
rugby_noun	rugby_noun
christine_propernoun	christine_propernoun
substraer_verb	soustraire_verb
somme_propernoun	somme_propernoun
resucitar_verb	ressusciter_verb
famoso_adjective	fameux_adjective
prueba_noun	épreuve_noun
franquista_adjective	franquiste_adjective
invariable_adjective	invariable_adjective
salazar_propernoun	salazar_propernoun
eros_propernoun	éros_propernoun
esther_propernoun	esther_propernoun
juerga_noun	bringue_noun
precepto_noun	précepte_noun
anais_propernoun	anais_propernoun
a-priori_adverb	a-priori_adverb
aflorar_verb	affleurer_verb
omán_propernoun	oman_propernoun
logotipo_noun	logotype_noun
querella_noun	complainte_noun
peña_noun	club_noun
costar-un-ojo-de-la-cara_verb	coûter-les-yeux-de-la-tête_verb
gibernau_propernoun	gibernau_propernoun
elsa_propernoun	elsa_propernoun
wallis-y-futuna_propernoun	wallis-et-futuna_propernoun
quizás_adverb	peut-être_adverb
perjudicial_adjective	nuisible_adjective
alunizaje_noun	alunissage_noun
subtil_adjective	subtil_adjective
biólogo_noun	biologiste_noun
etcétera_subordinatingconjunction	et-cetera_subordinatingconjunction
atlético-de-madrid_propernoun	atlético-de-madrid_propernoun
fuera-de_preposition	en-dehors-de_preposition
desalojo_noun	délogement_noun
zampieri_propernoun	zampieri_propernoun
palazuelo_propernoun	palazuelo_propernoun
voto_noun	vote_noun
pala_noun	pelle_noun
arnotegi_propernoun	arnotegi_propernoun
embotellamiento_noun	embouteillage_noun
saipan_propernoun	saipan_propernoun
concejala_noun	conseillère-municipale_noun
filadelfia_propernoun	philadelphie_propernoun
lingüístico_adjective	linguistique_adjective
registrar_verb	enregistrer_verb
avignon_propernoun	avignon_propernoun
buesa_propernoun	buesa_propernoun
millardo_noun	milliard_noun
único_adjective	unique_adjective
autodeterminación_noun	autodétermination_noun
asiria_propernoun	assyrie_propernoun
pascua_propernoun	pâques_propernoun
ansioso_adjective	anxieux_adjective
berbalagun_propernoun	berbalagun_propernoun
hogar-del-pensionista_noun	foyer-de-retraités_noun
modo_noun	façon_noun
haro_propernoun	haro_propernoun
elegancia_noun	élégance_noun
feo_adjective	laid_adjective
notificar_verb	notifier_verb
caspe_propernoun	caspe_propernoun
referencia_noun	référencement_noun
campeonato_noun	championnat_noun
orfebre_noun	orfèvre_noun
escalar_verb	escalader_verb
opositor_adjective	opposant_adjective
aleación_noun	alliage_noun
punición_noun	punition_noun
liberia_propernoun	libéria_propernoun
roissy_propernoun	roissy_propernoun
gadea_propernoun	gadea_propernoun
endurecer_verb	durcir_verb
guardaespaldas_noun	garde-du-corps_noun
manny-mori_propernoun	manny-mori_propernoun
países-del-loira_propernoun	pays-de-la-loire_propernoun
en-justicia_adverb	en-toute-justice_adverb
kim-jong-il_propernoun	kim-jong-il_propernoun
sondeo_noun	sondage_noun
domiciliar_verb	domicilier_verb
cata_noun	dégustation_noun
descartar_verb	écarter_verb
aglomerado_noun	aggloméré_noun
damocles_propernoun	damoclès_propernoun
presa_noun	prise_noun
bailén_propernoun	bailén_propernoun
angelis_propernoun	angelis_propernoun
nacionalidad_noun	nationalité_noun
quimper_propernoun	quimper_propernoun
kinshasa_propernoun	kinshasa_propernoun
ironizar_verb	ironiser_verb
tirada_noun	tirage_noun
benz_propernoun	benz_propernoun
alabar_verb	louer_verb
corajoso_adjective	courageux_adjective
opinión_noun	opinion_noun
militar_noun	militaire_noun
mondragón_propernoun	mondragón_propernoun
general_noun	général_noun
fito_propernoun	fito_propernoun
vietnamita_adjective	vietnamien_adjective
sensibilidad_noun	sensibilité_noun
corrientes_noun	mois-courants_noun
gigante_adjective	géant_adjective
carrefour_propernoun	carrefour_propernoun
comunicante_noun	communicant_noun
prescriptor_noun	prescripteur_noun
dictadura_noun	dictature_noun
repetidamente_adverb	à-plusieurs-reprises_adverb
costa-del-azahar_propernoun	costa-del-azahar_propernoun
oliva_propernoun	oliva_propernoun
forfait_noun	forfait_noun
emisor_noun	émetteur_noun
alcudia_propernoun	alcúdia_propernoun
complementar_verb	compléter_verb
de-todos-modos_adverb	de-toute-façon_adverb
subestimar_verb	sous-estimer_verb
curar_verb	guérir_verb
colega_noun	collègue_noun
sobrina_noun	nièce_noun
giorgio_propernoun	giorgio_propernoun
pontoise_propernoun	pontoise_propernoun
aiye_propernoun	aiye_propernoun
de-tal-modo-que_subordinatingconjunction	de-telle-façon-que_subordinatingconjunction
vuelta_noun	tour_noun
enterrar_verb	enterrer_verb
apache_adjective	apache_adjective
incesante_adjective	incessant_adjective
de-momento_adverb	pour-le-moment_adverb
jauregi_propernoun	jauregi_propernoun
richardson_propernoun	richardson_propernoun
irónico_adjective	ironique_adjective
amann_propernoun	amann_propernoun
de-manera-que_subordinatingconjunction	de-manière-que_subordinatingconjunction
pasar_verb	passer_verb
cobijar_verb	accueillir_verb
activar_verb	déclencher_verb
dahir-riyale-kahin_propernoun	dahir-riyale-kahin_propernoun
formar_verb	former_verb
simultáneo_adjective	simultané_adjective
demandante_adjective	plaignant_adjective
comunicar_verb	communiquer_verb
corrales_propernoun	corrales_propernoun
derechista_adjective	de-droite_adjective
plinio-el-viejo_propernoun	pline-l'ancien_propernoun
valladolid_propernoun	valladolid_propernoun
arbitrariedad_noun	arbitraire_noun
monique_propernoun	monique_propernoun
sucesor_noun	successeur_noun
obediente_adjective	obéissant_adjective
ameijeiras_propernoun	ameijeiras_propernoun
christoph_propernoun	christoph_propernoun
centrocampista_noun	demi-centre_noun
ferraz_propernoun	ferraz_propernoun
afanias_noun	afanias_noun
fondo-público_noun	fonds-publics_noun
investigación_noun	investigation_noun
cortesía_noun	politesse_noun
forzar_verb	forcer_verb
sichuan_propernoun	sichuan_propernoun
innegable_adjective	indéniable_adjective
amir_propernoun	amir_propernoun
ronda_noun	ronde_noun
conglomerado_noun	conglomérat_noun
vulerabilidad_noun	vulnérabilité_noun
amero_noun	améro_noun
con-efecto-a-partir-de_preposition	en-vigueur-à-partir-de_preposition
monte_noun	montagne_noun
adición_noun	ajout_noun
terminología_noun	terminologie_noun
amarillento_adjective	jaunâtre_adjective
aketza_propernoun	aketza_propernoun
demarcación_noun	démarcation_noun
aramendia_propernoun	aramendia_propernoun
carcajada_noun	éclat-de-rire_noun
extraño_adjective	bizarre_adjective
de-manera-que_subordinatingconjunction	de-sorte-que_subordinatingconjunction
bruja_noun	sorcière_noun
aún_adverb	encore_adverb
tarjeta-monedero_noun	carte-porte-monnaie_noun
anticonstitucional_adjective	anticonstitutionnel_adjective
clausurar_verb	clôturer_verb
bombay_propernoun	mumbai_propernoun
morfeo_propernoun	morphée_propernoun
fujita-tsuguharu_propernoun	tsuguharu-fujita_propernoun
africano_noun	africain_noun
incinerar_verb	incinérer_verb
mil_numeral	mil_numeral
trigo_noun	blé_noun
karun_propernoun	karoun_propernoun
pensar-en-las-musarañas_verb	bâiller-à-s'en-décrocher-la-mâchoire_verb
courjault_propernoun	courjault_propernoun
cuál_adjective	quel_adjective
cuál_pronoun	quel_pronoun
cuál_interrogativepronoun	quel_interrogativepronoun
impedir_verb	empêcher_verb
anje-duhalde_propernoun	anje-duhalde_propernoun
arbe_propernoun	arbe_propernoun
listón_noun	latte_noun
santuario_noun	sanctuaire_noun
igone_propernoun	igone_propernoun
schleck_propernoun	schleck_propernoun
vice_adjective	vice_adjective
tela_noun	étoffe_noun
eurozona_noun	eurozone_noun
ánimo_noun	esprit_noun
pender_verb	pendre_verb
sin-voz-ni-voto_adverb	sans-voix-délibérative_adverb
areatza_propernoun	areatza_propernoun
rehén_noun	otage_noun
horizonte_noun	horizon_noun
tegucigalpa_propernoun	tegucigalpa_propernoun
klaus_propernoun	klaus_propernoun
galardón_noun	prix_noun
teclado_noun	clavier_noun
aduna_propernoun	aduna_propernoun
importe_noun	montant_noun
sandra-bullock_propernoun	sandra-bullock_propernoun
tratar-a-cuerpo-de-rey_verb	soigner-aux-petits-oignons_verb
aiztondo_propernoun	aiztondo_propernoun
vidal_propernoun	vidal_propernoun
efracción_noun	effraction_noun
colocación_noun	placement_noun
maputo_propernoun	maputo_propernoun
agobio_noun	accablement_noun
palestino_adjective	palestinien_adjective
consentir_verb	consentir_verb
arco_noun	arc_noun
ahmet_propernoun	ahmet_propernoun
tabaquismo_noun	tabagisme_noun
rosa_adjective	rose_adjective
microchip_noun	micropuce_noun
yangon_propernoun	rangún_propernoun
descripción_noun	signalement_noun
encontrar_verb	rencontrer_verb
álvaro-uribe_propernoun	álvaro-uribe-vélez_propernoun
creciente_adjective	grandissant_adjective
kurdistán_propernoun	kurdistan_propernoun
reconnectarse_verb	reconnecter_verb
ozono_noun	ozone_noun
sentar_verb	asseoir_verb
joyero_noun	joaillier_noun
oro_noun	or_noun
monumental_adjective	monumental_adjective
destrozo_noun	destruction_noun
espinosa_propernoun	espinosa_propernoun
euskadi-surfer_propernoun	euskadi-surfer_propernoun
mucho_adverb	guère_adverb
expulsión_noun	expulsion_noun
desiderio_propernoun	desiderio_propernoun
efta_noun	aele_noun
norsk_propernoun	norsk_propernoun
continuo_adjective	continu_adjective
eoc_noun	organisme-officiel-de-crédit_noun
cegelec-centre-est-cegelec-maroc-arco-beton_propernoun	cegelec-centre-est-cegelec-maroc-arco-beton_propernoun
borrador_noun	brouillon_noun
extranjero_noun	étranger_noun
continuar_verb	continuer_verb
aguado_propernoun	aguado_propernoun
mancebo_noun	jeune-homme_noun
tercer-mundo_propernoun	tiers-monde_propernoun
breno_propernoun	brno_propernoun
poner-de-largo_verb	présenter_verb
obligar_verb	obliger_verb
lícito_adjective	licite_adjective
transferencia-en-pesetas_noun	virement-en-pesetas_noun
jijona_propernoun	jijona_propernoun
abao_noun	abao_noun
matías_propernoun	matías_propernoun
aggiano_propernoun	aggiano_propernoun
psicológicamente_adverb	psychologiquement_adverb
bouygues_propernoun	bouygues_propernoun
recta_noun	ligne-droite_noun
aalborg_propernoun	aalborg_propernoun
reciente_adjective	récent_adjective
andamán_propernoun	andaman_propernoun
tensión_noun	tension_noun
compartimento_noun	compartiment_noun
pagoamigo_propernoun	pagoamigo_propernoun
estrave_noun	étrave_noun
cataratas-del-niágara_propernoun	chutes-du-niagara_propernoun
de-cannes_adjective	cannois_adjective
sueldo_noun	salaire_noun
vencer_verb	vaincre_verb
vincular_verb	lier_verb
isabel-farnesio_propernoun	élisabeth-farnèse_propernoun
estatua_noun	statue_noun
arma-química_noun	arme-chimique_noun
geroa_propernoun	geroa_propernoun
alguacil_noun	huissier_noun
reforzar_verb	renforcer_verb
alleluia_propernoun	alleluia_propernoun
soja_noun	soja_noun
laval_propernoun	laval_propernoun
preocupación_noun	préoccupation_noun
richard_propernoun	richard_propernoun
rrdtool_propernoun	rrdtool_propernoun
activo-circulante_noun	actif-circulant_noun
flotante_adjective	flottant_adjective
antiglobalización_noun	antiglobalisation_noun
marx_propernoun	marx_propernoun
casi_adverb	presque_adverb
vivero_noun	pépinière_noun
chollo_noun	occase_noun
medicamento_noun	médicament_noun
saint-malo_propernoun	saint-malo_propernoun
pau_propernoun	pau_propernoun
new-yorker_propernoun	new-yorker_propernoun
respecto-de_preposition	en-ce-qui-concerne_preposition
casación_noun	cassation_noun
reto_noun	défi_noun
xii_adjective	xiième_adjective
