cercania_noun	cercanía_noun
ryder_propernoun	ryder_propernoun
espanholamente_adverb	españolamente_adverb
covardia_noun	cobardía_noun
matos_propernoun	matos_propernoun
reeleger_verb	reelegir_verb
blackrock_propernoun	blackrock_propernoun
despedaçar_verb	despedazar_verb
peso_noun	gordura_noun
pelouro_noun	consejero_noun
horário_noun	horario_noun
ferguson_propernoun	ferguson_propernoun
shimell_propernoun	shimell_propernoun
roucamente_adverb	roncamente_adverb
exaltar_verb	exaltar_verb
sexta-feira_noun	viernes_noun
cgu_propernoun	cgu_propernoun
enrech_propernoun	enrech_propernoun
drci_propernoun	drci_propernoun
exílio_noun	exilio_noun
favoravelmente_adverb	favorablemente_adverb
assombroso_adjective	asombroso_adjective
bronze_noun	bronce_noun
prevenção_noun	prevención_noun
identidade_noun	identidad_noun
harmonização_noun	armonización_noun
crônico_adjective	crónico_adjective
atribuição_noun	asignación_noun
sorrir_verb	sonreír_verb
bom-demais_adverb	muy-bueno_adverb
emergência_noun	emergencia_noun
sectorial_adjective	sectorial_adjective
dissipar_verb	disipar_verb
impaciência_noun	impaciencia_noun
roteamento_noun	enrutamiento_noun
invejar_verb	envidiar_verb
apadrinhar_verb	apadrinar_verb
longitude_noun	longitud_noun
fã_noun	fan_noun
vergonha_noun	vergüenza_noun
ao-invés-de_preposition	en-vez-de_preposition
protector_adjective	protector_adjective
antes-de-mais-nada_adverb	antes-de-nada_adverb
imunemente_adverb	inmunemente_adverb
virgem_propernoun	virgem_propernoun
fabra_propernoun	fabra_propernoun
desigual_adjective	desigual_adjective
duradouro_adjective	duradero_adjective
saturação_noun	saturación_noun
verdura_noun	verdura_noun
travessamente_adverb	traviesamente_adverb
porém_subordinatingconjunction	sin-embargo_subordinatingconjunction
descolável_adjective	despegable_adjective
prosperidade_noun	prosperidad_noun
motriz_adjective	motriz_adjective
herdade_noun	masía_noun
actual_adjective	actual_adjective
leitor_noun	lector_noun
proporcionalidade_noun	proporcionalidad_noun
lealdade_noun	lealtad_noun
per-capita_adjective	per-cápita_adjective
incompreendidamente_adverb	incomprendidamente_adverb
ordenamento_noun	ordenamiento_noun
exactidão_noun	exactitud_noun
atrair_verb	atraer_verb
reminiscência_noun	reminiscencia_noun
vulcânico_adjective	volcánico_adjective
avaliar_verb	evaluar_verb
liberador_adjective	liberalizador_adjective
ciclone_noun	ciclón_noun
linha_noun	línea_noun
outro_pronoun	otro_pronoun
milimetricamente_adverb	milimétricamente_adverb
acesso_noun	acceso_noun
nonagesimamente_adverb	nonagésimamente_adverb
balançar_verb	balancear_verb
proximamente_adverb	cercanamente_adverb
bem-mais_adverb	mucho-más_adverb
racionalização_noun	racionalización_noun
demonstração_noun	demostración_noun
julianne_propernoun	julianne_propernoun
avaliar_verb	valuar_verb
itália_propernoun	italia_propernoun
tutelar_verb	tutelar_verb
etiópia_propernoun	etiopía_propernoun
astronomicamente_adverb	astronómicamente_adverb
xml_propernoun	xml_propernoun
província_noun	provincia_noun
peronella_propernoun	peronella_propernoun
usufruir_verb	usufructuar_verb
odum_propernoun	odum_propernoun
interminavelmente_adverb	interminablemente_adverb
cesr_propernoun	cesr_propernoun
cantor_noun	cantante_noun
importador_noun	importador_noun
torcedor_noun	hincha_noun
dúvida_noun	duda_noun
inadmissivelmente_adverb	inadmisiblemente_adverb
remoção_noun	remoción_noun
auditório_noun	auditorio_noun
fainé_propernoun	fainé_propernoun
alterno_adjective	alterno_adjective
patentear_verb	patentar_verb
tetraedro_noun	tetraedro_noun
manual_noun	manual_noun
propagação_noun	propagación_noun
farinha_noun	harina_noun
cinza_noun	gris_noun
maior_adjective	más-grande_adjective
bater_verb	batir_verb
injectar_verb	inyectar_verb
educacionalmente_adverb	educativamente_adverb
de-má-vontade_adverb	de-mala-gana_adverb
dotação_noun	dotación_noun
apolónia_propernoun	apolónia_propernoun
autorroscante_noun	roscador_noun
estômago_noun	estómago_noun
porto_noun	puerto_noun
aresta_noun	arista_noun
grosseiramente_adverb	groseramente_adverb
bfdf_propernoun	bfdf_propernoun
entalhe_noun	entalle_noun
governação_noun	gobierno_noun
pagar-mico_verb	pasar-verguenza_verb
expressamente_adverb	expresamente_adverb
tdr_propernoun	tdr_propernoun
monotonia_noun	monotonía_noun
inerentemente_adverb	inherentemente_adverb
estatura_noun	estatura_noun
arrastar_verb	arrastrar_verb
laço_noun	moño_noun
paraguaio_noun	paraguayo_noun
ônibus_noun	bus_noun
forçosamente_adverb	forzosamente_adverb
orelha_noun	oreja_noun
voar_verb	volar_verb
cemitério_noun	cementerio_noun
livreiro_noun	librero_noun
financiamento_noun	financiación_noun
iraquiano_adjective	iraquí_adjective
transformação_noun	transformación_noun
trás_preposition	tras_preposition
vasconço_noun	vasco_noun
reunião_noun	reunión_noun
chão_noun	suelo_noun
sintetizar_verb	sintetizar_verb
agroalimentar_adjective	agroalimentario_adjective
abstracção_noun	abstracción_noun
erro_noun	error_noun
por-que_adverb	por-qué_adverb
letônia_propernoun	letonia_propernoun
agradecer_verb	dar-las-gracias_verb
museu_noun	museo_noun
beta_noun	beta_noun
precursor_noun	precursor_noun
alfabeticamente_adverb	alfabéticamente_adverb
simbolicamente_adverb	simbólicamente_adverb
encadeamento_noun	encadenamiento_noun
linfócito_noun	linfocito_noun
execravelmente_adverb	execrablemente_adverb
emídio_propernoun	emídio_propernoun
nevoeiro_noun	niebla_noun
tampouco_adverb	tampoco_adverb
marlene_propernoun	marlene_propernoun
multiplemente_adverb	múltiplemente_adverb
listar_verb	enumerar_verb
phoenix_propernoun	phoenix_propernoun
surpreendentemente_adverb	sorprendentemente_adverb
floculador_noun	floculador_noun
sedução_noun	seducción_noun
coordenadamente_adverb	coordinadamente_adverb
engrenagem_noun	engranaje_noun
convosco_pronoun	con-vosotros_pronoun
cavaco_propernoun	cavaco_propernoun
dezassete_numeral	diecisiete_numeral
olhadela_noun	ojeada_noun
cm_noun	cm_noun
espectacularmente_adverb	espectacularmente_adverb
introdução_noun	introducción_noun
apelação_noun	apelación_noun
vinte-e-nove_numeral	veintinueve_numeral
veia_noun	vena_noun
progresso_noun	progreso_noun
myspace_propernoun	myspace_propernoun
irrespiravelmente_adverb	irrespirablemente_adverb
invocação_noun	invocación_noun
abastecimento_noun	abastecimiento_noun
inutilizar_verb	inutilizar_verb
fibra_noun	hebra_noun
canhão_noun	cañón_noun
lance_propernoun	lance_propernoun
sanção_noun	sanción_noun
min_noun	min_noun
incorrer_verb	incurrir_verb
emprestar_verb	prestar_verb
custosamente_adverb	costosamente_adverb
fortificação_noun	fortificación_noun
subpasta_noun	subcarpeta_noun
reforço_noun	reforzamiento_noun
indispensavelmente_adverb	indispensablemente_adverb
saip_propernoun	saip_propernoun
indemnização_noun	indemnización_noun
elástico_adjective	elástico_adjective
oferecer_verb	ofertar_verb
borda_noun	borde_noun
eléctrico_adjective	eléctrico_adjective
injustiça_noun	injusticia_noun
vale_noun	valle_noun
tiroteio_noun	tiroteo_noun
moutinho_propernoun	moutinho_propernoun
assustar_verb	asustar_verb
teleformação_noun	teleformación_noun
judiciário_noun	judicatura_noun
beijo_noun	beso_noun
classificar_verb	clasificar_verb
ifac_propernoun	ifac_propernoun
incumprir_verb	incumplir_verb
barbaramente_adverb	bárbaramente_adverb
graças-a_preposition	merced-a_preposition
idoso_noun	anciano_noun
foguete_noun	cohete_noun
micrômetro_noun	micrómetro_noun
corretivo_adjective	correctivo_adjective
hero_propernoun	hero_propernoun
submissão_noun	sometimiento_noun
tendência_noun	tendencia_noun
américa-do-sul_propernoun	américa-del-sur_propernoun
absorver_verb	absorber_verb
janela_noun	ventana_noun
norte-americano_adjective	norteamericano_adjective
coelho_noun	conejo_noun
almeria_propernoun	almeria_propernoun
para-o-qual_subordinatingconjunction	para-el-cual_subordinatingconjunction
antecessor_noun	antecesor_noun
subjetividade_noun	subjetividad_noun
junior_propernoun	junior_propernoun
ciberespaço_noun	ciberespacio_noun
velório_noun	velatorio_noun
liquidamente_adverb	líquidamente_adverb
vulcão_noun	volcán_noun
protec_propernoun	protec_propernoun
a-contragosto_adverb	a-disgusto_adverb
primus_propernoun	primus_propernoun
com-respeito-a_preposition	con-respecto-a_preposition
veneração_noun	veneración_noun
inibição_noun	inhibición_noun
dezanove_numeral	diecinueve_numeral
proporção_noun	proporción_noun
espanhol_adjective	español_adjective
otimismo_noun	optimismo_noun
por-dentro_adverb	por-dentro_adverb
aproveitar_verb	aprovechar_verb
intenção_noun	intención_noun
meigamente_adverb	tiernamente_adverb
touro_noun	toro_noun
restituição_noun	restitución_noun
arizona_propernoun	arizona_propernoun
desmoralizar_verb	desmoralizar_verb
carta-de-motorista_noun	permiso-de-conducir_noun
dançar_verb	bailar_verb
indexar_verb	indexar_verb
em-abundância_adverb	en-abundancia_adverb
orgulho_noun	orgullo_noun
divergência_noun	divergencia_noun
estriado_adjective	acanalado_adjective
caçada_noun	cacería_noun
octogesimamente_adverb	octogésimamente_adverb
paternidade_noun	paternidad_noun
competição_noun	competición_noun
imcomparavelmente_adverb	imcomparablemente_adverb
flutuar_verb	flotar_verb
grito_noun	chillido_noun
fortalecer_verb	robustecer_verb
do-jeito-que-veio-ao-mundo_adverb	como-su-madre-lo-trajo-al-mundo_adverb
adendo_noun	apéndice_noun
pesquisar_verb	investigar_verb
aquisição_noun	adquisición_noun
csi_propernoun	csi_propernoun
abranger_verb	comprender_verb
contagem_noun	cuenta_noun
soquete_noun	rótula_noun
desconexão_noun	desconexión_noun
medina_propernoun	medina_propernoun
eletrônico_adjective	electrónico_adjective
pior_adverb	peor_adverb
sagardi_propernoun	sagardi_propernoun
descompactar_verb	descomprimir_verb
supersônico_adjective	supersónico_adjective
estribilho_noun	estribillo_noun
meia-tarde_adverb	media-tarde_adverb
complementar_adjective	complementario_adjective
comando_noun	mando_noun
fibanc_propernoun	fibanc_propernoun
remessa_noun	remisión_noun
homologado_adjective	homologado_adjective
vaidoso_adjective	vanidoso_adjective
libanês_adjective	libanés_adjective
procuração_noun	procuración_noun
de-molho_noun	en-remojo_noun
molho_noun	salsa_noun
valoroso_adjective	valeroso_adjective
fundo_noun	zaga_noun
anatômico_adjective	anatómico_adjective
fraturar_verb	fracturar_verb
exceção_noun	excepción_noun
soterrar_verb	enterrar_verb
ancara_propernoun	ankara_propernoun
couto_propernoun	couto_propernoun
repassar_verb	repasar_verb
torção_noun	ladeo_noun
alemão_noun	alemán_noun
ficha_noun	casillero_noun
pesqueiro_adjective	pesquero_adjective
popularidade_noun	popularidad_noun
caseiro_adjective	casero_adjective
linhagem_noun	linaje_noun
preferível_adjective	preferible_adjective
ao-vivo_adverb	en-vivo_adverb
profissionalismo_noun	profesionalismo_noun
sgps_propernoun	sgps_propernoun
cliente_noun	clienta_noun
limpeza_noun	limpieza_noun
sabotagem_noun	sabotaje_noun
sustentadamente_adverb	continuamente_adverb
inalcançavelmente_adverb	inalcansablemente_adverb
escarear_verb	avellanar_verb
quizzes_noun	quizzes_noun
boavista_propernoun	boavista_propernoun
quiroga_propernoun	quiroga_propernoun
conversor_noun	conversor_noun
substantivamente_adverb	sustantivamente_adverb
coutinho_propernoun	coutinho_propernoun
salada_noun	ensalada_noun
estudar_verb	estudiar_verb
milionário_adjective	millonario_adjective
fenômeno_noun	fenómeno_noun
scolari_propernoun	scolari_propernoun
somente-leitura_adverb	sólo-lectura_adverb
pântano_noun	pantano_noun
sensível_adjective	sensible_adjective
convênio_noun	convenio_noun
sobretudo_adverb	sobretodo_adverb
trapezoidal_adjective	trapezoidal_adjective
invejoso_adjective	envidioso_adjective
pré_adverb	pre_adverb
fr_propernoun	fr_propernoun
rastreabilidade_noun	rastreabilidad_noun
especiaria_noun	especia_noun
mensurar_verb	medir_verb
alimentar_adjective	alimenticio_adjective
mestrado_noun	máster_noun
wta_propernoun	wta_propernoun
acarretar_verb	acarrear_verb
bater_verb	latir_verb
instrumentar_verb	instrumentar_verb
embora_subordinatingconjunction	aunque_subordinatingconjunction
migratório_adjective	migratório_adjective
saciedade_noun	saciedad_noun
desregulamentação_noun	desregulación_noun
romênia_propernoun	rumanía_propernoun
confortavelmente_adverb	confortablemente_adverb
olimpicamente_adverb	olímpicamente_adverb
proença_propernoun	proença_propernoun
assédio_noun	acoso_noun
extensor_noun	extensor_noun
barra-de-status_noun	barra-de-estado_noun
supor_verb	suponer_verb
internar_verb	ingresar_verb
sinônimo_noun	sinónimo_noun
sujeitar_verb	sujetar_verb
instrutor_noun	instructor_noun
muito-próximo_adverb	a-las-puertas_adverb
reestruturar_verb	reestructurar_verb
balcão_noun	mostrador_noun
portão_noun	portón_noun
liquidação_noun	liquidación_noun
adequadamente_adverb	adecuadamente_adverb
em-numerário_adverb	en-efectivo_adverb
aparafusar_verb	atornillar_verb
desígnio_noun	designio_noun
hipocondriacamente_adverb	hipocondríacamente_adverb
espionagem_noun	espionaje_noun
pinhão_noun	piñón_noun
indevido_adjective	indebido_adjective
friburgo_propernoun	friburgo_propernoun
acumulação_noun	acumulación_noun
imaturo_adjective	inmaduro_adjective
menu_noun	menú_noun
leilão_noun	subasta_noun
consangüinidade_noun	consanguinidad_noun
mentalidade_noun	mentalidad_noun
obter_verb	recabar_verb
outono_noun	otoño_noun
instalado_adjective	cableado_adjective
rss_propernoun	rss_propernoun
hermético_adjective	hermético_adjective
probatório_adjective	probatorio_adjective
mas_coordinatingconjunction	pero_coordinatingconjunction
comprimento_noun	largura_noun
alusão_noun	alusión_noun
bacia_noun	cuenca_noun
assemelhar_verb	asemejar_verb
cômico_adjective	cómico_adjective
impactante_adjective	impactante_adjective
sales_propernoun	sales_propernoun
um_determiner	uno_determiner
contato_noun	contacto_noun
champions_propernoun	champions_propernoun
cheiro_noun	olor_noun
delinquente_noun	delincuente_noun
paradigma_noun	paradigma_noun
pessimamente_adverb	pésimamente_adverb
estiramento_noun	estiramiento_noun
mem_propernoun	mem_propernoun
obsoleto_adjective	obsoleto_adjective
inflamavelmente_adverb	inflamablemente_adverb
descontinuidade_noun	discontinuidad_noun
panturrilha_noun	gemelo_noun
processador_noun	procesador_noun
céu_noun	cielo_noun
alegoria_noun	alegoría_noun
e-daí_adverb	y-qué_adverb
tv_noun	tele_noun
aliança_noun	alianza_noun
dona-de-casa_noun	ama-de-casa_noun
portfolio_noun	portafolio_noun
fungo_noun	hongo_noun
na-largura_adverb	a-lo-ancho_adverb
quartocrescente_noun	cuarto-creciente_noun
aniversário_noun	aniversario_noun
humilhar_verb	humillar_verb
sustentável_adjective	sostenible_adjective
redundância_noun	redundancia_noun
parente_noun	pariente_noun
cocido_noun	puchero_noun
incerto_adjective	incierto_adjective
eurosai_propernoun	eurosai_propernoun
ressaltar_verb	resaltar_verb
semelhança_noun	semejanza_noun
escuramente_adverb	oscuramente_adverb
quem_pronoun	quien_pronoun
realçar_verb	resaltar_verb
presencial_adjective	presencial_adjective
o-seguro-morreu-de-velho_adverb	más-vale-prevenir-que-curar_adverb
ébrio_noun	ebrio_noun
evidência_noun	evidencia_noun
canibal_noun	caníbal_noun
entranha_noun	entraña_noun
dissolver_verb	disolver_verb
homossexualmente_adverb	homosexualmente_adverb
estabelecimento_noun	establecimiento_noun
recreio_noun	recreo_noun
castelhano_adjective	castellano_adjective
espessura_noun	grosor_noun
roubar_verb	robar_verb
supondo-que_subordinatingconjunction	suponiendo-que_subordinatingconjunction
abreu_propernoun	abreu_propernoun
avalanche_noun	avalancha_noun
propor_verb	plantear_verb
impavidamente_adverb	impávidamente_adverb
bedrich_propernoun	bedrich_propernoun
tópico_noun	tópico_noun
no-seco_adverb	a-palo-seco_adverb
favorável_adjective	favorable_adjective
sujeito_adjective	sujeto_adjective
úmido_adjective	húmedo_adjective
gronelândia_propernoun	groenlandia_propernoun
pontifício_adjective	pontificio_adjective
rsa_propernoun	rsa_propernoun
salário_noun	sueldo_noun
corporação_noun	corporación_noun
aviso_noun	aviso_noun
tributário_adjective	tributario_adjective
necrologia_noun	necrología_noun
face_noun	faz_noun
detecção-remota_noun	detección-remota_noun
teletrabalho_noun	teletrabajo_noun
seca_noun	sequía_noun
national-geographic_propernoun	national-geographic_propernoun
operacionalidade_noun	operacionalidad_noun
somar_verb	sumar_verb
áfrica-do-sul_propernoun	sudáfrica_propernoun
razão_noun	razón_noun
radicalizar_verb	radicalizar_verb
estabelecer_verb	establecer_verb
painel_noun	mampara_noun
endossar_verb	endosar_verb
superação_noun	superación_noun
chover_verb	llover_verb
cot_propernoun	toc_propernoun
assombrosamente_adverb	asombrosamente_adverb
apreciação_noun	apreciación_noun
curto_adjective	corto_adjective
com-tudo-que-eu-tenho-direito_adverb	con-todas-las-de-la-ley_adverb
feiticeiro_noun	hechicero_noun
conciliábulo_noun	cabildeo_noun
comédia_noun	comedia_noun
fragoso_propernoun	fragoso_propernoun
guifré-el-pilós_propernoun	guifré-el-pilós_propernoun
tão-só_adverb	tan-sólo_adverb
albânia_propernoun	albania_propernoun
tudo-bom_interjection	qué-tal_interjection
imputar_verb	imputar_verb
unicamente_adverb	únicamente_adverb
produtor_noun	productor_noun
representatividade_noun	representatividad_noun
tecla_noun	tecla_noun
pendurar_verb	colgar_verb
impenetrável_adjective	impenetrable_adjective
selva_noun	jungla_noun
substância_noun	substancia_noun
belicamente_adverb	bélicamente_adverb
desfazer_verb	deshacer_verb
nieto_propernoun	nieto_propernoun
alfandegário_adjective	arancelario_adjective
duradouramente_adverb	duraderamente_adverb
monitorização_noun	monitoreo_noun
duravelmente_adverb	durablemente_adverb
interrupção_noun	interrupción_noun
iteração_noun	iteración_noun
máximo_adjective	máximo_adjective
israelense_adjective	israelí_adjective
abrir-um-espaço_verb	hacer-un-hueco_verb
magnético_adjective	magnético_adjective
surra_noun	paliza_noun
remessa_noun	remesa_noun
adoravelmente_adverb	adorablemente_adverb
folha_noun	hoja_noun
prisioneiro_noun	prisionero_noun
pára-quedista_noun	paracaidista_noun
fogueira_noun	hoguera_noun
autoria_noun	autoría_noun
ferrovia_noun	ferrocarril_noun
aspergir_verb	rociar_verb
tráfego_noun	tráfico_noun
esquematicamente_adverb	esquemáticamente_adverb
insatisfação_noun	insatisfacción_noun
atração_noun	atracción_noun
polinômio_noun	polinomio_noun
futebol_noun	futbol_noun
monde_propernoun	monde_propernoun
imaginável_adjective	imaginable_adjective
electricidade_noun	electricidad_noun
casamento_noun	boda_noun
universidade_noun	universidad_noun
diferir_verb	diferir_verb
diferente_adjective	distinto_adjective
distribuição_noun	distribución_noun
pechinchar_verb	regatear_verb
explodir_verb	explosionar_verb
doravante_adverb	de-ahora-en-adelante_adverb
talho_noun	carnicería_noun
nomeação_noun	nombramiento_noun
incansavelmente_adverb	incansablemente_adverb
tuti_propernoun	tuti_propernoun
ter-ainda-de_verb	tener-además-que_verb
quantificavelmente_adverb	quantificablemente_adverb
incognitamente_adverb	incógnitamente_adverb
